"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tom Brady (TB)","28","39","71.8","341","8.7","3","0","1","2","2","1","0","1","31.8","31.8","98.0%"
"2","Kyler Murray (ARI)","22","32","68.8","245","7.7","1","1","3","11","61","2","0","1","30.9","30.9","99.0%"
"3","Josh Allen (BUF)","32","49","65.3","284","5.8","2","2","0","7","38","0","0","1","29.4","29.4","100.0%"
"4","Ben Roethlisberger (FA)","27","46","58.7","333","7.2","4","0","0","1","0","0","0","1","29.3","29.3","27.0%"
"5","Aaron Rodgers (GB)","24","34","70.6","325","9.6","2","1","1","3","4","1","0","1","26.4","26.4","95.0%"
"6","Matthew Stafford (LAR)","24","33","72.7","276","8.4","3","0","1","0","0","0","0","1","23.0","23.0","94.0%"
"7","Lamar Jackson (BAL)","24","34","70.6","249","7.3","2","1","2","11","55","0","0","1","22.5","22.5","100.0%"
"8","Daniel Jones (NYG)","21","28","75.0","244","8.7","0","0","3","9","64","1","0","1","22.2","22.2","26.0%"
"9","Justin Herbert (LAC)","20","32","62.5","187","5.8","2","1","2","4","10","1","0","1","21.5","21.5","100.0%"
"10","Teddy Bridgewater (MIA)","18","24","75.0","136","5.7","2","1","1","3","16","1","0","1","20.0","20.0","1.0%"
"11","Kirk Cousins (MIN)","25","36","69.4","292","8.1","2","1","1","1","-1","0","0","1","18.6","18.6","85.0%"
"12","Cam Newton (FA)","13","17","76.5","118","6.9","1","0","1","11","21","1","0","1","16.8","16.8","18.0%"
"13","Philip Rivers (FA)","29","39","74.4","308","7.9","1","0","1","0","0","0","0","1","16.3","16.3","41.0%"
"14","Alex Smith (FA)","38","55","69.1","390","7.1","0","0","2","2","4","0","0","1","16.0","16.0","5.0%"
"15","Tua Tagovailoa (MIA)","15","25","60.0","169","6.8","2","0","0","6","-1","0","0","1","14.7","14.7","69.0%"
"16","Deshaun Watson (CLE)","20","30","66.7","163","5.4","1","0","2","8","36","0","0","1","14.1","14.1","22.0%"
"17","Joe Burrow (CIN)","21","40","52.5","213","5.3","1","0","4","0","0","0","0","1","12.5","12.5","99.0%"
"18","Nick Mullens (MIN)","24","38","63.2","247","6.5","1","2","2","1","3","0","0","1","12.2","12.2","0.0%"
"19","Russell Wilson (DEN)","22","37","59.5","248","6.7","0","2","6","8","60","0","1","1","11.9","11.9","97.0%"
"20","Drew Lock (SEA)","23","47","48.9","257","5.5","1","4","2","2","7","0","0","1","11.0","11.0","2.0%"
"21","Ryan Tannehill (TEN)","15","27","55.6","147","5.4","1","0","1","2","9","0","0","1","10.8","10.8","22.0%"
"22","Jared Goff (DET)","27","37","73.0","302","8.2","0","0","3","5","4","0","1","1","10.5","10.5","23.0%"
"23","Jake Luton (FA)","18","35","51.4","169","4.8","1","1","3","0","0","0","0","1","9.8","9.8","0.0%"
"24","Carson Wentz (WAS)","21","37","56.8","208","5.6","0","0","3","2","4","0","0","1","8.7","8.7","14.0%"
"25","Derek Carr (LV)","16","25","64.0","154","6.2","0","0","0","4","10","0","0","1","7.2","7.2","89.0%"
"26","Drew Brees (FA)","8","13","61.5","76","5.8","1","0","0","1","-1","0","0","1","6.9","6.9","71.0%"
"27","Jacoby Brissett (CLE)","0","0","0","0","0","0","0","0","1","2","1","0","1","6.2","6.2","3.0%"
"28","Baker Mayfield (CAR)","12","20","60.0","132","6.6","0","0","1","3","1","0","0","1","5.4","5.4","13.0%"
"29","Nick Foles (IND)","15","26","57.7","106","4.1","0","1","2","1","2","0","0","1","3.4","3.4","0.0%"
"30","Taysom Hill (NO)","0","0","0","0","0","0","0","1","8","45","0","1","1","2.5","2.5","9.0%"
"31","Jameis Winston (NO)","6","10","60.0","63","6.3","0","0","2","4","-2","0","0","1","2.3","2.3","41.0%"
"32","Tyler Bray (FA)","1","5","20.0","18","3.6","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"33","PJ Walker (CAR)","2","4","50.0","12","3.0","0","0","1","0","0","0","0","1","0.5","0.5","0.0%"
"34","Blaine Gabbert (TB)","0","0","0","0","0","0","0","0","3","0","0","0","1","0.0","0.0","0.0%"
"35","C.J. Beathard (JAC)","0","1","0.0","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"36","Mason Rudolph (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"37","Logan Woodside (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"38","Jalen Hurts (PHI)","0","0","0","0","0","0","0","0","2","-1","0","0","1","-0.1","-0.1","98.0%"
""
""
