"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Patrick Mahomes II (KC)","31","42","73.8","416","9.9","5","0","0","0","0","0","0","1","36.6","36.6","100.0%"
"2","Russell Wilson (DEN)","27","37","73.0","261","7.1","4","0","2","6","23","0","0","1","28.7","28.7","97.0%"
"3","Matthew Stafford (LAR)","24","42","57.1","336","8.0","3","1","5","1","10","0","1","1","23.4","23.4","94.0%"
"4","Justin Herbert (LAC)","29","43","67.4","278","6.5","3","2","2","3","21","0","0","1","23.2","23.2","100.0%"
"5","Aaron Rodgers (GB)","27","41","65.9","291","7.1","3","0","1","2","9","0","1","1","22.5","22.5","95.0%"
"6","Philip Rivers (FA)","23","33","69.7","262","7.9","3","0","2","2","-2","0","0","1","22.3","22.3","41.0%"
"7","Drew Lock (SEA)","26","41","63.4","248","6.0","3","1","2","2","-1","0","0","1","20.8","20.8","2.0%"
"8","Drew Brees (FA)","31","41","75.6","280","6.8","2","0","1","3","4","0","0","1","19.6","19.6","71.0%"
"9","Tom Brady (TB)","28","40","70.0","279","7.0","2","0","2","1","-1","0","0","1","19.1","19.1","98.0%"
"10","Joe Burrow (CIN)","26","37","70.3","249","6.7","2","0","0","3","9","0","0","1","18.9","18.9","99.0%"
"11","Matt Ryan (IND)","21","30","70.0","281","9.4","0","1","2","6","27","1","0","1","18.9","18.9","49.0%"
"12","Cam Newton (FA)","15","25","60.0","174","7.0","0","0","2","9","54","1","1","1","18.4","18.4","18.0%"
"13","Ryan Tannehill (TEN)","18","30","60.0","233","7.8","2","1","1","2","20","0","0","1","18.3","18.3","22.0%"
"14","Daniel Jones (NYG)","25","41","61.0","256","6.2","2","2","3","3","20","0","0","1","18.2","18.2","26.0%"
"15","Nick Foles (IND)","28","41","68.3","272","6.6","2","1","5","0","0","0","0","1","17.9","17.9","0.0%"
"16","Nick Mullens (MIN)","18","25","72.0","238","9.5","2","0","0","0","0","0","0","1","17.5","17.5","0.0%"
"17","Lamar Jackson (BAL)","13","28","46.4","208","7.4","2","2","4","16","65","0","2","1","16.8","16.8","100.0%"
"18","Ben Roethlisberger (FA)","21","32","65.6","182","5.7","2","0","2","0","0","0","0","1","15.3","15.3","27.0%"
"19","Taysom Hill (NO)","0","0","0","0","0","0","0","0","5","35","0","0","1","14.5","14.5","9.0%"
"20","Josh Allen (BUF)","11","18","61.1","154","8.6","0","1","1","10","23","1","0","1","13.5","13.5","100.0%"
"21","Teddy Bridgewater (MIA)","15","23","65.2","176","7.7","1","1","3","5","30","0","0","1","13.0","13.0","1.0%"
"22","Derek Carr (LV)","15","24","62.5","111","4.6","1","0","2","6","41","0","0","1","12.5","12.5","89.0%"
"23","Jared Goff (DET)","35","61","57.4","355","5.8","1","2","2","0","0","0","2","1","12.2","12.2","23.0%"
"24","Carson Wentz (WAS)","15","27","55.6","123","4.6","2","2","4","4","17","0","2","1","10.6","10.6","14.0%"
"25","Kirk Cousins (MIN)","11","14","78.6","160","11.4","1","0","1","0","0","0","0","1","10.4","10.4","85.0%"
"26","Baker Mayfield (CAR)","12","25","48.0","122","4.9","0","0","0","6","29","0","0","1","7.8","7.8","13.0%"
"27","Sam Darnold (CAR)","18","30","60.0","133","4.4","0","0","1","4","21","0","0","1","7.4","7.4","2.0%"
"28","Tua Tagovailoa (MIA)","12","22","54.5","93","4.2","1","0","1","2","0","0","1","1","5.7","5.7","69.0%"
"29","Ben DiNucci (DAL)","21","40","52.5","180","4.5","0","0","4","5","22","0","2","1","5.4","5.4","0.0%"
"30","Jimmy Garoppolo (SF)","11","16","68.8","84","5.3","0","1","3","4","4","0","0","1","2.8","2.8","4.0%"
"31","Chad Henne (KC)","3","4","75.0","17","4.3","0","0","0","1","0","0","0","1","0.7","0.7","0.0%"
"32","Jalen Hurts (PHI)","1","1","100.0","9","9.0","0","0","0","0","0","0","0","1","0.4","0.4","98.0%"
"33","Mitch Trubisky (PIT)","0","0","0","0","0","0","0","0","1","3","0","0","1","0.3","0.3","5.0%"
"34","PJ Walker (CAR)","1","4","25.0","3","0.8","0","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"35","John Lovett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
