"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (CAR)","19","128","6.7","23","1","2","10","11","81","8.1","0","0","1","42.9","42.9","100.0%"
"2","Austin Ekeler (LAC)","12","58","4.8","19","0","1","6","7","96","16.0","2","0","1","39.4","39.4","100.0%"
"3","Derrick Henry (TEN)","19","84","4.4","18","0","1","1","2","75","75.0","1","0","1","28.9","28.9","100.0%"
"4","Dalvin Cook (MIN)","21","111","5.3","22","2","2","2","2","9","4.5","0","0","1","26.0","26.0","100.0%"
"5","David Johnson (FA)","18","82","4.6","18","0","0","6","7","55","9.2","1","0","1","25.7","25.7","0.0%"
"6","Marlon Mack (HOU)","25","174","7.0","63","5","1","0","0","0","0","0","0","1","25.4","25.4","29.0%"
"7","Josh Jacobs (LV)","23","85","3.7","13","0","2","1","1","28","28.0","0","0","1","24.3","24.3","96.0%"
"8","Chris Carson (FA)","15","46","3.1","21","1","1","6","7","34","5.7","1","1","1","24.0","24.0","1.0%"
"9","Alvin Kamara (NO)","13","97","7.5","28","2","0","7","8","72","10.3","0","0","1","23.9","23.9","100.0%"
"10","Le'Veon Bell (FA)","17","60","3.5","12","0","0","6","9","32","5.3","1","0","1","23.2","23.2","0.0%"
"11","Mark Ingram II (NO)","14","107","7.6","49","3","2","0","0","0","0","0","0","1","22.7","22.7","16.0%"
"12","Damien Williams (ATL)","13","26","2.0","6","0","1","6","6","39","6.5","0","0","1","18.5","18.5","1.0%"
"13","Saquon Barkley (NYG)","11","120","10.9","59","4","0","4","6","19","4.8","0","0","1","17.9","17.9","100.0%"
"14","Malcolm Brown (FA)","11","53","4.8","17","0","2","0","0","0","0","0","0","1","17.3","17.3","0.0%"
"15","Chris Thompson (FA)","3","10","3.3","7","0","0","7","10","68","9.7","0","0","1","14.8","14.8","0.0%"
"16","Devin Singletary (BUF)","4","70","17.5","23","2","0","5","6","28","5.6","0","0","1","14.8","14.8","92.0%"
"17","Rex Burkhead (HOU)","8","44","5.5","11","0","0","5","8","41","8.2","0","0","1","13.5","13.5","2.0%"
"18","Ezekiel Elliott (DAL)","13","53","4.1","10","0","1","1","2","10","10.0","0","0","1","13.3","13.3","99.0%"
"19","James White (FA)","4","26","6.5","9","0","0","5","7","56","11.2","0","0","1","13.2","13.2","1.0%"
"20","Wayne Gallman Jr. (FA)","2","17","8.5","15","0","1","3","3","24","8.0","0","0","1","13.1","13.1","0.0%"
"21","Duke Johnson Jr. (BUF)","9","57","6.3","32","2","0","4","5","33","8.3","0","0","1","13.0","13.0","0.0%"
"22","Tarik Cohen (FA)","0","0","0","0","0","0","8","10","49","6.1","0","0","1","12.9","12.9","0.0%"
"23","Latavius Murray (FA)","6","43","7.2","30","2","1","2","3","4","2.0","0","0","1","12.7","12.7","0.0%"
"24","Nick Chubb (CLE)","17","75","4.4","15","0","0","3","4","10","3.3","0","0","1","11.5","11.5","100.0%"
"25","Leonard Fournette (TB)","13","66","5.1","14","0","0","4","6","28","7.0","0","1","1","11.4","11.4","100.0%"
"26","Darren Sproles (FA)","9","47","5.2","17","0","0","3","3","16","5.3","0","0","1","11.3","11.3","0.0%"
"27","Todd Gurley II (FA)","14","97","6.9","25","1","0","1","1","4","4.0","0","0","1","11.1","11.1","0.0%"
