"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Aaron Jones (GB)","19","107","5.6","18","0","4","7","8","75","10.7","0","0","1","49.2","49.2","100.0%"
"2","Christian McCaffrey (CAR)","19","176","9.3","84","4","2","6","8","61","10.2","1","0","1","47.7","47.7","100.0%"
"3","Josh Jacobs (LV)","26","123","4.7","21","1","2","3","3","20","6.7","0","0","1","29.3","29.3","96.0%"
"4","Matt Breida (NYG)","11","114","10.4","83","4","1","3","3","15","5.0","1","0","1","27.9","27.9","1.0%"
"5","Dalvin Cook (MIN)","21","132","6.3","41","3","0","6","6","86","14.3","0","1","1","25.8","25.8","100.0%"
"6","Phillip Lindsay (IND)","15","114","7.6","32","3","1","4","4","33","8.3","0","0","1","24.7","24.7","1.0%"
"7","Leonard Fournette (TB)","23","108","4.7","48","3","1","4","7","29","7.3","0","0","1","23.7","23.7","100.0%"
"8","Austin Ekeler (LAC)","3","7","2.3","4","0","0","15","16","86","5.7","0","1","1","22.3","22.3","100.0%"
"9","Sony Michel (MIA)","16","91","5.7","25","1","1","3","3","32","10.7","0","0","1","21.3","21.3","12.0%"
"10","Chris Carson (FA)","27","118","4.4","14","0","0","1","2","5","5.0","1","0","1","19.3","19.3","1.0%"
"11","Todd Gurley II (FA)","15","51","3.4","12","0","2","3","5","6","2.0","0","1","1","18.7","18.7","0.0%"
"12","David Johnson (FA)","17","91","5.4","17","0","0","3","5","65","21.7","0","0","1","18.6","18.6","0.0%"
"13","Devonta Freeman (FA)","11","30","2.7","21","1","0","5","5","40","8.0","1","0","1","18.0","18.0","0.0%"
"14","Marlon Mack (HOU)","29","132","4.6","30","2","0","3","3","16","5.3","0","0","1","17.8","17.8","29.0%"
"15","Chase Edmonds (MIA)","8","68","8.5","37","2","1","3","4","18","6.0","0","0","1","17.6","17.6","91.0%"
"16","Ezekiel Elliott (DAL)","12","62","5.2","14","0","1","2","3","29","14.5","0","0","1","17.1","17.1","99.0%"
"17","Alvin Kamara (NO)","16","62","3.9","16","0","0","6","7","42","7.0","0","0","1","16.9","16.9","100.0%"
"18","Le'Veon Bell (FA)","15","43","2.9","13","0","0","7","9","45","6.4","0","0","1","15.8","15.8","0.0%"
"19","Tevin Coleman (NYJ)","16","97","6.1","19","0","1","0","0","0","0","0","0","1","15.7","15.7","0.0%"
"20","Reggie Bonnafon (WAS)","5","80","16.0","59","4","1","0","1","0","0","0","0","1","14.0","14.0","0.0%"
"21","Derrick Henry (TEN)","20","78","3.9","24","1","1","0","0","0","0","0","0","1","13.8","13.8","100.0%"
"22","James White (FA)","6","26","4.3","7","0","0","6","9","46","7.7","0","0","1","13.2","13.2","1.0%"
"23","Mark Ingram II (NO)","19","44","2.3","14","0","1","2","2","5","2.5","0","0","1","12.9","12.9","16.0%"
"24","DeAndre Washington (FA)","6","17","2.8","5","0","1","3","3","19","6.3","0","0","1","12.6","12.6","11.0%"
"25","Ito Smith (FA)","5","19","3.8","11","0","0","6","6","45","7.5","0","0","1","12.4","12.4","0.0%"
"26","Jordan Howard (FA)","13","62","4.8","15","0","1","0","0","0","0","0","0","1","12.2","12.2","0.0%"
"27","Carlos Hyde (FA)","21","60","2.9","14","0","1","0","1","0","0","0","0","1","12.0","12.0","0.0%"
"28","Joe Mixon (CIN)","19","93","4.9","18","0","0","1","1","16","16.0","0","0","1","11.9","11.9","100.0%"
"29","James Conner (ARI)","14","55","3.9","12","0","1","0","0","0","0","0","0","1","11.5","11.5","99.0%"
"30","Brandon Bolden (LV)","5","13","2.6","5","0","0","1","1","29","29.0","1","0","1","11.2","11.2","0.0%"
"31","Nick Chubb (CLE)","16","87","5.4","37","2","0","1","1","12","12.0","0","0","1","10.9","10.9","100.0%"
"32","Tarik Cohen (FA)","4","10","2.5","4","0","0","6","7","39","6.5","0","0","1","10.9","10.9","0.0%"
"33","David Montgomery (CHI)","11","25","2.3","6","0","1","1","1","11","11.0","0","0","1","10.6","10.6","97.0%"
"34","Miles Sanders (PHI)","9","15","1.7","8","0","0","4","5","49","12.3","0","0","1","10.4","10.4","91.0%"
"35","Peyton Barber (FA)","8","32","4.0","8","0","1","1","1","-1","-1.0","0","0","1","10.1","10.1","1.0%"
"36","Frank Gore (FA)","14","60","4.3","19","0","0","2","2","9","4.5","0","0","1","8.9","8.9","24.0%"
"37","Chris Thompson (FA)","4","21","5.3","12","0","0","5","7","17","3.4","0","0","1","8.8","8.8","0.0%"
"38","Royce Freeman (HOU)","13","61","4.7","11","0","0","2","2","6","3.0","0","0","1","8.7","8.7","0.0%"
"39","Nyheim Hines (IND)","2","-1","-0.5","3","0","0","4","5","46","11.5","0","0","1","8.5","8.5","62.0%"
"40","Melvin Gordon III (DEN)","12","31","2.6","7","0","0","4","6","7","1.8","0","0","1","7.8","7.8","88.0%"
"41","Duke Johnson Jr. (BUF)","9","59","6.6","24","1","0","1","1","8","8.0","0","0","1","7.7","7.7","0.0%"
"42","Ronald Jones II (KC)","9","35","3.9","14","0","0","2","3","21","10.5","0","0","1","7.6","7.6","27.0%"
"43","Tra Carson (FA)","6","14","2.3","7","0","0","4","4","18","4.5","0","0","1","7.2","7.2","0.0%"
"44","Rashaad Penny (SEA)","6","18","3.0","8","0","0","2","2","31","15.5","0","0","1","6.9","6.9","90.0%"
"45","Damien Williams (ATL)","9","23","2.6","6","0","0","3","4","15","5.0","0","0","1","6.8","6.8","1.0%"
"46","T.J. Yeldon (FA)","2","15","7.5","11","0","0","4","4","13","3.3","0","0","1","6.8","6.8","0.0%"
"47","Giovani Bernard (TB)","2","10","5.0","9","0","0","3","3","16","5.3","0","0","1","5.6","5.6","0.0%"
"48","Latavius Murray (FA)","7","28","4.0","12","0","0","2","2","6","3.0","0","0","1","5.4","5.4","0.0%"
"49","Alexander Mattison (MIN)","7","52","7.4","19","0","0","0","0","0","0","0","0","1","5.2","5.2","61.0%"
"50","Jalen Richard (FA)","2","14","7.0","9","0","0","2","2","18","9.0","0","0","1","5.2","5.2","1.0%"
"51","Dion Lewis (FA)","2","11","5.5","9","0","0","2","4","19","9.5","0","0","1","5.0","5.0","2.0%"
"52","Dare Ogunbowale (HOU)","1","-4","-4.0","0","0","0","2","3","27","13.5","0","0","1","4.3","4.3","0.0%"
"53","Kyle Juszczyk (SF)","0","0","0","0","0","0","2","3","20","10.0","0","0","1","4.0","4.0","0.0%"
"54","Jaylen Samuels (FA)","3","2","0.7","6","0","0","3","4","11","3.7","0","0","1","3.5","3.5","0.0%"
"55","Jon Hilliman (FA)","9","20","2.2","6","0","0","1","2","4","4.0","0","0","1","3.4","3.4","0.0%"
"56","Raheem Mostert (MIA)","7","34","4.9","8","0","0","0","0","0","0","0","0","1","3.4","3.4","36.0%"
"57","Elijhaa Penny (FA)","3","15","5.0","6","0","0","1","1","9","9.0","0","0","1","3.4","3.4","0.0%"
"58","Gus Edwards (BAL)","5","17","3.4","7","0","0","1","1","6","6.0","0","0","1","3.3","3.3","22.0%"
"59","Jordan Wilkins (FA)","7","28","4.0","10","0","0","0","0","0","0","0","0","1","2.8","2.8","0.0%"
"60","Wendell Smallwood (FA)","6","27","4.5","12","0","0","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"61","Ameer Abdullah (LV)","3","24","8.0","15","0","0","0","0","0","0","0","0","1","2.4","2.4","3.0%"
"62","LeSean McCoy (FA)","0","0","0","0","0","0","2","2","23","11.5","0","1","1","2.3","2.3","2.0%"
"63","Tony Pollard (DAL)","4","19","4.8","7","0","0","0","0","0","0","0","0","1","1.9","1.9","90.0%"
"64","Danny Vitale (FA)","0","0","0","0","0","0","1","1","9","9.0","0","0","1","1.9","1.9","0.0%"
"65","Adrian Peterson (FA)","7","18","2.6","7","0","0","0","0","0","0","0","0","1","1.8","1.8","4.0%"
"66","Derek Watt (PIT)","0","0","0","0","0","0","1","1","8","8.0","0","0","1","1.8","1.8","0.0%"
"67","Ryquell Armstead (JAC)","1","-1","-1.0","0","0","0","1","1","7","7.0","0","0","1","1.6","1.6","0.0%"
"68","D'Ernest Johnson (CLE)","0","0","0","0","0","0","1","1","6","6.0","0","0","1","1.6","1.6","4.0%"
"69","Jakob Johnson (LV)","0","0","0","0","0","0","1","2","5","5.0","0","0","1","1.5","1.5","0.0%"
"70","Alex Armah Jr. (FA)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","1.4","1.4","0.0%"
"71","Wayne Gallman Jr. (FA)","2","14","7.0","11","0","0","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"72","C.J. Ham (MIN)","0","0","0","0","0","0","1","1","-1","-1.0","0","0","1","0.9","0.9","0.0%"
"73","Justice Hill (BAL)","2","7","3.5","4","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"74","Bilal Powell (FA)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"75","Darren Sproles (FA)","3","4","1.3","5","0","0","0","1","0","0","0","0","1","0.4","0.4","0.0%"
"76","Malcolm Brown (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"77","Alec Ingold (MIA)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"78","Anthony Sherman (FA)","1","2","2.0","2","0","0","0","1","0","0","0","0","1","0.2","0.2","0.0%"
"79","Ty Montgomery (NE)","2","1","0.5","4","0","0","0","0","0","0","0","0","1","0.1","0.1","1.0%"
"80","Jordan Scarlett (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"81","Darrell Henderson Jr. (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","68.0%"
"82","Trevon Wesco (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Benny Snell Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"84","Andrew Beck (DEN)","0","0","0","0","0","0","1","1","10","10.0","0","0","1","0.0","0.0","0.0%"
"85","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"86","Devine Ozigbo (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
