"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Zach Ertz (ARI)","10","12","103","10.3","22","1","1","0","0","0","0","1","26.3","26.3","94.0%"
"2","Rob Gronkowski (FA)","5","8","82","16.4","21","3","2","0","0","0","0","1","25.2","25.2","8.0%"
"3","Kyle Rudolph (TB)","4","4","63","15.8","34","2","2","0","0","0","0","1","22.3","22.3","2.0%"
"4","Hunter Henry (NE)","5","5","76","15.2","27","2","1","0","0","0","0","1","18.6","18.6","70.0%"
"5","Ricky Seals-Jones (NYG)","4","6","72","18.0","29","2","1","0","0","0","0","1","17.2","17.2","1.0%"
"6","Jack Doyle (FA)","7","8","94","13.4","26","2","0","0","0","0","0","1","16.4","16.4","2.0%"
"7","Delanie Walker (FA)","4","5","63","15.8","37","1","1","0","0","0","0","1","16.3","16.3","0.0%"
"8","Jimmy Graham (FA)","3","6","34","11.3","25","1","1","0","0","0","0","1","12.4","12.4","0.0%"
"9","Jason Witten (FA)","7","7","44","6.3","8","0","0","0","0","0","0","1","11.4","11.4","0.0%"
"10","Nick Vannett (NO)","2","4","29","14.5","17","0","1","0","0","0","0","1","10.9","10.9","0.0%"
"11","Tyler Kroft (SF)","3","4","14","4.7","8","0","1","0","0","0","0","1","10.4","10.4","0.0%"
"12","Julius Thomas (FA)","5","6","52","10.4","17","0","0","0","0","0","0","1","10.2","10.2","0.0%"
"13","Charles Clay (FA)","4","4","60","15.0","33","1","0","0","0","0","0","1","10.0","10.0","0.0%"
"14","David Njoku (CLE)","4","4","47","11.8","27","1","0","0","0","0","0","1","8.7","8.7","62.0%"
"15","O.J. Howard (BUF)","3","4","52","17.3","29","1","0","0","0","0","0","1","8.2","8.2","1.0%"
"16","Tyler Higbee (LAR)","3","3","48","16.0","38","1","0","0","0","0","0","1","7.8","7.8","53.0%"
"17","C.J. Fiedorowicz (FA)","4","8","37","9.3","10","0","0","0","0","0","0","1","7.7","7.7","0.0%"
"18","Eric Ebron (FA)","4","4","34","8.5","14","0","0","0","0","0","0","1","7.4","7.4","0.0%"
"19","Xavier Grimble (FA)","1","1","1","1.0","1","0","1","0","0","0","0","1","7.1","7.1","0.0%"
"20","Travis Kelce (KC)","3","4","39","13.0","25","1","0","0","0","0","0","1","6.9","6.9","100.0%"
"21","Austin Hooper (TEN)","3","5","38","12.7","20","1","0","0","0","0","0","1","6.8","6.8","30.0%"
"22","Jesse James (FA)","3","4","32","10.7","17","0","0","0","0","0","0","1","6.2","6.2","0.0%"
"23","Benjamin Watson (FA)","3","3","29","9.7","16","0","0","0","0","0","0","1","5.9","5.9","2.0%"
"24","Demetrius Harris (FA)","2","2","33","16.5","28","1","0","0","0","0","0","1","5.3","5.3","0.0%"
"25","Seth DeValve (FA)","2","2","33","16.5","24","1","0","0","0","0","0","1","5.3","5.3","0.0%"
"26","Evan Engram (JAC)","3","7","18","6.0","14","0","0","0","0","0","0","1","4.8","4.8","20.0%"
"27","Austin Seferian-Jenkins (FA)","2","7","27","13.5","19","0","0","0","0","0","0","1","4.7","4.7","0.0%"
"28","Niles Paul (FA)","3","5","16","5.3","8","0","0","0","0","0","0","1","4.6","4.6","0.0%"
"29","Austin Traylor (FA)","1","4","34","34.0","34","1","0","0","0","0","0","1","4.4","4.4","0.0%"
"30","Troy Niklas (FA)","2","2","22","11.0","13","0","0","0","0","0","0","1","4.2","4.2","0.0%"
"31","Daniel Brown (FA)","2","3","20","10.0","12","0","0","0","0","0","0","1","4.0","4.0","0.0%"
"32","Nick O'Leary (FA)","2","2","18","9.0","15","0","0","0","0","0","0","1","3.8","3.8","0.0%"
"33","Richard Rodgers (PHI)","1","3","25","25.0","25","1","0","0","0","0","0","1","3.5","3.5","0.0%"
"34","Jermaine Gresham (FA)","2","3","13","6.5","7","0","0","0","0","0","0","1","3.3","3.3","0.0%"
"35","Garrett Celek (FA)","2","2","7","3.5","5","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"36","Virgil Green (FA)","1","3","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"37","Ed Dickson (FA)","1","3","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"38","George Kittle (SF)","1","2","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","100.0%"
"39","Lee Smith (FA)","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"40","Maxx Williams (ARI)","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"41","Greg Olsen (FA)","1","4","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","7.0%"
"42","Marcedes Lewis (GB)","1","2","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"43","Nick Boyle (BAL)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"44","Rhett Ellison (FA)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"45","Gerald Everett (LAC)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","24.0%"
"46","Coby Fleener (FA)","1","2","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"47","James O'Shaughnessy (CHI)","1","2","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"48","Cameron Brate (TB)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","7.0%"
"49","Jared Cook (FA)","1","5","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","1.0%"
"50","Dwayne Allen (FA)","1","2","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"51","Adam Shaheen (MIA)","1","1","1","1.0","1","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"52","Dion Sims (FA)","1","1","-3","-3.0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"53","Jeff Cumberland (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"54","James Hanna (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"55","Logan Paulsen (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"56","Lance Kendricks (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"57","Derek Carrier (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"58","Brandon Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Jordan Matthews (SF)","2","3","15","7.5","8","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"60","Sean McGrath (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"61","Levine Toilolo (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Luke Willson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"63","MarQueis Gray (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"64","Anthony Fasano (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"65","Antonio Gates (FA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"66","Brent Celek (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"67","Clark Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"68","Vernon Davis (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"69","Michael Hoomanawanui (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"70","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"71","Jason Vander Laan (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"72","Jonnu Smith (NE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"73","Jeremy Sprinkle (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"74","Antony Auclair (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"75","Ben Braunecker (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Stephen Anderson (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"77","Jerell Adams (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"78","David Morgan II (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Michael Roberts (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"80","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"81","Shane Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"82","Jacob Hollister (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Cethan Carter (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"84","Eric Saubert (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Kevin McDermott (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"86","Josh Hill (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","Darren Fells (FA)","0","3","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"88","Kyle Nelson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"89","Clive Walford (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Ryan Hewitt (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"91","Phillip Supernaw (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"92","Devin Funchess (DET)","7","12","108","15.4","35","2","0","0","0","0","0","1","0.0","0.0","0.0%"
"93","Ben Koyack (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"94","Eric Tomlinson (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"95","Ross Travis (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"96","Beau Brinkley (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"97","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"98","Tyler Ott (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"99","Randall Telfer (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"100","Blake Bell (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"101","Vince Mayle (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"102","Chris Manhertz (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"103","C.J. Uzomah (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.0%"
"104","Neal Sterling (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","Khari Lee (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"106","Geoff Swaim (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
