"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Marcedes Lewis (GB)","4","5","62","15.5","30","1","3","0","0","0","0","1","28.2","28.2","0.0%"
"2","Rob Gronkowski (FA)","8","10","89","11.1","22","1","1","0","0","0","0","1","22.9","22.9","8.0%"
"3","Zach Ertz (ARI)","8","10","55","6.9","12","0","1","0","0","0","1","1","17.5","17.5","94.0%"
"4","Ryan Griffin (CHI)","5","6","61","12.2","35","1","1","0","0","0","0","1","17.1","17.1","0.0%"
"5","Vernon Davis (FA)","5","5","58","11.6","26","1","1","0","0","0","0","1","16.8","16.8","1.0%"
"6","Charles Clay (FA)","6","6","39","6.5","10","0","1","0","0","0","0","1","15.9","15.9","0.0%"
"7","Jared Cook (FA)","4","6","43","10.8","21","1","1","0","0","0","0","1","14.3","14.3","1.0%"
"8","Luke Willson (FA)","3","4","53","17.7","27","1","1","0","0","0","0","1","14.3","14.3","0.0%"
"9","Jimmy Graham (FA)","7","11","72","10.3","26","1","0","0","0","0","0","1","14.2","14.2","0.0%"
"10","Cameron Brate (TB)","4","4","33","8.3","18","0","1","0","0","0","0","1","13.3","13.3","7.0%"
"11","Lance Kendricks (FA)","2","3","52","26.0","51","1","1","0","0","0","0","1","13.2","13.2","0.0%"
"12","Benjamin Watson (FA)","3","3","12","4.0","6","0","1","0","0","0","0","1","10.2","10.2","2.0%"
"13","Jermaine Gresham (FA)","5","9","47","9.4","20","1","0","0","0","0","0","1","9.7","9.7","0.0%"
"14","Evan Engram (JAC)","5","7","45","9.0","14","0","0","0","0","0","0","1","9.5","9.5","20.0%"
"15","Jonnu Smith (NE)","1","2","24","24.0","24","1","1","0","0","0","0","1","9.4","9.4","2.0%"
"16","David Njoku (CLE)","2","4","12","6.0","11","0","1","0","0","0","0","1","9.2","9.2","62.0%"
"17","Austin Seferian-Jenkins (FA)","5","6","31","6.2","13","0","0","0","0","0","0","1","8.1","8.1","0.0%"
"18","Adam Shaheen (MIA)","1","1","2","2.0","2","0","1","0","0","0","0","1","7.2","7.2","0.0%"
"19","Garrett Celek (FA)","1","2","1","1.0","1","0","1","0","0","0","0","1","7.1","7.1","0.0%"
"20","Delanie Walker (FA)","4","6","31","7.8","11","0","0","0","0","0","0","1","7.1","7.1","0.0%"
"21","Tyler Kroft (SF)","3","4","28","9.3","14","0","0","0","0","0","0","1","5.8","5.8","0.0%"
"22","Antonio Gates (FA)","2","5","30","15.0","16","0","0","0","0","0","0","1","5.0","5.0","0.0%"
"23","Seth DeValve (FA)","2","5","29","14.5","20","1","0","0","0","0","0","1","4.9","4.9","0.0%"
"24","Virgil Green (FA)","3","3","18","6.0","14","0","0","0","0","0","0","1","4.8","4.8","0.0%"
"25","Julius Thomas (FA)","3","5","16","5.3","7","0","0","0","0","0","0","1","4.6","4.6","0.0%"
"26","Martellus Bennett (FA)","3","4","12","4.0","6","0","0","0","0","0","0","1","4.2","4.2","23.0%"
"27","Nick O'Leary (FA)","1","1","31","31.0","31","1","0","0","0","0","0","1","4.1","4.1","0.0%"
"28","Jesse James (FA)","2","4","19","9.5","14","0","0","0","0","0","0","1","3.9","3.9","0.0%"
"29","Nick Boyle (BAL)","2","2","14","7.0","7","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"30","Coby Fleener (FA)","1","1","21","21.0","21","1","0","0","0","0","0","1","3.1","3.1","0.0%"
"31","Eric Ebron (FA)","2","7","9","4.5","8","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"32","Jacob Hollister (LV)","1","1","19","19.0","19","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"33","Trey Burton (FA)","2","3","7","3.5","8","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"34","Derek Carrier (FA)","1","1","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"35","Zach Miller (FA)","1","3","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"36","Stephen Anderson (ARI)","1","3","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"37","James O'Shaughnessy (CHI)","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"38","O.J. Howard (BUF)","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","1.0%"
"39","Troy Niklas (FA)","1","1","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"40","Austin Hooper (TEN)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","30.0%"
"41","George Kittle (SF)","1","3","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","100.0%"
"42","Darren Fells (FA)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"43","Ed Dickson (FA)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"44","Brandon Williams (FA)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"45","Darrell Daniels (FA)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"46","Jack Doyle (FA)","2","5","16","8.0","11","0","0","0","0","0","1","1","1.6","1.6","2.0%"
