"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","4","8","94","23.5","36","3","2","0","0","0","0","1","25.4","25.4","100.0%"
"2","Rob Gronkowski (FA)","9","11","147","16.3","30","1","0","0","0","0","0","1","23.7","23.7","8.0%"
"3","Evan Engram (JAC)","7","8","99","14.1","29","2","1","0","0","0","0","1","22.9","22.9","20.0%"
"4","Stephen Anderson (ARI)","5","12","79","15.8","25","2","1","0","0","0","0","1","18.9","18.9","0.0%"
"5","Cameron Brate (TB)","2","6","39","19.5","28","1","2","0","0","0","0","1","17.9","17.9","7.0%"
"6","David Njoku (CLE)","4","6","74","18.5","33","2","1","0","0","0","0","1","17.4","17.4","62.0%"
"7","Delanie Walker (FA)","5","5","63","12.6","24","1","1","0","0","0","0","1","17.3","17.3","0.0%"
"8","Hunter Henry (NE)","7","9","81","11.6","25","1","0","0","0","0","0","1","15.1","15.1","70.0%"
"9","Kyle Rudolph (TB)","4","5","36","9.0","16","0","1","0","0","0","0","1","13.6","13.6","2.0%"
"10","Jimmy Graham (FA)","3","4","26","8.7","11","0","1","0","0","0","0","1","11.6","11.6","0.0%"
"11","Benjamin Watson (FA)","3","5","24","8.0","18","0","1","0","0","0","0","1","11.4","11.4","2.0%"
"12","Julius Thomas (FA)","3","3","20","6.7","9","0","1","0","0","0","0","1","11.0","11.0","0.0%"
"13","Marcedes Lewis (GB)","4","5","46","11.5","16","0","0","0","0","0","0","1","10.6","10.6","0.0%"
"14","Clive Walford (FA)","4","4","57","14.3","26","1","0","0","0","0","0","1","9.7","9.7","0.0%"
"15","Gerald Everett (LAC)","2","4","7","3.5","6","0","1","0","0","0","0","1","8.7","8.7","24.0%"
"16","Trey Burton (FA)","4","7","42","10.5","14","0","0","0","0","0","0","1","8.2","8.2","0.0%"
"17","Eric Ebron (FA)","4","4","38","9.5","13","0","0","0","0","0","0","1","7.8","7.8","0.0%"
"18","Jason Witten (FA)","1","5","8","8.0","8","0","1","0","0","0","0","1","7.8","7.8","0.0%"
"19","Nick Vannett (NO)","3","3","40","13.3","21","1","0","0","0","0","0","1","7.0","7.0","0.0%"
"20","Ricky Seals-Jones (NYG)","2","5","44","22.0","27","1","0","0","0","0","0","1","6.4","6.4","1.0%"
"21","Antonio Gates (FA)","3","4","32","10.7","12","0","0","0","0","0","0","1","6.2","6.2","0.0%"
"22","Seth DeValve (FA)","2","3","33","16.5","25","1","0","0","0","0","0","1","5.3","5.3","0.0%"
"23","Austin Hooper (TEN)","3","4","21","7.0","8","0","0","0","0","0","0","1","5.1","5.1","30.0%"
"24","Garrett Celek (FA)","2","4","30","15.0","22","1","0","0","0","0","0","1","5.0","5.0","0.0%"
"25","Charles Clay (FA)","3","3","20","6.7","10","0","0","0","0","0","0","1","5.0","5.0","0.0%"
"26","Tyler Kroft (SF)","2","2","30","15.0","19","0","0","0","0","0","0","1","5.0","5.0","0.0%"
"27","Virgil Green (FA)","1","1","36","36.0","36","1","0","0","0","0","0","1","4.6","4.6","0.0%"
"28","Jack Doyle (FA)","3","5","16","5.3","8","0","0","0","0","0","0","1","4.6","4.6","2.0%"
"29","Levine Toilolo (FA)","2","2","25","12.5","16","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"30","Zach Ertz (ARI)","2","4","24","12.0","14","0","0","0","0","0","0","1","4.4","4.4","94.0%"
"31","Niles Paul (FA)","3","3","12","4.0","5","0","0","0","0","0","0","1","4.2","4.2","0.0%"
"32","George Kittle (SF)","2","3","20","10.0","11","0","0","0","0","0","0","1","4.0","4.0","100.0%"
"33","Anthony Fasano (FA)","1","1","29","29.0","29","1","0","0","0","0","0","1","3.9","3.9","0.0%"
"34","James O'Shaughnessy (CHI)","1","1","29","29.0","29","1","0","0","0","0","0","1","3.9","3.9","0.0%"
"35","Ed Dickson (FA)","2","2","18","9.0","12","0","0","0","0","0","0","1","3.8","3.8","0.0%"
"36","Jermaine Gresham (FA)","2","3","17","8.5","13","0","0","0","0","0","0","1","3.7","3.7","0.0%"
"37","Austin Traylor (FA)","2","2","16","8.0","10","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"38","C.J. Fiedorowicz (FA)","2","3","16","8.0","9","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"39","Vernon Davis (FA)","2","2","15","7.5","9","0","0","0","0","0","0","1","3.5","3.5","1.0%"
"40","Michael Roberts (FA)","1","1","23","23.0","23","1","0","0","0","0","0","1","3.3","3.3","0.0%"
"41","Brandon Williams (FA)","2","2","11","5.5","8","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"42","C.J. Uzomah (NYJ)","1","1","21","21.0","21","1","0","0","0","0","0","1","3.1","3.1","3.0%"
"43","Darren Fells (FA)","2","2","10","5.0","8","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"44","Phillip Supernaw (FA)","1","1","20","20.0","20","1","0","0","0","0","0","1","3.0","3.0","0.0%"
"45","Logan Thomas (WAS)","2","2","10","5.0","7","0","0","0","0","0","0","1","3.0","3.0","10.0%"
"46","O.J. Howard (BUF)","1","2","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","1.0%"
"47","Austin Seferian-Jenkins (FA)","2","3","7","3.5","4","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"48","Derek Carrier (FA)","1","1","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"49","Daniel Brown (FA)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"50","Jesse James (FA)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"51","Alan Cross (FA)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"52","Nick Boyle (BAL)","1","3","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"53","Antony Auclair (HOU)","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"54","Lance Kendricks (FA)","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"55","Jared Cook (FA)","1","5","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","1.0%"
"56","Xavier Grimble (FA)","1","3","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"57","Tyler Higbee (LAR)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","53.0%"
"58","Dion Sims (FA)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"59","Rhett Ellison (FA)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"60","Richard Rodgers (PHI)","1","2","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"61","Dwayne Allen (FA)","1","1","3","3.0","3","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"62","Maxx Williams (ARI)","1","2","1","1.0","1","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"63","Michael Hoomanawanui (FA)","1","1","0","0.0","0","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"64","Taysom Hill (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","9.0%"
"65","Orson Charles (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"66","James Hanna (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"67","Jeff Cumberland (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"68","Logan Paulsen (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"69","Lee Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"70","Jordan Matthews (SF)","1","3","14","14.0","14","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"71","Troy Niklas (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"72","Sean McGrath (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"73","Luke Willson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"74","MarQueis Gray (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"75","Demetrius Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Brent Celek (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"77","Clark Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"78","Garrett Griffin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Jason Vander Laan (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"80","Adam Shaheen (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"81","Jonnu Smith (NE)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"82","Jeremy Sprinkle (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
