"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Kirk Cousins (MIN)","25","37","67.6","330","8.9","2","1","1","4","26","1","0","1","27.8","27.8","85.0%"
"2","Deshaun Watson (CLE)","17","29","58.6","225","7.8","3","1","1","6","23","0","0","1","23.3","23.3","22.0%"
"3","Carson Wentz (WAS)","16","30","53.3","222","7.4","3","0","3","6","25","0","1","1","21.4","21.4","14.0%"
"4","Carson Palmer (FA)","18","22","81.8","283","12.9","3","1","2","5","-4","0","0","1","20.9","20.9","11.0%"
"5","Ryan Fitzpatrick (FA)","22","32","68.8","290","9.1","3","2","2","2","12","0","0","1","20.8","20.8","0.0%"
"6","Cam Newton (FA)","28","52","53.8","239","4.6","1","3","2","11","71","1","0","1","20.7","20.7","18.0%"
"7","Josh McCown (FA)","31","47","66.0","354","7.5","2","2","4","3","21","0","0","1","20.3","20.3","0.0%"
"8","Tom Brady (TB)","20","38","52.6","257","6.8","2","1","0","1","-1","0","0","1","16.2","16.2","98.0%"
"9","Trevor Siemian (CHI)","29","50","58.0","376","7.5","1","2","4","1","9","0","0","1","15.9","15.9","0.0%"
"10","Alex Smith (FA)","19","34","55.9","246","7.2","1","0","3","4","13","0","0","1","15.1","15.1","5.0%"
"11","Matthew Stafford (LAR)","25","52","48.1","312","6.0","3","3","5","2","4","0","2","1","14.9","14.9","94.0%"
"12","Philip Rivers (FA)","25","36","69.4","268","7.4","1","0","1","2","-4","0","0","1","14.3","14.3","41.0%"
"13","Marcus Mariota (ATL)","23","32","71.9","306","9.6","1","1","1","2","0","0","0","1","14.2","14.2","9.0%"
"14","Jacoby Brissett (CLE)","21","37","56.8","212","5.7","1","0","1","4","15","0","0","1","14.0","14.0","3.0%"
"15","Blake Bortles (FA)","23","35","65.7","241","6.9","1","1","5","2","19","0","0","1","13.5","13.5","0.0%"
"16","C.J. Beathard (JAC)","19","36","52.8","245","6.8","1","1","2","1","14","0","0","1","13.2","13.2","0.0%"
"17","Case Keenum (BUF)","24","38","63.2","239","6.3","1","1","0","2","15","0","0","1","13.1","13.1","0.0%"
"18","Ben Roethlisberger (FA)","17","25","68.0","252","10.1","1","1","1","2","-2","0","0","1","11.9","11.9","27.0%"
"19","Jay Cutler (FA)","19","33","57.6","151","4.6","2","1","0","1","-1","0","0","1","11.9","11.9","0.0%"
"20","Matt Ryan (IND)","24","35","68.6","248","7.1","1","1","2","0","0","0","0","1","11.9","11.9","49.0%"
"21","Drew Brees (FA)","20","30","66.7","186","6.2","2","2","0","1","1","0","0","1","11.5","11.5","71.0%"
"22","Jared Goff (DET)","11","21","52.4","124","5.9","1","0","3","4","9","0","0","1","9.9","9.9","23.0%"
"23","Mitch Trubisky (PIT)","8","16","50.0","113","7.1","1","0","4","4","32","0","1","1","9.7","9.7","5.0%"
"24","Eli Manning (FA)","11","19","57.9","128","6.7","1","0","3","1","0","0","0","1","9.1","9.1","4.0%"
"25","Kevin Hogan (FA)","20","37","54.1","140","3.8","1","3","4","5","36","0","0","1","7.2","7.2","0.0%"
"26","Derek Carr (LV)","21","30","70.0","171","5.7","1","2","1","1","0","0","0","1","6.8","6.8","89.0%"
"27","Joe Flacco (NYJ)","24","41","58.5","180","4.4","0","2","3","1","2","0","0","1","5.4","5.4","1.0%"
"28","Brett Hundley (FA)","18","33","54.5","157","4.8","1","3","4","1","3","0","0","1","4.6","4.6","0.0%"
"29","Jameis Winston (NO)","5","10","50.0","61","6.1","0","0","0","0","0","0","0","1","2.4","2.4","41.0%"
"30","Brian Hoyer (NE)","4","11","36.4","34","3.1","0","0","1","0","0","0","0","1","1.4","1.4","0.0%"
"31","Aaron Rodgers (GB)","2","4","50.0","18","4.5","0","0","0","0","0","0","0","1","0.7","0.7","95.0%"
"32","Brock Osweiler (FA)","2","4","50.0","18","4.5","0","0","0","1","-1","0","0","1","0.6","0.6","0.0%"
""
""
