"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jared Goff (DET)","22","38","57.9","301","7.9","4","0","1","3","-6","0","1","1","25.4","25.4","23.0%"
"2","Kirk Cousins (MIN)","19","37","51.4","299","8.1","3","1","0","5","8","0","0","1","22.8","22.8","85.0%"
"3","Blake Bortles (FA)","32","50","64.0","382","7.6","2","3","1","5","31","0","0","1","22.4","22.4","0.0%"
"4","Jimmy Garoppolo (SF)","21","30","70.0","242","8.1","2","1","1","3","3","1","0","1","22.0","22.0","4.0%"
"5","Mitch Trubisky (PIT)","14","23","60.9","193","8.4","0","0","5","7","44","1","0","1","18.1","18.1","5.0%"
"6","Alex Smith (FA)","25","39","64.1","304","7.8","1","0","1","4","13","0","0","1","17.5","17.5","5.0%"
"7","Joe Flacco (NYJ)","29","38","76.3","237","6.2","2","0","1","4","-2","0","0","1","17.3","17.3","1.0%"
"8","Ben Roethlisberger (FA)","20","29","69.0","226","7.8","2","0","0","1","-1","0","0","1","16.9","16.9","27.0%"
"9","Cam Newton (FA)","16","25","64.0","160","6.4","0","1","2","14","52","1","0","1","15.6","15.6","18.0%"
"10","Tom Brady (TB)","21","28","75.0","224","8.0","2","1","2","2","6","0","0","1","15.6","15.6","98.0%"
"11","Philip Rivers (FA)","22","40","55.0","290","7.3","1","0","0","1","0","0","0","1","15.6","15.6","41.0%"
"12","Jay Cutler (FA)","19","38","50.0","286","7.5","1","0","0","2","-1","0","0","1","15.3","15.3","0.0%"
"13","Russell Wilson (DEN)","14","21","66.7","93","4.4","2","0","3","9","29","0","0","1","14.6","14.6","97.0%"
"14","Matt Ryan (IND)","22","36","61.1","288","8.0","1","1","5","2","7","0","0","1","14.2","14.2","49.0%"
"15","Jacoby Brissett (CLE)","16","33","48.5","215","6.5","1","0","2","3","8","0","0","1","13.4","13.4","3.0%"
"16","Jameis Winston (NO)","21","27","77.8","367","13.6","1","0","6","3","6","0","3","1","13.3","13.3","41.0%"
"17","Tyrod Taylor (NYG)","21","38","55.3","281","7.4","0","0","6","3","16","0","0","1","12.8","12.8","1.0%"
"18","Drew Stanton (FA)","20","34","58.8","209","6.1","2","2","2","2","1","0","0","1","12.5","12.5","0.0%"
"19","Marcus Mariota (ATL)","22","39","56.4","275","7.1","0","1","1","3","24","0","0","1","11.4","11.4","9.0%"
"20","Andy Dalton (NO)","27","41","65.9","238","5.8","1","1","3","3","-1","0","0","1","11.4","11.4","0.0%"
"21","Drew Brees (FA)","21","28","75.0","239","8.5","1","1","1","4","-4","0","0","1","11.2","11.2","71.0%"
"22","Matthew Stafford (LAR)","19","35","54.3","203","5.8","1","1","2","1","7","0","0","1","10.8","10.8","94.0%"
"23","Case Keenum (BUF)","14","25","56.0","139","5.6","1","0","3","4","-2","0","0","1","9.4","9.4","0.0%"
"24","Nick Foles (IND)","19","38","50.0","163","4.3","1","1","2","0","0","0","0","1","8.5","8.5","0.0%"
"25","Brock Osweiler (FA)","22","38","57.9","193","5.1","0","1","4","4","27","0","1","1","8.4","8.4","0.0%"
"26","Bryce Petty (FA)","15","28","53.6","119","4.3","0","1","3","3","33","0","0","1","6.1","6.1","0.0%"
"27","Brett Hundley (FA)","17","40","42.5","130","3.3","0","2","1","5","48","0","0","1","6.0","6.0","0.0%"
"28","Derek Carr (LV)","15","29","51.7","140","4.8","1","2","1","3","3","0","0","1","5.9","5.9","89.0%"
"29","Dak Prescott (DAL)","21","34","61.8","181","5.3","0","2","4","4","21","0","0","1","5.3","5.3","96.0%"
"30","Eli Manning (FA)","27","45","60.0","263","5.8","0","2","2","1","5","0","1","1","5.0","5.0","4.0%"
"31","T.J. Yates (FA)","7","16","43.8","83","5.2","1","1","6","1","11","0","1","1","4.4","4.4","0.0%"
"32","DeShone Kizer (FA)","18","36","50.0","182","5.1","0","2","1","3","8","0","0","1","4.1","4.1","0.0%"
"33","Taylor Heinicke (WAS)","1","1","100.0","10","10.0","0","0","1","1","2","0","0","1","0.6","0.6","1.0%"
"34","Derek Anderson (FA)","0","1","0.0","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"35","Kellen Clemens (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"36","Joe Webb III (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"37","Taysom Hill (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","9.0%"
"38","Brian Hoyer (NE)","0","0","0","0","0","0","0","0","2","-1","0","0","1","-0.1","-0.1","0.0%"
"39","Landry Jones (FA)","0","1","0.0","0","0.0","0","0","0","2","-1","0","0","1","-0.1","-0.1","0.0%"
""
""
