"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Carson Wentz (WAS)","17","25","68.0","268","10.7","4","1","3","8","63","0","0","1","31.0","31.0","14.0%"
"2","Derek Carr (LV)","29","52","55.8","417","8.0","3","0","0","1","15","0","0","1","30.2","30.2","89.0%"
"3","Dak Prescott (DAL)","16","25","64.0","234","9.4","3","0","0","4","26","1","0","1","30.0","30.0","96.0%"
"4","Russell Wilson (DEN)","27","39","69.2","334","8.6","3","0","1","2","10","0","0","1","26.4","26.4","97.0%"
"5","Alex Smith (FA)","25","36","69.4","342","9.5","3","0","1","1","0","0","0","1","25.7","25.7","5.0%"
"6","Josh McCown (FA)","17","27","63.0","209","7.7","3","1","3","3","1","1","0","1","24.5","24.5","0.0%"
"7","Kirk Cousins (MIN)","30","40","75.0","303","7.6","3","1","4","3","18","0","0","1","23.9","23.9","85.0%"
"8","Jameis Winston (NO)","32","44","72.7","384","8.7","3","1","1","1","0","0","1","1","23.4","23.4","41.0%"
"9","Tyrod Taylor (NYG)","20","33","60.6","268","8.1","1","0","1","6","53","0","0","1","20.0","20.0","1.0%"
"10","Drew Brees (FA)","27","38","71.1","331","8.7","1","2","1","5","-1","1","0","1","19.1","19.1","71.0%"
"11","Jared Goff (DET)","22","37","59.5","235","6.4","1","1","1","2","13","1","0","1","18.7","18.7","23.0%"
"12","Tom Brady (TB)","21","29","72.4","249","8.6","2","0","2","5","5","0","0","1","18.5","18.5","98.0%"
"13","Matt Ryan (IND)","23","33","69.7","233","7.1","1","0","1","3","37","0","0","1","17.0","17.0","49.0%"
"14","Ben Roethlisberger (FA)","14","24","58.3","224","9.3","2","0","0","3","-3","0","0","1","16.7","16.7","27.0%"
"15","Blake Bortles (FA)","18","26","69.2","330","12.7","1","0","1","4","11","0","1","1","16.3","16.3","0.0%"
"16","Philip Rivers (FA)","15","26","57.7","183","7.0","2","0","3","0","0","0","0","1","15.3","15.3","41.0%"
"17","C.J. Beathard (JAC)","22","38","57.9","235","6.2","0","0","5","5","30","1","2","1","14.4","14.4","0.0%"
"18","Matt Moore (FA)","13","21","61.9","188","9.0","2","1","1","0","0","0","0","1","13.5","13.5","0.0%"
"19","Brett Hundley (FA)","12","25","48.0","87","3.5","0","1","1","3","44","1","0","1","11.9","11.9","0.0%"
"20","Jay Cutler (FA)","12","16","75.0","138","8.6","2","1","2","0","0","0","0","1","11.5","11.5","0.0%"
"21","Joe Flacco (NYJ)","27","39","69.2","186","4.8","1","0","5","1","0","0","0","1","11.4","11.4","1.0%"
"22","Jacoby Brissett (CLE)","22","37","59.5","200","5.4","0","0","10","5","31","0","0","1","11.1","11.1","3.0%"
"23","Andy Dalton (NO)","17","30","56.7","140","4.7","2","2","4","3","8","0","0","1","10.4","10.4","0.0%"
"24","Marcus Mariota (ATL)","21","34","61.8","203","6.0","0","0","2","1","8","0","0","1","8.9","8.9","9.0%"
"25","Eli Manning (FA)","19","39","48.7","134","3.4","1","0","1","0","0","0","1","1","7.4","7.4","4.0%"
"26","Cam Newton (FA)","21","34","61.8","211","6.2","0","2","5","9","50","0","1","1","7.4","7.4","18.0%"
"27","Case Keenum (BUF)","20","31","64.5","188","6.1","0","1","0","1","9","0","0","1","6.4","6.4","0.0%"
"28","Trevor Siemian (CHI)","25","35","71.4","207","5.9","0","1","5","2","14","0","1","1","5.7","5.7","0.0%"
"29","Mitch Trubisky (PIT)","4","7","57.1","107","15.3","0","0","4","5","3","0","0","1","4.6","4.6","5.0%"
"30","Carson Palmer (FA)","10","18","55.6","122","6.8","0","1","1","0","0","0","0","1","2.9","2.9","11.0%"
"31","Cody Kessler (FA)","10","19","52.6","121","6.4","0","1","2","1","-1","0","0","1","2.7","2.7","0.0%"
"32","Cooper Rush (DAL)","1","2","50.0","2","1.0","0","0","0","2","13","0","0","1","1.4","1.4","0.0%"
"33","Drew Stanton (FA)","5","14","35.7","66","4.7","0","1","2","1","4","0","0","1","1.0","1.0","0.0%"
"34","DeShone Kizer (FA)","12","20","60.0","114","5.7","0","2","0","0","0","0","0","1","0.6","0.6","0.0%"
"35","Joe Webb III (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"36","Sean Mannion (MIN)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
"37","Austin Davis (FA)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
""
""
