"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cam Newton (FA)","20","31","64.5","242","7.8","4","0","1","14","58","0","0","1","31.5","31.5","18.0%"
"2","Eli Manning (FA)","37","57","64.9","434","7.6","3","1","1","0","0","0","0","1","27.4","27.4","4.0%"
"3","Jameis Winston (NO)","27","35","77.1","299","8.5","3","0","2","3","18","0","0","1","25.8","25.8","41.0%"
"4","Nick Foles (IND)","24","38","63.2","237","6.2","4","0","1","2","0","0","0","1","25.5","25.5","0.0%"
"5","Brock Osweiler (FA)","12","17","70.6","194","11.4","2","0","0","4","15","1","0","1","25.3","25.3","0.0%"
"6","Blake Bortles (FA)","21","29","72.4","326","11.2","3","0","1","0","0","0","0","1","25.0","25.0","0.0%"
"7","Tyrod Taylor (NYG)","17","29","58.6","224","7.7","1","0","2","6","42","1","0","1","23.2","23.2","1.0%"
"8","Aaron Rodgers (GB)","26","45","57.8","290","6.4","3","3","3","6","43","0","0","1","21.9","21.9","95.0%"
"9","Joe Flacco (NYJ)","26","42","61.9","288","6.9","1","0","1","4","3","1","0","1","21.8","21.8","1.0%"
"10","Jimmy Garoppolo (SF)","31","43","72.1","381","8.9","1","0","3","0","0","0","0","1","19.6","19.6","4.0%"
"11","Case Keenum (BUF)","20","23","87.0","236","10.3","2","0","2","1","20","0","0","1","19.4","19.4","0.0%"
"12","Alex Smith (FA)","23","30","76.7","231","7.7","2","0","1","3","13","0","0","1","18.5","18.5","5.0%"
"13","Ben Roethlisberger (FA)","22","30","73.3","281","9.4","2","1","2","3","10","0","0","1","18.2","18.2","27.0%"
"14","Marcus Mariota (ATL)","23","33","69.7","241","7.3","2","0","1","2","4","0","0","1","18.0","18.0","9.0%"
"15","Derek Carr (LV)","21","38","55.3","171","4.5","2","0","0","4","47","0","1","1","17.5","17.5","89.0%"
"16","Matthew Stafford (LAR)","25","33","75.8","237","7.2","2","0","4","1","-1","0","0","1","17.4","17.4","94.0%"
"17","Drew Brees (FA)","26","36","72.2","281","7.8","2","1","0","1","-1","0","0","1","17.1","17.1","71.0%"
"18","Kirk Cousins (MIN)","18","26","69.2","196","7.5","2","0","1","2","0","0","0","1","15.8","15.8","85.0%"
"19","Tom Brady (TB)","22","35","62.9","298","8.5","1","1","2","2","-2","0","0","1","15.7","15.7","98.0%"
"20","Matt Ryan (IND)","17","31","54.8","212","6.8","1","0","1","3","29","0","0","1","15.4","15.4","49.0%"
"21","Jacoby Brissett (CLE)","17","30","56.7","158","5.3","0","0","1","5","18","1","0","1","14.1","14.1","3.0%"
"22","Dak Prescott (DAL)","18","27","66.7","212","7.9","0","2","2","6","32","1","0","1","13.7","13.7","96.0%"
"23","Russell Wilson (DEN)","14","30","46.7","142","4.7","1","0","7","5","39","0","1","1","11.6","11.6","97.0%"
"24","Mitch Trubisky (PIT)","31","46","67.4","314","6.8","1","3","2","2","3","0","0","1","10.9","10.9","5.0%"
"25","Jared Goff (DET)","14","21","66.7","120","5.7","2","1","2","0","0","0","0","1","10.8","10.8","23.0%"
"26","Bryce Petty (FA)","19","39","48.7","179","4.6","1","2","1","2","16","0","0","1","8.8","8.8","0.0%"
"27","Philip Rivers (FA)","20","36","55.6","227","6.3","1","3","2","0","0","0","0","1","7.1","7.1","41.0%"
"28","T.J. Yates (FA)","12","31","38.7","128","4.1","1","1","4","0","0","0","0","1","7.1","7.1","0.0%"
"29","Blaine Gabbert (TB)","16","41","39.0","189","4.6","0","1","5","6","28","0","1","1","6.4","6.4","0.0%"
"30","Jay Cutler (FA)","28","49","57.1","274","5.6","0","3","3","2","8","0","0","1","5.8","5.8","0.0%"
"31","DeShone Kizer (FA)","20","37","54.1","146","3.9","0","2","2","7","35","0","1","1","3.3","3.3","0.0%"
"32","AJ McCarron (FA)","3","6","50.0","19","3.2","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"33","Trevor Siemian (CHI)","5","9","55.6","67","7.4","0","1","2","0","0","0","0","1","0.7","0.7","0.0%"
"34","Andy Dalton (NO)","11","22","50.0","113","5.1","0","2","3","0","0","0","0","1","0.5","0.5","0.0%"
"35","Sean Mannion (MIN)","1","2","50.0","4","2.0","0","0","0","2","3","0","0","1","0.5","0.5","0.0%"
"36","Austin Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"37","Kellen Clemens (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"38","Joe Webb III (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"39","Taysom Hill (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","9.0%"
"40","Chad Henne (KC)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.0%"
"41","Teddy Bridgewater (MIA)","0","2","0.0","0","0.0","0","1","0","3","-3","0","0","1","-2.3","-2.3","1.0%"
""
""
