"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","David Montgomery (CHI)","17","72","4.2","13","0","2","4","4","39","9.8","0","0","1","27.1","27.1","97.0%"
"2","Dalvin Cook (MIN)","32","120","3.8","12","0","0","6","9","59","9.8","0","0","1","23.9","23.9","100.0%"
"3","Aaron Jones (GB)","15","130","8.7","77","4","1","3","3","18","6.0","0","0","1","23.8","23.8","100.0%"
"4","James Robinson (JAC)","18","78","4.3","15","0","1","6","6","30","5.0","0","0","1","22.8","22.8","64.0%"
"5","Jonathan Taylor (IND)","13","91","7.0","24","1","0","3","3","44","14.7","1","0","1","22.5","22.5","100.0%"
"6","Chris Carson (FA)","13","65","5.0","11","0","0","3","6","45","15.0","1","0","1","20.0","20.0","1.0%"
"7","Ty Johnson (NYJ)","22","104","4.7","16","0","1","2","2","13","6.5","0","0","1","19.7","19.7","0.0%"
"8","J.D. McKissic (WAS)","5","8","1.6","8","0","0","10","10","70","7.0","0","0","1","17.8","17.8","30.0%"
"9","Alvin Kamara (NO)","15","88","5.9","37","2","1","2","3","9","4.5","0","0","1","17.7","17.7","100.0%"
"10","Adrian Peterson (FA)","16","57","3.6","15","0","2","0","1","0","0","0","0","1","17.7","17.7","4.0%"
"11","Nick Chubb (CLE)","18","80","4.4","29","1","1","1","1","26","26.0","0","0","1","17.6","17.6","100.0%"
"12","Alfred Morris (FA)","8","39","4.9","13","0","1","1","1","6","6.0","1","0","1","17.5","17.5","0.0%"
"13","Cam Akers (LAR)","21","72","3.4","12","0","1","1","1","22","22.0","0","0","1","16.4","16.4","97.0%"
"14","Darrell Henderson Jr. (LAR)","3","49","16.3","38","2","1","2","3","25","12.5","0","0","1","15.4","15.4","68.0%"
"15","Melvin Gordon III (DEN)","15","131","8.7","65","4","0","1","2","11","11.0","0","0","1","15.2","15.2","88.0%"
"16","Myles Gaskin (MIA)","21","90","4.3","26","1","0","2","2","51","25.5","0","1","1","14.1","14.1","3.0%"
"17","Kenyan Drake (FA)","10","49","4.9","27","1","1","2","3","9","4.5","0","0","1","13.8","13.8","4.0%"
"18","Wayne Gallman Jr. (FA)","16","135","8.4","60","5","0","0","0","0","0","0","0","1","13.5","13.5","0.0%"
"19","Ezekiel Elliott (DAL)","18","77","4.3","14","0","0","4","6","18","4.5","0","0","1","13.5","13.5","99.0%"
"20","J.K. Dobbins (BAL)","11","71","6.5","30","2","1","0","0","0","0","0","0","1","13.1","13.1","95.0%"
"21","Nyheim Hines (IND)","6","10","1.7","5","0","1","3","3","22","7.3","0","0","1","12.2","12.2","62.0%"
"22","Devin Singletary (BUF)","18","61","3.4","15","0","0","3","4","22","7.3","0","0","1","11.3","11.3","92.0%"
"23","Austin Ekeler (LAC)","8","36","4.5","9","0","0","4","9","32","8.0","0","0","1","10.8","10.8","100.0%"
"24","Jeremy McNichols (PIT)","2","2","1.0","1","0","1","3","4","15","5.0","0","0","1","10.7","10.7","0.0%"
"25","Damien Harris (NE)","16","80","5.0","12","0","0","1","1","15","15.0","0","0","1","10.5","10.5","94.0%"
"26","David Johnson (FA)","10","44","4.4","19","0","1","0","2","0","0","0","0","1","10.4","10.4","0.0%"
"27","Gus Edwards (BAL)","7","101","14.4","36","4","0","0","0","0","0","0","0","1","10.1","10.1","22.0%"
"28","Duke Johnson Jr. (BUF)","2","8","4.0","4","0","0","6","6","24","4.0","0","0","1","9.2","9.2","0.0%"
"29","Kareem Hunt (CLE)","14","33","2.4","8","0","0","3","3","24","8.0","0","0","1","8.7","8.7","89.0%"
"30","Peyton Barber (FA)","14","23","1.6","5","0","1","0","0","0","0","0","0","1","8.3","8.3","1.0%"
"31","C.J. Ham (MIN)","0","0","0","0","0","0","1","1","12","12.0","1","0","1","8.2","8.2","0.0%"
"32","Kyle Juszczyk (SF)","2","5","2.5","5","0","0","1","1","6","6.0","1","0","1","8.1","8.1","0.0%"
"33","Jeff Wilson Jr. (SF)","7","47","6.7","18","0","0","2","5","12","6.0","0","0","1","7.9","7.9","3.0%"
"34","Le'Veon Bell (FA)","11","40","3.6","16","0","0","2","3","15","7.5","0","0","1","7.5","7.5","0.0%"
"35","Josh Adams (FA)","8","74","9.3","25","1","0","0","0","0","0","0","0","1","7.4","7.4","0.0%"
"36","Kalen Ballage (FA)","7","34","4.9","8","0","0","3","4","5","1.7","0","0","1","6.9","6.9","0.0%"
"37","Sony Michel (MIA)","10","35","3.5","10","0","0","1","1","23","23.0","0","0","1","6.8","6.8","12.0%"
"38","Chase Edmonds (MIA)","6","28","4.7","13","0","0","2","5","15","7.5","0","0","1","6.3","6.3","91.0%"
