"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Alvin Kamara (NO)","8","15","1.9","8","0","2","7","8","83","11.9","1","0","1","34.8","34.8","100.0%"
"2","Josh Jacobs (LV)","21","112","5.3","24","1","2","4","4","24","6.0","0","0","1","29.6","29.6","96.0%"
"3","Nyheim Hines (IND)","12","70","5.8","14","0","1","5","6","45","9.0","1","0","1","28.5","28.5","62.0%"
"4","D'Andre Swift (DET)","16","81","5.1","17","0","0","5","5","68","13.6","1","0","1","25.9","25.9","100.0%"
"5","Ronald Jones II (KC)","23","192","8.3","98","4","1","1","2","6","6.0","0","1","1","24.8","24.8","27.0%"
"6","Rex Burkhead (HOU)","6","31","5.2","9","0","0","4","5","35","8.8","2","0","1","22.6","22.6","2.0%"
"7","Antonio Gibson (WAS)","13","45","3.5","12","0","2","4","4","20","5.0","0","0","1","22.5","22.5","95.0%"
"8","Devontae Booker (FA)","16","81","5.1","23","1","2","1","1","2","2.0","0","0","1","21.3","21.3","0.0%"
"9","Malcolm Brown (FA)","6","33","5.5","13","0","2","2","2","18","9.0","0","0","1","19.1","19.1","0.0%"
"10","Wayne Gallman Jr. (FA)","18","53","2.9","17","0","2","1","2","7","7.0","0","0","1","19.0","19.0","0.0%"
"11","Nick Chubb (CLE)","19","126","6.6","59","4","1","0","1","0","0","0","0","1","18.6","18.6","100.0%"
"12","J.D. McKissic (WAS)","8","6","0.8","5","0","1","7","15","43","6.1","0","0","1","17.9","17.9","30.0%"
"13","Kareem Hunt (CLE)","19","104","5.5","19","0","0","3","4","28","9.3","0","0","1","16.2","16.2","89.0%"
"14","Salvon Ahmed (MIA)","21","85","4.0","18","0","1","1","1","5","5.0","0","0","1","16.0","16.0","0.0%"
"15","Dalvin Cook (MIN)","30","96","3.2","14","0","0","4","4","16","4.0","0","0","1","15.2","15.2","100.0%"
"16","Kalen Ballage (FA)","18","68","3.8","11","0","0","5","6","34","6.8","0","0","1","15.2","15.2","0.0%"
"17","Aaron Jones (GB)","13","46","3.5","20","1","0","5","6","49","9.8","0","0","1","14.5","14.5","100.0%"
"18","Boston Scott (PHI)","3","63","21.0","56","4","1","1","1","11","11.0","0","0","1","14.4","14.4","3.0%"
"19","Miles Sanders (PHI)","15","85","5.7","14","0","0","2","5","10","5.0","0","0","1","13.5","13.5","91.0%"
"20","James Robinson (JAC)","23","109","4.7","20","1","0","2","5","3","1.5","0","0","1","13.2","13.2","64.0%"
"21","Damien Harris (NE)","22","121","5.5","25","1","0","0","0","0","0","0","0","1","12.1","12.1","94.0%"
"22","Derrick Henry (TEN)","19","103","5.4","20","1","0","1","2","6","6.0","0","0","1","11.9","11.9","100.0%"
"23","Alex Collins (FA)","11","43","3.9","13","0","1","1","2","4","4.0","0","0","1","11.7","11.7","19.0%"
"24","Chase Edmonds (MIA)","8","56","7.0","25","1","0","3","3","21","7.0","0","0","1","10.7","10.7","91.0%"
"25","Darrell Henderson Jr. (LAR)","7","28","4.0","16","0","1","1","1","5","5.0","0","0","1","10.3","10.3","68.0%"
"26","Kenyan Drake (FA)","16","100","6.3","20","1","0","1","1","9","9.0","0","1","1","9.9","9.9","4.0%"
"27","D'Onta Foreman (CAR)","7","18","2.6","8","0","0","1","1","5","5.0","1","0","1","9.3","9.3","11.0%"
"28","Giovani Bernard (TB)","8","30","3.8","11","0","0","4","7","17","4.3","0","0","1","8.7","8.7","0.0%"
"29","Jamaal Williams (DET)","8","30","3.8","7","0","0","3","4","25","8.3","0","0","1","8.5","8.5","39.0%"
"30","Mike Davis (BAL)","7","32","4.6","7","0","0","4","5","12","3.0","0","0","1","8.4","8.4","13.0%"
"31","Gus Edwards (BAL)","7","42","6.0","11","0","0","1","1","31","31.0","0","0","1","8.3","8.3","22.0%"
"32","James Conner (ARI)","13","36","2.8","16","0","0","2","2","12","6.0","0","0","1","6.8","6.8","99.0%"
"33","Corey Clement (FA)","1","5","5.0","5","0","1","0","0","0","0","0","0","1","6.5","6.5","0.0%"
"34","Samaje Perine (CIN)","7","48","6.9","15","0","0","1","1","7","7.0","0","0","1","6.5","6.5","5.0%"
"35","Jonathan Taylor (IND)","7","12","1.7","4","0","0","2","2","25","12.5","0","0","1","5.7","5.7","100.0%"
"36","Latavius Murray (FA)","9","57","6.3","18","0","0","0","0","0","0","0","0","1","5.7","5.7","0.0%"
"37","Jerick McKinnon (KC)","18","33","1.8","9","0","0","1","3","13","13.0","0","0","1","5.6","5.6","3.0%"
"38","Duke Johnson Jr. (BUF)","14","54","3.9","23","1","0","0","1","0","0","0","0","1","5.4","5.4","0.0%"
"39","DeeJay Dallas (SEA)","2","8","4.0","5","0","0","2","3","23","11.5","0","0","1","5.1","5.1","1.0%"
"40","Leonard Fournette (TB)","8","19","2.4","14","0","0","2","3","11","5.5","0","0","1","5.0","5.0","100.0%"
"41","Travis Homer (SEA)","0","0","0","0","0","0","3","3","19","6.3","0","0","1","4.9","4.9","1.0%"
"42","Mark Ingram II (NO)","5","5","1.0","5","0","0","2","2","24","12.0","0","0","1","4.9","4.9","16.0%"
"43","Royce Freeman (HOU)","2","11","5.5","9","0","0","2","2","15","7.5","0","0","1","4.6","4.6","0.0%"
"44","Melvin Gordon III (DEN)","11","46","4.2","11","0","0","0","2","0","0","0","0","1","4.6","4.6","88.0%"
"45","Jeremy McNichols (PIT)","3","26","8.7","16","0","0","1","1","8","8.0","0","0","1","4.4","4.4","0.0%"
