"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Dalvin Cook (MIN)","27","115","4.3","16","0","1","5","5","45","9.0","0","1","1","25.0","25.0","100.0%"
"2","Clyde Edwards-Helaire (KC)","14","69","4.9","14","0","2","1","2","8","8.0","0","0","1","20.7","20.7","93.0%"
"3","Derrick Henry (TEN)","28","133","4.8","29","2","1","1","2","-1","-1.0","0","0","1","20.2","20.2","100.0%"
"4","Ezekiel Elliott (DAL)","21","103","4.9","18","0","0","2","2","11","5.5","1","0","1","19.4","19.4","99.0%"
"5","J.K. Dobbins (BAL)","15","70","4.7","11","0","1","2","2","15","7.5","0","0","1","18.5","18.5","95.0%"
"6","Melvin Gordon III (DEN)","15","84","5.6","25","2","2","0","0","0","0","0","1","1","18.4","18.4","88.0%"
"7","Carlos Hyde (FA)","14","79","5.6","17","0","1","2","3","16","8.0","0","0","1","17.5","17.5","0.0%"
"8","Antonio Gibson (WAS)","16","94","5.9","19","0","1","1","2","10","10.0","0","0","1","17.4","17.4","95.0%"
"9","Aaron Jones (GB)","10","41","4.1","15","0","1","4","4","30","7.5","0","0","1","17.1","17.1","100.0%"
"10","Kenyan Drake (FA)","11","29","2.6","12","0","1","4","5","31","7.8","0","0","1","16.0","16.0","4.0%"
"11","Mike Davis (BAL)","19","64","3.4","9","0","1","2","2","15","7.5","0","0","1","15.9","15.9","13.0%"
"12","Jonathan Taylor (IND)","22","90","4.1","18","0","0","4","4","24","6.0","0","0","1","15.4","15.4","100.0%"
"13","Frank Gore (FA)","15","61","4.1","14","0","1","2","2","10","5.0","0","0","1","15.1","15.1","24.0%"
"14","Chase Edmonds (MIA)","2","13","6.5","11","0","0","4","4","36","9.0","1","0","1","14.9","14.9","91.0%"
"15","James White (FA)","5","19","3.8","8","0","0","6","9","64","10.7","0","0","1","14.3","14.3","1.0%"
"16","Kalen Ballage (FA)","16","44","2.8","17","0","0","7","9","27","3.9","0","0","1","14.1","14.1","0.0%"
"17","Josh Jacobs (LV)","17","55","3.2","13","0","1","1","1","9","9.0","0","0","1","13.4","13.4","96.0%"
"18","James Conner (ARI)","13","89","6.8","25","1","0","3","3","10","3.3","0","0","1","12.9","12.9","99.0%"
"19","Salvon Ahmed (MIA)","12","43","3.6","14","0","0","5","6","31","6.2","0","0","1","12.4","12.4","0.0%"
"20","Damien Harris (NE)","11","43","3.9","9","0","1","1","2","11","11.0","0","0","1","12.4","12.4","94.0%"
"21","Tony Pollard (DAL)","5","60","12.0","42","3","1","0","0","0","0","0","0","1","12.0","12.0","90.0%"
"22","James Robinson (JAC)","17","73","4.3","18","0","0","2","2","21","10.5","0","0","1","11.4","11.4","64.0%"
"23","Nick Chubb (CLE)","20","114","5.7","54","4","0","0","0","0","0","0","0","1","11.4","11.4","100.0%"
