"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Kansas City Chiefs (KC)","47","22","7","13","6","1","0","16","176.0","11.0","23.4%"
"2","Denver Broncos (DEN)","52","14","13","19","5","1","1","16","168.0","10.5","41.8%"
"3","Carolina Panthers (CAR)","44","24","15","20","4","0","0","16","167.0","10.4","2.6%"
"4","Arizona Cardinals (ARI)","36","19","14","19","6","2","1","16","162.0","10.1","1.8%"
"5","Houston Texans (HOU)","45","14","11","10","3","0","0","16","150.0","9.4","1.8%"
"6","Seattle Seahawks (SEA)","37","14","8","16","3","0","2","16","148.0","9.3","2.0%"
"7","Pittsburgh Steelers (PIT)","48","17","13","14","2","0","1","16","141.0","8.8","58.7%"
"8","Cincinnati Bengals (CIN)","42","21","7","10","1","0","0","16","138.0","8.6","44.6%"
"9","New England Patriots (NE)","49","12","9","20","2","1","0","16","133.0","8.3","38.0%"
"10","Los Angeles Rams (LAR)","41","13","13","18","3","1","1","16","132.0","8.3","65.8%"
"11","Minnesota Vikings (MIN)","43","13","9","10","3","0","3","16","122.0","7.6","12.2%"
"12","Indianapolis Colts (IND)","35","17","8","12","5","1","0","16","121.0","7.6","62.4%"
"13","Philadelphia Eagles (PHI)","37","15","11","17","4","1","3","16","119.0","7.4","36.2%"
"14","Green Bay Packers (GB)","43","16","6","11","2","0","0","16","119.0","7.4","82.2%"
"15","New York Jets (NYJ)","39","18","12","13","0","0","0","16","116.0","7.3","1.6%"
"16","Washington Commanders (WAS)","38","11","15","21","2","1","2","16","115.0","7.2","38.8%"
"17","Las Vegas Raiders (LV)","38","14","11","13","1","2","0","16","106.0","6.6","2.7%"
"18","Tampa Bay Buccaneers (TB)","38","11","12","18","3","0","0","16","104.0","6.5","95.7%"
"19","New York Giants (NYG)","23","15","12","17","4","1","2","16","100.0","6.3","5.2%"
"20","Buffalo Bills (BUF)","21","17","8","5","3","1","0","16","98.0","6.1","99.5%"
"21","Detroit Lions (DET)","43","9","9","17","2","2","0","16","97.0","6.1","1.0%"
"22","Atlanta Falcons (ATL)","19","15","8","12","3","0","0","16","93.0","5.8","2.2%"
"23","Baltimore Ravens (BAL)","37","6","8","7","2","0","2","16","92.0","5.8","85.6%"
"24","Jacksonville Jaguars (JAC)","36","9","9","14","3","0","1","16","90.0","5.6","1.8%"
"25","Tennessee Titans (TEN)","39","11","8","7","2","0","0","16","88.0","5.5","7.8%"
"26","Miami Dolphins (MIA)","31","13","3","8","3","0","1","16","86.0","5.4","20.9%"
"27","Los Angeles Chargers (LAC)","32","11","9","9","1","0","0","16","83.0","5.2","60.7%"
"28","Dallas Cowboys (DAL)","31","8","3","5","1","1","1","16","80.0","5.0","74.0%"
"29","Cleveland Browns (CLE)","29","11","10","14","2","0","1","16","80.0","5.0","49.2%"
"30","Chicago Bears (CHI)","35","8","9","6","0","0","0","16","77.0","4.8","19.2%"
"31","New Orleans Saints (NO)","31","9","13","15","1","0","2","16","73.0","4.6","89.3%"
"32","San Francisco 49ers (SF)","28","9","3","5","1","0","0","16","65.0","4.1","95.0%"
""
""
