"ID","Name","Commissioner","Manager","Rank","Playoff Seed","Wins","Losses","Ties","Image"
"406.l.12345.t.1","Steel 7","False","--hidden--","2","3","9","6","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/39371013883_4111dc.jpg"
"406.l.12345.t.2","Hump Day","False","--hidden--","4","2","10","5","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24935917739_4007734854.jpg"
"406.l.12345.t.3","Randy's Reasonable Team","False","--hidden--","3","4","9","6","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_r.png"
"406.l.12345.t.4","BILLY STEELERS","False","--hidden--","6","6","7","8","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png"
"406.l.12345.t.5","Blackgold33","False","--hidden--","9","","6","9","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25300727172_081f375de8.jpg"
"406.l.12345.t.6","zack's Slam-Dunk Team","False","--hidden--","10","","4","11","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_9_z.png"
"406.l.12345.t.7","Letterkenney Hicks","False","--hidden--","8","7","7","8","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_10_t.png"
"406.l.12345.t.8","MC Maulers","False","--hidden--","5","8","6","9","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_1_s.png"
"406.l.12345.t.9","KELLY P's Nice Team","False","--hidden--","1","1","10","5","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4_k.png"
"406.l.12345.t.10","Arnold's Crazy Team","False","--hidden--","7","5","7","8","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4_a.png"
