"ID","Name","Commissioner","Manager","Rank","Playoff Seed","Wins","Losses","Ties","Image"
"406.l.12355.t.1","Joselito's Notable Team","False","--hidden--","7","5","8","7","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4_j.png"
"406.l.12355.t.2","roger's Matchless Team","False","--hidden--","10","","2","13","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4_r.png"
"406.l.12355.t.3","Zone blitz","False","--hidden--","4","3","10","5","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4_z.png"
"406.l.12355.t.4","Trip's Nice Team","False","--hidden--","5","7","7","8","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_10_t.png"
"406.l.12355.t.5","Untouchaballs","False","--hidden--","1","2","10","5","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/a41f43aaa4627feb8ebc2a0c576f6147185adbb05de991cb8b349eab44c37788.jpg"
"406.l.12355.t.6","Dak to the Future","False","--hidden--","8","6","8","7","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/b1ad9576dfa3951c75954776735364ef2e34495e5105cb30f410cb5c8ccd2a96.jpg"
"406.l.12355.t.7","Blind Zebras II","False","--hidden--","3","4","9","6","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24990784220_6aca50c638.jpg"
"406.l.12355.t.8","#daBears 29-3","False","--hidden--","6","8","5","10","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/73a28bc03a20b2f63b8dc27c6c9e4ca850851cfa4fed5852c628bb587141d68d.jpg"
"406.l.12355.t.9","Jay's Incredible Team","False","--hidden--","9","","4","11","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_j.png"
"406.l.12355.t.10","Yan's Yumbelievable Team","False","--hidden--","2","1","12","3","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_10_y.png"
