"ID","Name","Commissioner","Manager","Rank","Playoff Seed","Wins","Losses","Ties","Image"
"406.l.12347.t.1","Jyhad's Jazmine","False","--hidden--","2","2","10","5","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/68799f3d1b727bbf34dbdbb0ab5adfb6b652d16eb5df6a4fd83bd93606da67e0.jpg"
"406.l.12347.t.2","Rickster's Dandy Team","False","--hidden--","3","4","8","7","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_8_r.png"
"406.l.12347.t.3","Maryland Eagles","False","--hidden--","1","1","12","3","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_10_m.png"
"406.l.12347.t.4","6going47","False","--hidden--","6","6","7","8","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24702570944_55c5f44e0c.gif"
"406.l.12347.t.5","69 VIKINGS","False","--hidden--","8","7","6","9","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_12.png"
"406.l.12347.t.6","Redskins","False","--hidden--","10","","4","11","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png"
"406.l.12347.t.7","Yoyo's Yumbelievable Team","False","--hidden--","9","","5","10","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_1_y.png"
"406.l.12347.t.8","Deep Dish","False","--hidden--","7","8","6","9","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4_m.png"
"406.l.12347.t.9","horace  Bucs","False","--hidden--","5","5","8","7","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25241422731_7f163f770f.jpg"
"406.l.12347.t.10","Javier's Boss Team","False","--hidden--","4","3","9","6","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_7_j.png"
