"ID","Name","Commissioner","Manager","Rank","Playoff Seed","Wins","Losses","Ties","Image"
"406.l.12351.t.1","NJ Giants","False","--hidden--","1","2","10","5","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_9_n.png"
"406.l.12351.t.2","RYDERZ","False","--hidden--","7","8","7","8","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36957841252_d3028f.jpg"
"406.l.12351.t.3","barnestormers","False","--hidden--","8","7","7","8","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/23246860908_8e8815.png"
"406.l.12351.t.4","ss trini dadz warriorz","False","--hidden--","4","1","11","4","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/39227974703_30d2d2.jpg"
"406.l.12351.t.5","Mike's Mind-Blowing Team","False","--hidden--","6","5","9","6","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_2_m.png"
"406.l.12351.t.6","Hittin' Horns","False","--hidden--","5","6","8","7","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_6.png"
"406.l.12351.t.7","Vandelay Industries","False","--hidden--","3","3","9","6","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_2_c.png"
"406.l.12351.t.8","Matt's Mind-Blowing Team","False","--hidden--","10","","2","13","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_1_m.png"
"406.l.12351.t.9","Happy Koalas","False","--hidden--","2","4","9","6","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25204889042_12df6f1744.jpg"
"406.l.12351.t.10","Gloria's Expert Team","False","--hidden--","9","","3","12","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_7_g.png"
