"ID","Name","Commissioner","Manager","Rank","Playoff Seed","Wins","Losses","Ties","Image"
"406.l.12357.t.1","Eric's Spectacular Team","False","--hidden--","10","","5","10","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_3_e.png"
"406.l.12357.t.2","JARA","False","--hidden--","7","7","7","8","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43333914874_c481cd.jpg"
"406.l.12357.t.3","Tom Callahan's Legit Team","False","--hidden--","6","5","8","7","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_7_t.png"
"406.l.12357.t.4","George's Optimal Team","False","--hidden--","5","6","7","8","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_g.png"
"406.l.12357.t.5","FantasyChampsWL","False","--hidden--","9","","5","10","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_10.png"
"406.l.12357.t.6","Barney's Rubble","False","--hidden--","3","2","9","6","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_9_b.png"
"406.l.12357.t.7","Go Big Red","False","--hidden--","2","3","9","6","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/e63bdbe96c702e3ebde5417012e50f2fa371300ca78807333d9284145a689038.png"
"406.l.12357.t.8","BAmes","False","--hidden--","4","4","8","7","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/ec5a28503ee643e4ddcff39467a0dcc81fba1ec9b51510a5e07aa6c53d233a89.jpg"
"406.l.12357.t.9","Tim's Tip-Top Team","False","--hidden--","8","8","6","9","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4_t.png"
"406.l.12357.t.10","sheldon's Nifty Team","False","--hidden--","1","1","11","4","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_s.png"
