"ID","Name","Commissioner","Manager","Rank","Playoff Seed","Wins","Losses","Ties","Image"
"406.l.12349.t.1","Jyhad's R.I.P. Mom","False","--hidden--","5","5","7","8","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2c9906d1cc07cd334fa435631f0d98cb6dcd6c5e283a79cd7c24a968df510ea5.jpg"
"406.l.12349.t.2","Robert's Marvelous Team","False","--hidden--","3","2","11","4","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_3_r.png"
"406.l.12349.t.3","Master Queen 1","False","--hidden--","8","8","5","10","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24707350433_7d6246a372.jpg"
"406.l.12349.t.4","Mean Machine","False","--hidden--","10","","4","11","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_5.png"
"406.l.12349.t.5","Big Blue","False","--hidden--","6","6","6","9","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24682681624_38a189d6b1.gif"
"406.l.12349.t.6","Semi-Auto Johnson","False","--hidden--","4","4","8","7","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/7938fb042bc7cd67d2bdba5e11e0f65219279ad5376f1469dfa3ebbf885df0f0.jpg"
"406.l.12349.t.7","adam's Notable Team","False","--hidden--","9","","5","10","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_12_a.png"
"406.l.12349.t.8","Riders","False","--hidden--","2","3","11","4","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24696616803_fcd3194cda.jpg"
"406.l.12349.t.9","12th MAN","False","--hidden--","7","7","5","10","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_10.png"
"406.l.12349.t.10","GO DEEP","False","--hidden--","1","1","13","2","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_10.png"
