"ID","Name","Commissioner","Manager","Rank","Playoff Seed","Wins","Losses","Ties","Image"
"406.l.12364.t.1","C Ballin","True","--hidden--","4","3","9","5","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/c90809911c8b9d4418faa789de4f931696b2dca13a6aa95a9c07cfe058678865.jpg"
"406.l.12364.t.2","Run It $$$$","False","--hidden--","12","9","5","9","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25277990706_e4f265e605.jpg"
"406.l.12364.t.3","DCUnited","False","--hidden--","9","8","6","8","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56506114003_ad4a35.jpg"
"406.l.12364.t.4","Iron Head Boyz VI","False","--hidden--","3","1","11","3","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24692181224_3a8632003e.jpg"
"406.l.12364.t.5","Tommy's Team","False","--hidden--","11","11","4","10","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_5.png"
"406.l.12364.t.6","John's Rad Team","False","--hidden--","7","7","7","7","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_7_j.png"
"406.l.12364.t.7","Mac's Super Squad","False","--hidden--","1","4","9","5","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36319994740_176236.jpg"
"406.l.12364.t.8","REHAB SQUAD","False","--hidden--","2","2","10","4","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_11.png"
"406.l.12364.t.9","I'm only here for the 💰","False","--hidden--","6","5","8","6","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/89bb1e266946e4bbe99cc1722238d6b7265f47323838a3ecfc3fcc224a204865.jpg"
"406.l.12364.t.10","Troy's Team","False","--hidden--","5","6","8","6","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_t.png"
"406.l.12364.t.11","Rawdog314","False","--hidden--","10","12","2","12","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4_r.png"
"406.l.12364.t.12","BigSmokeDntChoke","False","--hidden--","8","10","5","9","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/451ed39ca205b1a8b6034bfc71e426146fccaa968cc66da7d50931cda3815ee4.jpg"
