,Player,POS,ADP,Rank,FPTS
0,Todd Gurley II,RB,1.0,3.0,372.1
1,Le'Veon Bell ,RB,2.0,0.0,0.0
2,David Johnson,RB,3.0,9.0,246.6
3,Ezekiel Elliott,RB,4.0,5.0,329.1
4,Antonio Brown,WR,5.0,5.0,323.7
5,Alvin Kamara,RB,6.0,4.0,354.2
6,Saquon Barkley,RB,7.0,1.0,385.8
7,DeAndre Hopkins,WR,8.0,1.0,333.5
8,Leonard Fournette,RB,9.0,40.0,120.4
9,Kareem Hunt,RB,10.0,12.0,230.2
10,dell Beckham Jr. O,WR,11.0,0.0,0.0
11,Melvin Gordon III,RB,12.0,8.0,275.5
12,Julio Jones,WR,13.0,4.0,325.9
13,Dalvin Cook,RB,14.0,30.0,152.0
14,Christian McCaffrey,RB,15.0,2.0,385.5
15,Michael Thomas,WR,16.0,6.0,315.5
16,Keenan Allen,WR,17.0,12.0,260.1
17,Davante Adams,WR,18.0,2.0,329.6
18,Devonta Freeman,RB,19.0,106.0,14.1
19,A.J. Green,WR,20.0,44.0,149.4
20,Rob Gronkowski,TE,21.0,11.0,131.2
21,Mike Evans,WR,22.0,9.0,284.4
22,Jordan Howard,RB,23.0,20.0,180.0
23,Joe Mixon,RB,24.0,10.0,243.4
24,Travis Kelce,TE,25.0,1.0,294.6
25,LeSean McCoy,RB,26.0,39.0,127.2
26,Tyreek Hill,WR,27.0,3.0,328.0
27,Aaron Rodgers,QB,28.0,6.0,312.5
28,T.Y. Hilton,WR,29.0,14.0,239.0
29,Stefon Diggs,WR,30.0,10.0,266.3
30,Adam Thielen,WR,31.0,7.0,307.3
31,Larry Fitzgerald,WR,32.0,25.0,185.7
32,Kenyan Drake,RB,33.0,14.0,206.2
33,Amari Cooper,WR,34.0,19.0,215.5
34,Zach Ertz,TE,35.0,2.0,280.3
35,Doug Baldwin,WR,36.0,46.0,141.8
36,Alex Collins ,RB,37.0,0.0,0.0
37,Jarvis Landry,WR,38.0,18.0,217.1
38,Royce Freeman,RB,39.0,47.0,101.3
39,Derrick Henry,RB,40.0,16.0,200.6
40,Demaryius Thomas ,WR,41.0,0.0,0.0
41,Jay Ajayi ,RB,42.0,0.0,0.0
42,JuJu Smith-Schuster,WR,43.0,8.0,296.9
43,Brandin Cooks,WR,44.0,13.0,243.2
44,Golden Tate,WR,45.0,29.0,182.9
45,Lamar Miller,RB,46.0,23.0,172.6
46,Tom Brady,QB,47.0,14.0,281.4
47,Deshaun Watson,QB,48.0,4.0,331.9
48,Allen Robinson II,WR,49.0,40.0,153.3
49,Josh Gordon,WR,50.0,47.0,138.7
50,Mark Ingram II,RB,51.0,32.0,142.5
51,Russell Wilson,QB,52.0,9.0,299.4
52,Jimmy Graham,TE,53.0,12.0,130.6
53,Marvin Jones Jr.,WR,54.0,63.0,115.8
54,Chris Hogan,WR,55.0,70.0,106.2
55,Greg lsen O,TE,56.0,0.0,0.0
56,Dion Lewis,RB,57.0,28.0,160.7
57,Marshawn Lynch ,RB,58.0,0.0,0.0
58,Cam Newton ,QB,59.0,0.0,0.0
59,Corey Davis,WR,60.0,28.0,183.6
60,Carlos Hyde,RB,61.0,49.0,98.4
