,Player,POS,ADP,Rank,FPTS
0,Christian McCaffrey,RB,1.0,38.0,127.5
1,Dalvin Cook,RB,2.0,16.0,206.3
2,Alvin Kamara,RB,3.0,8.0,234.7
3,Derrick Henry,RB,4.0,22.0,193.3
4,Ezekiel Elliott,RB,5.0,7.0,252.1
5,Davante Adams,WR,6.0,2.0,344.3
6,Travis Kelce,TE,7.0,2.0,262.8
7,Aaron Jones,RB,8.0,11.0,229.0
8,Saquon Barkley,RB,9.0,30.0,148.6
9,Austin Ekeler,RB,10.0,2.0,343.8
10,Jonathan Taylor,RB,11.0,1.0,373.1
11,Nick Chubb,RB,12.0,13.0,215.3
12,Tyreek Hill,WR,13.0,6.0,296.5
13,Stefon Diggs,WR,14.0,7.0,285.5
14,Najee Harris,RB,15.0,3.0,300.7
15,DeAndre Hopkins,WR,16.0,46.0,147.2
16,Antonio Gibson,RB,17.0,10.0,229.1
17,Patrick Mahomes II,QB,18.0,4.0,374.2
18,Calvin Ridley,WR,19.0,102.0,71.1
19,DK Metcalf,WR,20.0,14.0,244.3
20,Joe Mixon,RB,21.0,4.0,287.9
21,Darren Waller,TE,22.0,17.0,133.5
22,Justin Jefferson,WR,23.0,4.0,330.4
23,A.J. Brown,WR,24.0,32.0,180.9
24,Clyde Edwards-Helaire,RB,25.0,46.0,116.5
25,George Kittle,TE,26.0,4.0,198.0
26,Keenan Allen,WR,27.0,11.0,257.8
27,Terry McLaurin,WR,28.0,25.0,213.5
28,Josh Allen,QB,29.0,1.0,417.7
29,David Montgomery,RB,30.0,19.0,196.0
30,Allen Robinson II,WR,31.0,81.0,87.0
31,Chris Carson ,RB,32.0,0.0,0.0
32,CeeDee Lamb,WR,33.0,19.0,232.8
33,James Robinson,RB,34.0,24.0,173.9
34,Mike Evans,WR,35.0,9.0,262.5
35,Josh Jacobs,RB,36.0,12.0,226.0
36,D'Andre Swift,RB,37.0,15.0,208.9
37,Miles Sanders,RB,38.0,44.0,117.2
38,Robert Woods,WR,39.0,51.0,137.2
39,Kyler Murray,QB,40.0,10.0,310.5
40,Amari Cooper,WR,41.0,27.0,202.5
41,Chris Godwin,WR,42.0,15.0,242.4
42,Lamar Jackson,QB,43.0,15.0,253.0
43,Cooper Kupp,WR,44.0,1.0,439.5
44,Julio Jones,WR,45.0,92.0,80.4
45,Kyle Pitts,TE,46.0,6.0,176.6
46,Tyler Lockett,WR,47.0,16.0,241.4
