,Player,POS,ADP,Rank,FPTS
0,Antonio Brown,WR,1.0,1.0,307.3
1,Julio Jones,WR,2.0,6.0,259.9
2,Odell Beckham Jr.,WR,3.0,4.0,296.6
3,Todd Gurley II,RB,4.0,15.0,198.2
4,DeAndre Hopkins,WR,5.0,26.0,197.4
5,A.J. Green,WR,6.0,34.0,186.4
6,David Johnson,RB,7.0,1.0,407.8
7,David Johnson,RB,7.0,76.0,17.0
8,Ezekiel Elliott,RB,8.0,2.0,325.4
9,Allen Robinson II,WR,9.0,24.0,199.3
10,Adrian Peterson,RB,10.0,125.0,9.0
11,Rob Gronkowski,TE,11.0,26.0,97.0
12,Lamar Miller,RB,12.0,20.0,191.1
13,Le'Veon Bell,RB,13.0,3.0,317.4
14,Dez Bryant,WR,14.0,39.0,180.0
15,Keenan Allen,WR,15.0,163.0,12.3
16,Brandon Marshall,WR,16.0,49.0,155.8
17,Devonta Freeman,RB,17.0,6.0,284.1
18,Mike Evans,WR,18.0,3.0,304.1
19,Jordy Nelson,WR,19.0,2.0,304.7
20,Alshon Jeffery,WR,20.0,55.0,146.1
21,Amari Cooper,WR,21.0,13.0,232.3
22,Jamaal Charles,RB,22.0,114.0,13.4
23,Brandin Cooks,WR,23.0,10.0,246.3
24,Mark Ingram II,RB,24.0,8.0,242.2
25,Eddie Lacy,RB,25.0,76.0,42.8
26,LeSean McCoy,RB,26.0,4.0,298.3
27,T.Y. Hilton,WR,27.0,5.0,273.8
28,Demaryius Thomas,WR,28.0,16.0,226.3
29,Sammy Watkins,WR,29.0,89.0,83.0
30,Doug Martin,RB,30.0,55.0,85.5
31,Jarvis Landry,WR,31.0,14.0,231.3
32,Jordan Reed,TE,32.0,9.0,168.6
33,Cam Newton,QB,33.0,17.0,254.3
34,C.J. Anderson,RB,34.0,46.0,102.5
35,Randall Cobb,WR,35.0,52.0,148.3
36,Julian Edelman,WR,36.0,15.0,230.3
37,Matt Forte,RB,37.0,21.0,183.6
38,Aaron Rodgers,QB,38.0,1.0,380.0
39,Latavius Murray,RB,39.0,13.0,208.2
40,Jeremy Maclin,WR,40.0,71.0,109.5
41,Thomas Rawls,RB,41.0,59.0,75.5
42,Carlos Hyde,RB,42.0,18.0,192.1
43,Greg Olsen,TE,43.0,3.0,207.3
44,DeMarco Murray,RB,44.0,5.0,293.8
45,Golden Tate,WR,45.0,17.0,223.1
46,Kelvin Benjamin,WR,46.0,27.0,197.1
47,Kelvin Benjamin,WR,46.0,118.0,0.0
48,Donte Moncrief,WR,47.0,74.0,102.6
49,Eric Decker,WR,48.0,117.0,40.4
50,Jeremy Langford,RB,49.0,62.0,73.2
51,Doug Baldwin,WR,50.0,8.0,253.6
52,Russell Wilson,QB,51.0,10.0,270.1
53,Andrew Luck,QB,52.0,4.0,307.6
54,Danny Woodhead,RB,53.0,96.0,27.1
55,Travis Kelce,TE,54.0,1.0,223.0
56,Larry Fitzgerald,WR,55.0,11.0,243.8
57,Michael Floyd,WR,56.0,67.0,115.8
58,Jeremy Hill,RB,57.0,22.0,176.3
59,Jordan Matthews,WR,58.0,44.0,171.4
