,Player,POS,ADP,Rank,FPTS
0,Christian McCaffrey,RB,1.0,54.0,90.4
1,Saquon Barkley,RB,2.0,120.0,15.4
2,Ezekiel Elliott,RB,3.0,9.0,223.7
3,Dalvin Cook,RB,4.0,2.0,337.8
4,Michael Thomas,WR,5.0,95.0,83.9
5,Alvin Kamara,RB,6.0,1.0,377.8
6,Derrick Henry,RB,7.0,3.0,333.1
7,Davante Adams,WR,8.0,1.0,358.4
8,Josh Jacobs,RB,9.0,8.0,231.3
9,Joe Mixon,RB,10.0,49.0,99.6
10,Clyde Edwards-Helaire,RB,11.0,22.0,176.0
11,Miles Sanders,RB,12.0,23.0,170.4
12,Austin Ekeler,RB,13.0,26.0,165.3
13,Tyreek Hill,WR,14.0,2.0,328.9
14,Nick Chubb,RB,15.0,11.0,207.7
15,Kenyan Drake,RB,16.0,16.0,192.2
16,Julio Jones,WR,17.0,52.0,146.1
17,DeAndre Hopkins,WR,18.0,4.0,287.8
18,Aaron Jones,RB,19.0,5.0,258.9
19,Travis Kelce,TE,20.0,1.0,312.8
20,Patrick Mahomes II,QB,21.0,4.0,380.3
21,Chris Godwin,WR,22.0,31.0,191.0
22,Lamar Jackson,QB,23.0,10.0,341.7
23,George Kittle,TE,24.0,19.0,125.1
24,Kenny Golladay,WR,25.0,102.0,65.8
25,Mike Evans,WR,26.0,11.0,248.6
26,Chris Carson,RB,27.0,19.0,187.8
27,DJ Moore,WR,28.0,25.0,211.5
28,Todd Gurley II,RB,29.0,29.0,163.2
29,Allen Robinson II,WR,30.0,9.0,262.9
30,dell Beckham Jr. O,WR,31.0,0.0,0.0
31,Adam Thielen,WR,32.0,10.0,254.0
32,JuJu Smith-Schuster,WR,33.0,16.0,234.1
33,James Conner,RB,34.0,27.0,164.6
34,Amari Cooper,WR,35.0,15.0,236.8
35,David Johnson,RB,36.0,21.0,179.5
36,Le'Veon Bell,RB,37.0,63.0,74.6
37,Cooper Kupp,WR,38.0,26.0,208.7
38,Melvin Gordon III,RB,39.0,14.0,198.4
39,Zach Ertz,TE,40.0,31.0,77.5
40,Mark Andrews,TE,41.0,6.0,170.1
41,A.J. Brown,WR,42.0,12.0,247.5
42,Jonathan Taylor,RB,43.0,6.0,252.8
43,Calvin Ridley,WR,44.0,5.0,281.5
44,Robert Woods,WR,45.0,14.0,245.1
45,Courtland Sutton,WR,46.0,180.0,9.6
46,Keenan Allen,WR,47.0,13.0,245.1
47,Tyler Lockett,WR,48.0,8.0,265.4
48,DK Metcalf,WR,49.0,7.0,271.3
49,Devin Singletary,RB,50.0,31.0,143.6
50,Dak Prescott,QB,51.0,33.0,139.6
51,D.J. Chark Jr.,WR,52.0,49.0,153.6
52,Raheem Mostert,RB,53.0,48.0,99.7
53,Cam Akers,RB,54.0,45.0,101.8
54,Mark Ingram II,RB,55.0,76.0,52.9
55,Terry McLaurin,WR,56.0,20.0,223.8
56,T.Y. Hilton,WR,57.0,42.0,164.2
57,Darren Waller,TE,58.0,2.0,278.6
58,Kareem Hunt,RB,59.0,10.0,218.5
59,Kyler Murray,QB,60.0,2.0,390.7
60,Deshaun Watson,QB,61.0,5.0,376.4
61,Leonard Fournette,RB,62.0,35.0,132.0
62,Russell Wilson,QB,63.0,6.0,372.6
63,DeVante Parker,WR,64.0,40.0,166.3
64,Stefon Diggs,WR,65.0,3.0,328.6
65,David Montgomery,RB,66.0,4.0,264.8
66,D'Andre Swift,RB,67.0,18.0,189.8
67,Marquise Brown,WR,68.0,36.0,183.0
68,A.J. Green,WR,69.0,68.0,111.3
69,Jarvis Landry,WR,70.0,33.0,188.0
70,Evan Engram,TE,71.0,15.0,141.0
71,Tyler Boyd,WR,72.0,29.0,192.6
72,Michael Gallup,WR,73.0,38.0,173.3
73,William Fuller V ,WR,74.0,0.0,0.0
74,Julian Edelman,WR,75.0,111.0,56.2
75,Rob Gronkowski,TE,76.0,8.0,149.3
76,James White,RB,77.0,42.0,116.6
77,Tom Brady,QB,78.0,8.0,350.0
78,Tyler Higbee,TE,79.0,17.0,128.2
79,Drew Brees,QB,80.0,21.0,215.4
80,Matt Ryan,QB,81.0,12.0,293.3
81,Deebo Samuel,WR,82.0,96.0,80.7
82,J.K. Dobbins,RB,83.0,24.0,168.5
83,Hunter Henry,TE,84.0,12.0,145.3
84,Tarik Cohen ,RB,85.0,0.0,0.0
85,Brandin Cooks,WR,86.0,17.0,232.0
86,Ronald Jones II,RB,87.0,20.0,186.3
