,Player,POS,ADP,Rank,FPTS
123,Justin Tucker,K,121.0,5.0,162.0
124,C.J. Prosise,RB,122.0,106.0,17.0
125,Jacquizz Rodgers,RB,123.0,79.0,46.8
126,Ted Ginn Jr.,WR,124.0,34.0,159.6
127,Eli Manning,QB,125.0,23.0,187.3
128,Jason Witten,TE,126.0,9.0,147.0
129,Andy Dalton,QB,127.0,17.0,210.7
130,Kevin White,WR,128.0,190.0,2.6
131,Jamaal Charles,RB,129.0,71.0,67.5
132,Kenny Britt,WR,130.0,99.0,57.6
133,Mike Wallace,WR,131.0,38.0,151.2
134,Cooper Kupp,WR,132.0,25.0,176.9
135,Austin Hooper,TE,133.0,17.0,119.6
136,Rex Burkhead,RB,134.0,39.0,129.8
137,Denver Broncos,DST,135.0,19.0,106.0
138,Carson Palmer,QB,136.0,32.0,102.3
139,Jeremy Hill,RB,137.0,105.0,17.2
140,Corey Davis,WR,138.0,86.0,69.5
141,Zay Jones,WR,139.0,84.0,70.6
142,Samaje Perine,RB,140.0,43.0,108.5
143,Jamaal Williams,RB,141.0,32.0,142.8
144,Alvin Kamara,RB,142.0,3.0,314.4
145,Matt Bryant,K,143.0,4.0,162.0
146,O.J. Howard,TE,144.0,21.0,101.2
147,Dan Bailey,K,145.0,28.0,81.0
148,Giovani Bernard,RB,146.0,27.0,151.7
149,Carson Wentz,QB,147.0,5.0,281.7
150,Sterling Shepard,WR,148.0,42.0,144.5
151,Coby Fleener,TE,149.0,34.0,63.5
152,Seattle Seahawks,DST,150.0,8.0,131.0
153,Cole Beasley,WR,151.0,72.0,91.4
154,Latavius Murray,RB,152.0,25.0,157.5
155,Tyler Lockett,WR,153.0,57.0,118.3
156,New York Giants,DST,154.0,26.0,88.0
157,Evan Engram,TE,155.0,5.0,173.6
158,Tyrod Taylor,QB,156.0,16.0,222.6
159,Kansas City Chiefs,DST,157.0,12.0,118.0
160,Houston Texans,DST,158.0,28.0,82.0
161,Julius Thomas,TE,159.0,23.0,97.8
162,Mason Crosby,K,160.0,26.0,84.0
163,Josh Doctson,WR,161.0,56.0,119.8
164,Cameron Brate,TE,162.0,10.0,143.1
165,Wendell Smallwood,RB,163.0,80.0,46.7
166,Taylor Gabriel,WR,164.0,78.0,81.7
167,Minnesota Vikings,DST,165.0,13.0,117.0
168,Arizona Cardinals,DST,166.0,15.0,111.0
169,New England Patriots,DST,167.0,14.0,116.0
170,Antonio Gates,TE,168.0,28.0,79.6
171,Shane Vereen,RB,169.0,60.0,83.7
172,Robbie Anderson,WR,170.0,18.0,200.0
173,Carolina Panthers,DST,171.0,10.0,125.0
174,Mohamed Sanu Sr.,WR,172.0,29.0,174.3
175,Adam Vinatieri,K,173.0,16.0,125.0
176,Kenny Stills,WR,174.0,28.0,174.7
177,Joe Flacco,QB,175.0,24.0,184.9
178,Kendall Wright,WR,176.0,52.0,126.4
179,Danny Amendola,WR,177.0,43.0,138.9
180,Marqise Lee,WR,178.0,40.0,147.9
181,Chris Thompson,RB,179.0,28.0,151.4
182,Chris Thompson,RB,179.0,157.0,13.4
183,Kenny Golladay,WR,180.0,69.0,94.6
184,John Ross,WR,181.0,229.0,-0.8
185,Matt Prater,K,182.0,10.0,151.0
186,Pittsburgh Steelers,DST,183.0,9.0,131.0
187,Wil Lutz,K,184.0,6.0,161.4
188,Jared Cook,TE,185.0,12.0,132.8
189,Charles Sims,RB,186.0,65.0,73.4
190,Jacksonville Jaguars,DST,187.0,1.0,199.0
191,Marlon Mack,RB,188.0,48.0,103.3
192,Torrey Smith,WR,189.0,73.0,90.7
193,D'Onta Foreman,RB,190.0,75.0,57.0
194,Cairo Santos,K,191.0,38.0,26.0
195,Los Angeles Rams,DST,192.0,4.0,161.0
196,Breshad Perriman,WR,193.0,143.0,17.7
197,Jay Cutler,QB,194.0,27.0,157.7
198,Baltimore Ravens,DST,195.0,2.0,174.0
199,Dion Lewis,RB,196.0,15.0,197.0
200,Philadelphia Eagles,DST,197.0,3.0,166.0
201,DeAndre Washington,RB,198.0,58.0,85.0
202,J.J. Nelson,WR,199.0,70.0,93.5
203,James Conner,RB,200.0,113.0,14.4
