"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Stefon Diggs (BUF)","10","14","130","13.0","23","2","1","1","1","0","0","1","29.1","29.1","100.0%"
"2","Allen Robinson II (LAR)","9","13","123","13.7","35","3","1","0","0","0","0","1","27.3","27.3","96.0%"
"3","Calvin Ridley (ATL)","8","12","124","15.5","39","4","1","0","0","0","0","1","26.4","26.4","2.0%"
"4","Tyreek Hill (MIA)","3","7","79","26.3","44","4","1","1","32","1","0","1","26.1","26.1","100.0%"
"5","T.Y. Hilton (FA)","5","7","86","17.2","41","3","2","0","0","0","0","1","25.6","25.6","0.0%"
"6","Davante Adams (LV)","7","10","115","16.4","56","5","1","0","0","0","0","1","24.5","24.5","100.0%"
"7","A.J. Brown (PHI)","7","9","112","16.0","37","2","1","0","0","0","0","1","24.2","24.2","99.0%"
"8","KJ Hamler (DEN)","2","3","86","43.0","49","5","2","0","0","0","0","1","22.6","22.6","4.0%"
"9","DeAndre Hopkins (ARI)","9","11","136","15.1","41","4","0","0","0","0","0","1","22.6","22.6","83.0%"
"10","Brandon Aiyuk (SF)","10","16","119","11.9","19","0","0","0","0","0","0","1","21.9","21.9","89.0%"
"11","Nelson Agholor (NE)","5","9","100","20.0","36","4","1","0","0","0","0","1","21.0","21.0","1.0%"
"12","Marquez Valdes-Scantling (KC)","6","6","85","14.2","21","1","1","0","0","0","0","1","20.5","20.5","51.0%"
"13","Keenan Allen (LAC)","9","11","52","5.8","10","0","1","0","0","0","0","1","20.2","20.2","100.0%"
"14","Keelan Cole Sr. (LV)","7","12","67","9.6","22","1","1","0","0","0","0","1","19.7","19.7","0.0%"
"15","Rashard Higgins (CAR)","6","10","68","11.3","21","1","1","0","0","0","0","1","18.8","18.8","0.0%"
"16","Russell Gage (TB)","5","7","82","16.4","35","3","0","0","0","0","0","1","18.8","18.8","52.0%"
"17","A.J. Green (ARI)","6","7","62","10.3","16","0","1","0","0","0","0","1","18.2","18.2","7.0%"
"18","DK Metcalf (SEA)","6","8","61","10.2","19","0","1","0","0","0","0","1","18.1","18.1","96.0%"
"19","Robbie Anderson (CAR)","8","12","84","10.5","23","2","0","2","13","0","0","1","17.7","17.7","11.0%"
"20","Tyron Johnson (LV)","6","7","55","9.2","25","1","1","0","0","0","0","1","17.5","17.5","0.0%"
"21","JuJu Smith-Schuster (KC)","6","7","55","9.2","20","1","1","0","0","0","0","1","17.5","17.5","95.0%"
