"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Corey Davis (NYJ)","11","12","182","16.5","43","4","1","0","0","0","0","1","35.2","35.2","11.0%"
"2","Davante Adams (LV)","10","12","121","12.1","42","4","2","0","0","0","0","1","34.1","34.1","100.0%"
"3","Cole Beasley (FA)","9","11","130","14.4","35","5","1","0","0","0","0","1","28.0","28.0","1.0%"
"4","Justin Jefferson (MIN)","9","12","121","13.4","40","4","1","1","2","0","0","1","27.3","27.3","100.0%"
"5","Marvin Jones Jr. (JAC)","8","12","116","14.5","25","3","1","0","0","0","0","1","25.6","25.6","8.0%"
"6","T.Y. Hilton (FA)","8","11","110","13.8","21","2","1","0","0","0","0","1","25.0","25.0","0.0%"
"7","Keke Coutee (IND)","8","9","141","17.6","64","4","0","0","0","0","0","1","22.1","22.1","0.0%"
"8","Jamison Crowder (BUF)","5","7","47","9.4","16","0","2","0","0","0","0","1","21.7","21.7","5.0%"
"9","Michael Gallup (DAL)","7","11","86","12.3","28","1","1","0","0","0","0","1","21.6","21.6","41.0%"
"10","Rashard Higgins (CAR)","6","9","95","15.8","35","3","1","0","0","0","0","1","21.5","21.5","0.0%"
"11","Adam Thielen (MIN)","8","11","75","9.4","14","0","1","0","0","0","0","1","21.5","21.5","92.0%"
"12","Diontae Johnson (PIT)","8","12","71","8.9","17","0","1","0","0","0","0","1","21.1","21.1","97.0%"
"13","Brandon Aiyuk (SF)","5","9","95","19.0","49","4","1","0","0","0","0","1","20.5","20.5","89.0%"
"14","Tim Patrick (DEN)","4","4","44","11.0","21","1","2","0","0","0","0","1","20.4","20.4","7.0%"
"15","Jarvis Landry (NO)","8","10","62","7.8","13","0","1","0","0","0","0","1","20.4","20.4","35.0%"
"16","Michael Thomas (NO)","9","11","105","11.7","18","0","0","0","0","0","0","1","19.5","19.5","93.0%"
"17","DeAndre Hopkins (ARI)","8","13","52","6.5","10","0","1","0","0","0","0","1","19.2","19.2","83.0%"
"18","Stefon Diggs (BUF)","10","10","92","9.2","18","0","0","0","0","0","0","1","19.2","19.2","100.0%"
"19","Robert Woods (TEN)","10","11","85","8.5","18","0","0","0","0","0","0","1","18.5","18.5","73.0%"
"20","Donovan Peoples-Jones (CLE)","2","3","92","46.0","75","4","1","0","0","0","0","1","17.2","17.2","4.0%"
"21","Gunner Olszewski (PIT)","1","1","38","38.0","38","2","1","0","0","0","0","1","16.8","16.8","0.0%"
"22","Amari Cooper (CLE)","5","9","43","8.6","13","0","1","1","10","0","0","1","16.3","16.3","92.0%"
"23","James Washington (DAL)","2","4","80","40.0","50","6","1","0","0","0","0","1","16.0","16.0","1.0%"
"24","Calvin Ridley (ATL)","5","10","108","21.6","31","4","0","0","0","0","0","1","15.8","15.8","2.0%"
"25","Gabriel Davis (BUF)","3","4","68","22.7","28","2","1","0","0","0","0","1","15.8","15.8","93.0%"
"26","Laviska Shenault Jr. (JAC)","3","3","38","12.7","28","1","1","2","30","0","0","1","15.8","15.8","2.0%"
"27","Julio Jones (TB)","6","10","94","15.7","35","3","0","0","0","0","0","1","15.4","15.4","46.0%"
"28","Henry Ruggs III (FA)","3","4","84","28.0","46","4","1","0","0","0","1","1","15.4","15.4","6.0%"
