"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (LV)","11","12","142","12.9","32","4","3","0","0","0","0","1","43.2","43.2","100.0%"
"2","Stefon Diggs (BUF)","9","11","145","16.1","50","5","3","0","0","0","0","1","41.5","41.5","100.0%"
"3","Mike Evans (TB)","10","12","181","18.1","33","7","2","0","0","0","0","1","40.1","40.1","100.0%"
"4","Michael Gallup (DAL)","6","8","121","20.2","55","5","2","0","0","0","0","1","30.1","30.1","41.0%"
"5","Jamison Crowder (BUF)","7","9","92","13.1","30","3","1","1","14","0","0","1","29.3","29.3","5.0%"
"6","Brandin Cooks (HOU)","7","10","141","20.1","50","6","1","0","0","0","0","1","27.1","27.1","95.0%"
"7","Nelson Agholor (NE)","5","6","155","31.0","85","5","1","0","0","0","0","1","26.5","26.5","1.0%"
"8","JuJu Smith-Schuster (KC)","9","13","96","10.7","25","2","1","0","0","0","0","1","24.6","24.6","95.0%"
"9","Adam Thielen (MIN)","8","9","97","12.1","24","2","1","0","0","0","0","1","23.7","23.7","92.0%"
"10","CeeDee Lamb (DAL)","3","5","65","21.7","52","4","1","1","19","1","0","1","23.4","23.4","100.0%"
"11","Sterling Shepard (NYG)","9","12","77","8.6","16","0","1","0","0","0","0","1","22.7","22.7","3.0%"
"12","Tee Higgins (CIN)","6","9","99","16.5","30","4","1","0","0","0","0","1","21.9","21.9","99.0%"
"13","Diontae Johnson (PIT)","8","14","74","9.3","39","2","1","1","2","0","0","1","21.6","21.6","97.0%"
"14","Curtis Samuel (WAS)","5","5","106","21.2","44","4","0","7","52","0","0","1","20.8","20.8","4.0%"
"15","Allen Robinson II (LAR)","10","13","103","10.3","21","1","0","0","0","0","0","1","20.3","20.3","96.0%"
"16","Chris Godwin (TB)","5","9","84","16.8","47","3","1","0","0","0","0","1","19.4","19.4","88.0%"
"17","Calvin Ridley (ATL)","5","9","130","26.0","54","7","0","1","-7","0","0","1","17.3","17.3","2.0%"
"18","Robbie Anderson (CAR)","7","10","39","5.6","14","0","1","0","0","0","0","1","16.9","16.9","11.0%"
"19","DJ Chark Jr. (DET)","4","6","62","15.5","20","1","1","0","0","0","0","1","16.2","16.2","26.0%"
"20","Amari Cooper (CLE)","4","6","121","30.3","69","6","0","0","0","0","0","1","16.1","16.1","92.0%"
"21","Laviska Shenault Jr. (JAC)","5","7","48","9.6","34","2","1","0","0","0","0","1","15.8","15.8","2.0%"
"22","Zach Pascal (PHI)","3","6","64","21.3","42","3","1","0","0","0","0","1","15.4","15.4","0.0%"
"23","DeSean Jackson (FA)","1","1","81","81.0","81","4","1","0","0","0","0","1","15.1","15.1","5.0%"
"24","Braxton Berrios (NYJ)","3","3","60","20.0","43","3","1","0","0","0","0","1","15.0","15.0","3.0%"
"25","Alex Erickson (WAS)","6","6","88","14.7","42","4","0","0","0","0","0","1","14.8","14.8","0.0%"
"26","Christian Kirk (JAC)","7","10","76","10.9","38","2","0","0","0","0","0","1","14.6","14.6","83.0%"
"27","Cooper Kupp (LAR)","8","9","66","8.3","12","0","0","0","0","0","0","1","14.6","14.6","100.0%"
"28","Justin Jefferson (MIN)","6","10","85","14.2","25","1","0","0","0","0","0","1","14.5","14.5","100.0%"
"29","Emmanuel Sanders (FA)","4","5","83","20.8","31","4","0","1","12","0","0","1","13.5","13.5","1.0%"
"30","Antonio Brown (FA)","4","6","35","8.8","15","0","1","0","0","0","0","1","13.5","13.5","1.0%"
"31","Josh Reynolds (DET)","6","10","65","10.8","26","1","0","1","5","0","0","1","13.0","13.0","1.0%"
"32","DeAndre Hopkins (ARI)","8","12","48","6.0","9","0","0","0","0","0","0","1","12.8","12.8","83.0%"
"33","DaeSean Hamilton (FA)","5","9","77","15.4","25","1","0","0","0","0","0","1","12.7","12.7","0.0%"
"34","Marquise Brown (ARI)","4","4","25","6.3","9","0","1","0","0","0","0","1","12.5","12.5","92.0%"
"35","Jerry Jeudy (DEN)","6","15","61","10.2","17","0","0","0","0","0","0","1","12.1","12.1","95.0%"
"36","DK Metcalf (SEA)","6","8","59","9.8","17","0","0","0","0","0","0","1","11.9","11.9","96.0%"
"37","Ja'Marcus Bradley (CLE)","5","11","60","12.0","22","1","0","0","0","0","0","1","11.0","11.0","0.0%"
"38","Demarcus Robinson (BAL)","2","2","29","14.5","25","1","1","0","0","0","0","1","10.9","10.9","0.0%"
"39","Tyreek Hill (MIA)","4","6","65","16.3","31","2","0","0","0","0","0","1","10.5","10.5","100.0%"
"40","Keke Coutee (IND)","5","5","54","10.8","17","0","0","0","0","0","0","1","10.4","10.4","0.0%"
"41","A.J. Green (ARI)","4","7","64","16.0","33","2","0","0","0","0","0","1","10.4","10.4","7.0%"
"42","Mike Williams (LAC)","4","10","54","13.5","25","1","0","0","0","0","0","1","9.4","9.4","98.0%"
"43","Chase Claypool (PIT)","4","6","54","13.5","34","2","0","0","0","0","0","1","9.4","9.4","69.0%"
"44","Cam Sims (WAS)","3","9","63","21.0","50","4","0","0","0","0","0","1","9.3","9.3","0.0%"
"45","Jakeem Grant Sr. (CLE)","5","6","43","8.6","14","0","0","0","0","0","0","1","9.3","9.3","0.0%"
"46","Laquon Treadwell (JAC)","2","2","11","5.5","6","0","1","0","0","0","0","1","9.1","9.1","0.0%"
"47","Equanimeous St. Brown (CHI)","1","1","21","21.0","21","1","1","0","0","0","0","1","9.1","9.1","0.0%"
"48","T.Y. Hilton (FA)","3","7","60","20.0","25","2","0","0","0","0","0","1","9.0","9.0","0.0%"
"49","Robert Woods (TEN)","4","9","48","12.0","19","0","0","2","1","0","0","1","8.9","8.9","73.0%"
"50","Larry Fitzgerald (FA)","6","8","28","4.7","9","0","0","0","0","0","0","1","8.8","8.8","0.0%"
"51","Danny Amendola (FA)","5","7","37","7.4","19","0","0","0","0","0","0","1","8.7","8.7","0.0%"
"52","DJ Moore (CAR)","5","10","37","7.4","14","0","0","0","0","0","0","1","8.7","8.7","99.0%"
"53","Jakobi Meyers (NE)","4","6","45","11.3","22","1","0","0","0","0","0","1","8.5","8.5","35.0%"
"54","Hunter Renfrow (LV)","5","5","34","6.8","12","0","0","0","0","0","0","1","8.4","8.4","90.0%"
"55","A.J. Brown (PHI)","4","8","43","10.8","12","0","0","0","0","0","0","1","8.3","8.3","99.0%"
"56","Darnell Mooney (CHI)","4","7","39","9.8","13","0","0","1","2","0","0","1","8.1","8.1","90.0%"
