"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Le'Veon Bell (FA)","13","48","3.7","11","0","2","9","10","77","8.6","1","0","1","39.5","39.5","0.0%"
"2","Rod Smith (FA)","6","47","7.8","15","0","1","5","5","113","22.6","1","0","1","33.0","33.0","0.0%"
"3","Jamaal Williams (DET)","15","49","3.3","12","0","1","7","7","69","9.9","1","0","1","30.8","30.8","39.0%"
"4","Jordan Howard (FA)","23","147","6.4","21","1","2","1","2","8","8.0","0","0","1","28.5","28.5","0.0%"
"5","Todd Gurley II (FA)","13","96","7.4","30","2","2","3","5","39","13.0","0","0","1","28.5","28.5","0.0%"
"6","Jonathan Stewart (FA)","16","103","6.4","60","1","3","0","1","0","0","0","0","1","28.3","28.3","0.0%"
"7","Theo Riddick (FA)","10","29","2.9","18","0","2","6","10","64","10.7","0","0","1","27.3","27.3","0.0%"
"8","Alex Collins (FA)","18","120","6.7","21","1","1","2","2","46","23.0","0","0","1","24.6","24.6","19.0%"
"9","Kenyan Drake (FA)","25","114","4.6","31","2","0","5","6","79","15.8","0","0","1","24.3","24.3","4.0%"
"10","Kareem Hunt (CLE)","25","116","4.6","17","0","1","3","3","22","7.3","0","0","1","22.8","22.8","89.0%"
"11","Leonard Fournette (TB)","24","101","4.2","15","0","1","4","6","18","4.5","0","0","1","21.9","21.9","100.0%"
"12","LeSean McCoy (FA)","32","156","4.9","25","3","1","0","0","0","0","0","0","1","21.6","21.6","2.0%"
"13","Javorius Allen (FA)","6","25","4.2","9","0","2","2","2","32","16.0","0","0","1","19.7","19.7","0.0%"
"14","Giovani Bernard (TB)","11","62","5.6","21","1","0","6","8","68","11.3","0","0","1","19.0","19.0","0.0%"
"15","Wayne Gallman Jr. (FA)","12","59","4.9","13","0","0","7","9","40","5.7","0","0","1","16.9","16.9","0.0%"
"16","Rex Burkhead (HOU)","5","8","1.6","3","0","1","5","5","45","9.0","0","0","1","16.3","16.3","2.0%"
"17","Isaiah Crowell (FA)","19","121","6.4","37","1","0","3","3","10","3.3","0","0","1","16.1","16.1","0.0%"
"18","Melvin Gordon III (DEN)","22","78","3.5","10","0","1","1","3","5","5.0","0","0","1","15.3","15.3","88.0%"
"19","Devonta Freeman (FA)","24","91","3.8","19","0","1","0","0","0","0","0","0","1","15.1","15.1","0.0%"
"20","Frank Gore (FA)","36","130","3.6","10","0","0","1","1","10","10.0","0","0","1","15.0","15.0","24.0%"
"21","Duke Johnson Jr. (BUF)","6","8","1.3","6","0","0","4","4","41","10.3","1","0","1","14.9","14.9","0.0%"
"22","Carlos Hyde (FA)","14","78","5.6","31","1","1","0","1","0","0","0","0","1","13.8","13.8","0.0%"
"23","Marshawn Lynch (FA)","7","61","8.7","27","2","1","1","2","3","3.0","0","0","1","13.4","13.4","0.0%"
"24","Mark Ingram II (NO)","12","49","4.1","14","0","0","4","5","43","10.8","0","0","1","13.2","13.2","16.0%"
"25","Dion Lewis (FA)","5","17","3.4","11","0","0","5","5","50","10.0","0","0","1","11.7","11.7","2.0%"
"26","Alfred Morris (FA)","19","62","3.3","9","0","0","3","3","23","7.7","0","0","1","11.5","11.5","0.0%"
"27","Doug Martin (FA)","10","26","2.6","7","0","1","2","3","24","12.0","0","1","1","11.0","11.0","0.0%"
"28","Tarik Cohen (FA)","12","80","6.7","29","1","0","2","2","5","2.5","0","0","1","10.5","10.5","0.0%"
"29","James White (FA)","0","0","0","0","0","0","3","4","11","3.7","1","0","1","10.1","10.1","1.0%"
"30","Kerwynn Williams (FA)","20","73","3.7","18","0","0","1","1","15","15.0","0","0","1","9.8","9.8","0.0%"
"31","Kyle Juszczyk (SF)","0","0","0","0","0","0","3","4","64","21.3","0","0","1","9.4","9.4","0.0%"
"32","C.J. Anderson (FA)","22","48","2.2","7","0","0","2","2","25","12.5","0","0","1","9.3","9.3","1.0%"
"33","Samaje Perine (CIN)","17","45","2.6","10","0","0","4","4","7","1.8","0","0","1","9.2","9.2","5.0%"
"34","Jay Ajayi (FA)","15","78","5.2","19","0","0","1","2","2","2.0","0","0","1","9.0","9.0","7.0%"
"35","J.D. McKissic (WAS)","3","15","5.0","9","0","0","5","5","20","4.0","0","0","1","8.5","8.5","30.0%"
"36","Charcandrick West (FA)","3","25","8.3","13","0","1","0","2","0","0","0","0","1","8.5","8.5","0.0%"
"37","Christian McCaffrey (CAR)","8","35","4.4","8","0","0","3","4","18","6.0","0","0","1","8.3","8.3","100.0%"
"38","Lamar Miller (FA)","17","53","3.1","11","0","0","2","2","7","3.5","0","0","1","8.0","8.0","0.0%"
"39","Derrick Henry (TEN)","8","20","2.5","9","0","1","0","0","0","0","0","0","1","8.0","8.0","100.0%"
"40","Shane Vereen (FA)","6","23","3.8","9","0","0","3","4","24","8.0","0","0","1","7.7","7.7","0.0%"
"41","Patrick Ricard (BAL)","0","0","0","0","0","0","1","1","6","6.0","1","0","1","7.6","7.6","0.0%"
"42","Danny Woodhead (FA)","2","7","3.5","7","0","0","4","5","29","7.3","0","0","1","7.6","7.6","41.0%"
"43","Jerick McKinnon (KC)","7","46","6.6","17","0","0","2","3","9","4.5","0","0","1","7.5","7.5","3.0%"
"44","Mike Davis (BAL)","15","66","4.4","21","1","0","1","2","-1","-1.0","0","0","1","7.5","7.5","13.0%"
"45","Peyton Barber (FA)","12","58","4.8","16","0","0","1","1","5","5.0","0","0","1","7.3","7.3","1.0%"
"46","Roosevelt Nix (FA)","0","0","0","0","0","0","1","1","1","1.0","1","0","1","7.1","7.1","0.0%"
"47","DeMarco Murray (FA)","11","34","3.1","9","0","0","2","3","13","6.5","0","0","1","6.7","6.7","0.0%"
"48","Marlon Mack (HOU)","7","23","3.3","20","1","0","2","3","21","10.5","0","0","1","6.4","6.4","29.0%"
"49","Orleans Darkwa (FA)","10","29","2.9","6","0","0","2","3","15","7.5","0","0","1","6.4","6.4","0.0%"
"50","Corey Clement (FA)","6","24","4.0","11","0","0","1","3","28","28.0","0","0","1","6.2","6.2","0.0%"
"51","Andy Janovich (FA)","1","1","1.0","1","0","1","0","0","0","0","0","0","1","6.1","6.1","0.0%"
"52","Alvin Kamara (NO)","1","2","2.0","2","0","0","3","3","25","8.3","0","0","1","5.7","5.7","100.0%"
"53","Matt Forte (FA)","6","13","2.2","5","0","0","2","3","21","10.5","0","0","1","5.4","5.4","38.0%"
"54","Devontae Booker (FA)","9","22","2.4","6","0","0","2","2","12","6.0","0","0","1","5.4","5.4","0.0%"
"55","Austin Ekeler (LAC)","4","49","12.3","33","1","0","0","3","0","0","0","0","1","4.9","4.9","100.0%"
"56","Chris Ivory (FA)","6","48","8.0","34","1","0","0","0","0","0","0","0","1","4.8","4.8","0.0%"
"57","Charles Sims (FA)","3","16","5.3","11","0","0","2","3","11","5.5","0","0","1","4.7","4.7","0.0%"
"58","LeGarrette Blount (FA)","7","12","1.7","4","0","0","2","2","11","5.5","0","0","1","4.3","4.3","0.0%"
"59","Jamaal Charles (FA)","0","0","0","0","0","0","3","3","12","4.0","0","0","1","4.2","4.2","0.0%"
"60","Latavius Murray (FA)","9","14","1.6","11","0","0","2","2","6","3.0","0","0","1","4.0","4.0","0.0%"
"61","Elijhaa Penny (FA)","2","11","5.5","9","0","0","1","1","18","18.0","0","0","1","3.9","3.9","0.0%"
"62","Bilal Powell (FA)","13","35","2.7","12","0","0","0","0","0","0","0","0","1","3.5","3.5","0.0%"
"63","Benny Cunningham Jr. (FA)","0","0","0","0","0","0","2","2","14","7.0","0","0","1","3.4","3.4","0.0%"
"64","D.J. Foster (FA)","2","7","3.5","5","0","0","2","2","6","3.0","0","0","1","3.3","3.3","0.0%"
"65","Tevin Coleman (NYJ)","9","32","3.6","9","0","0","0","0","0","0","0","0","1","3.2","3.2","0.0%"
"66","Andre Ellington (FA)","3","6","2.0","7","0","0","1","2","16","16.0","0","0","1","3.2","3.2","0.0%"
"67","DeAndre Washington (FA)","4","9","2.3","9","0","0","1","2","10","10.0","0","0","1","2.9","2.9","11.0%"
"68","Matt Breida (NYG)","12","27","2.3","6","0","0","0","0","0","0","0","0","1","2.7","2.7","1.0%"
"69","Andre Williams (FA)","7","23","3.3","7","0","0","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"70","Brian Hill (FA)","2","8","4.0","4","0","0","1","1","2","2.0","0","0","1","2.0","2.0","0.0%"
"71","C.J. Ham (MIN)","0","0","0","0","0","0","1","1","9","9.0","0","0","1","1.9","1.9","0.0%"
"72","Ryan Hewitt (FA)","0","0","0","0","0","0","1","1","6","6.0","0","0","1","1.6","1.6","0.0%"
"73","Tion Green (FA)","5","15","3.0","6","0","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"74","Keith Smith (ATL)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","1.3","1.3","0.0%"
"75","LeShun Daniels (FA)","2","12","6.0","8","0","0","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"76","James Develin (FA)","0","0","0","0","0","0","1","1","2","2.0","0","0","1","1.2","1.2","0.0%"
"77","Mike Tolbert (FA)","6","32","5.3","25","1","0","0","0","0","0","0","1","1","1.2","1.2","0.0%"
"78","Danny Vitale (FA)","0","0","0","0","0","0","1","1","1","1.0","0","0","1","1.1","1.1","0.0%"
"79","T.J. Yeldon (FA)","2","9","4.5","6","0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"80","James Conner (ARI)","2","6","3.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","99.0%"
"81","Malcolm Brown (FA)","1","5","5.0","5","0","0","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"82","Travaris Cadet (FA)","4","2","0.5","3","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"83","Derek Watt (PIT)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"84","Anthony Sherman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Jordan Todman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"86","Jacquizz Rodgers (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","Cordarrelle Patterson (ATL)","0","0","0","0","0","0","3","6","8","2.7","0","0","1","0.0","0.0","89.0%"
"88","Kenjon Barner (TB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"89","Tommy Bohanon (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Fozzy Whittaker (FA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"91","Jamize Olawale (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"92","Brandon Bolden (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"93","Joe Kerridge (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"94","Matt Dayes (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"95","De'Veon Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"96","Jalen Richard (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"97","Byron Marshall (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"98","Josh Ferguson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"99","Paul Perkins (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"100","Lawrence Thomas (FA)","0","0","0","0","0","0","1","1","7","7.0","0","0","1","0.0","0.0","0.0%"
"101","Trey Edmunds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"102","Shane Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"103","Senorise Perry (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"104","Patrick DiMarco (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","Derrick Coleman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"106","Zach Line (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"107","David Fluellen (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"108","Jay Prosch (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"109","Akeem Hunt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"110","Aaron Ripkowski (FA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"111","Michael Burton (KC)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"112","Zach Zenner (FA)","2","0","0.0","1","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"113","Mack Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"114","Terron Ward (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"115","Thomas Rawls (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"116","Fitzgerald Toussaint (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"117","Cameron Artis-Payne (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"118","Aaron Jones (GB)","4","-2","-0.5","1","0","0","0","0","0","0","0","0","1","-0.2","-0.2","100.0%"
"119","Elijah McGuire (FA)","1","-3","-3.0","0","0","0","0","0","0","0","0","0","1","-0.3","-0.3","0.0%"
"120","Corey Grant (FA)","0","0","0","0","0","0","0","0","0","0","0","1","1","-2.0","-2.0","0.0%"
""
""
