"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Alvin Kamara (NO)","5","87","17.4","74","1","1","6","6","101","16.8","1","0","1","36.8","36.8","100.0%"
"2","Jamaal Williams (DET)","21","66","3.1","12","0","1","4","5","69","17.3","1","0","1","29.5","29.5","39.0%"
"3","Le'Veon Bell (FA)","20","95","4.8","14","0","0","12","14","88","7.3","0","1","1","28.3","28.3","0.0%"
"4","Joe Mixon (CIN)","23","114","5.0","19","0","1","3","3","51","17.0","0","0","1","25.5","25.5","100.0%"
"5","Tevin Coleman (NYJ)","19","97","5.1","20","1","2","0","0","0","0","0","0","1","21.7","21.7","0.0%"
"6","Marshawn Lynch (FA)","26","67","2.6","7","0","1","3","3","43","14.3","0","0","1","20.0","20.0","0.0%"
"7","Rex Burkhead (HOU)","13","50","3.8","22","1","1","2","2","3","1.5","1","0","1","19.3","19.3","2.0%"
"8","Todd Gurley II (FA)","17","74","4.4","14","0","0","4","7","54","13.5","0","0","1","16.8","16.8","0.0%"
"9","Samaje Perine (CIN)","24","100","4.2","16","0","0","3","4","30","10.0","0","0","1","16.0","16.0","5.0%"
"10","Frank Gore (FA)","17","62","3.6","14","0","1","2","5","17","8.5","0","0","1","15.9","15.9","24.0%"
"11","Latavius Murray (FA)","20","84","4.2","46","1","1","0","1","0","0","0","0","1","14.4","14.4","0.0%"
"12","Adrian Peterson (FA)","20","79","4.0","10","0","0","4","5","20","5.0","0","0","1","13.9","13.9","4.0%"
"13","Carlos Hyde (FA)","16","47","2.9","14","0","0","7","13","21","3.0","0","0","1","13.8","13.8","0.0%"
"14","Alex Collins (FA)","16","60","3.8","29","1","1","2","2","-3","-1.5","0","0","1","13.7","13.7","19.0%"
"15","DeMarco Murray (FA)","12","9","0.8","12","0","1","3","4","33","11.0","0","0","1","13.2","13.2","0.0%"
"16","Lamar Miller (FA)","17","51","3.0","17","0","1","1","3","7","7.0","0","0","1","12.8","12.8","0.0%"
