"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Alvin Kamara (NO)","9","60","6.7","20","1","2","5","6","66","13.2","0","0","1","29.6","29.6","100.0%"
"2","Le'Veon Bell (FA)","18","76","4.2","16","0","0","5","6","106","21.2","1","0","1","29.2","29.2","0.0%"
"3","Rex Burkhead (HOU)","12","78","6.5","31","1","2","3","4","25","8.3","0","0","1","25.3","25.3","2.0%"
"4","Mark Ingram II (NO)","14","85","6.1","72","1","1","6","7","37","6.2","0","0","1","24.2","24.2","16.0%"
"5","Alex Collins (FA)","15","75","5.0","11","0","2","2","2","23","11.5","0","0","1","23.8","23.8","19.0%"
"6","Kenyan Drake (FA)","23","120","5.2","42","1","1","3","5","21","7.0","0","0","1","23.1","23.1","4.0%"
"7","Todd Gurley II (FA)","19","74","3.9","14","0","0","6","7","84","14.0","0","0","1","21.8","21.8","0.0%"
"8","Jamaal Williams (DET)","21","113","5.4","25","1","1","2","3","10","5.0","0","0","1","20.3","20.3","39.0%"
"9","Marshawn Lynch (FA)","17","101","5.9","51","1","1","2","3","20","10.0","0","0","1","20.1","20.1","0.0%"
"10","Alfred Morris (FA)","27","127","4.7","15","0","1","0","1","0","0","0","0","1","18.7","18.7","0.0%"
"11","Peyton Barber (FA)","23","102","4.4","19","0","0","4","4","41","10.3","0","0","1","18.3","18.3","1.0%"
"12","Matt Forte (FA)","15","58","3.9","14","0","0","3","3","33","11.0","1","0","1","18.1","18.1","38.0%"
"13","Theo Riddick (FA)","9","21","2.3","5","0","1","5","5","41","8.2","0","0","1","17.2","17.2","0.0%"
"14","Derrick Henry (TEN)","11","109","9.9","75","2","1","0","0","0","0","0","0","1","16.9","16.9","100.0%"
"15","Leonard Fournette (TB)","20","57","2.9","24","1","1","3","4","22","7.3","0","0","1","16.9","16.9","100.0%"
"16","Jerick McKinnon (KC)","9","24","2.7","7","0","0","5","5","28","5.6","1","0","1","16.2","16.2","3.0%"
"17","Christian McCaffrey (CAR)","6","16","2.7","5","0","0","5","6","33","6.6","1","0","1","15.9","15.9","100.0%"
"18","C.J. Anderson (FA)","15","67","4.5","14","0","0","4","7","43","10.8","0","0","1","15.0","15.0","1.0%"
"19","Melvin Gordon III (DEN)","19","77","4.1","29","1","0","4","4","29","7.3","0","0","1","14.6","14.6","88.0%"
"20","Mike Davis (BAL)","16","64","4.0","22","1","0","4","4","37","9.3","0","0","1","14.1","14.1","13.0%"
"21","Lamar Miller (FA)","15","56","3.7","12","0","0","4","4","38","9.5","0","0","1","13.4","13.4","0.0%"
"22","Bilal Powell (FA)","18","48","2.7","13","0","1","2","3","2","1.0","0","0","1","13.0","13.0","0.0%"
"23","Latavius Murray (FA)","16","76","4.8","30","1","0","3","3","21","7.0","0","0","1","12.7","12.7","0.0%"
"24","LeSean McCoy (FA)","15","93","6.2","18","0","0","2","5","9","4.5","0","0","1","12.2","12.2","2.0%"
"25","Giovani Bernard (TB)","13","77","5.9","13","0","0","2","3","19","9.5","0","0","1","11.6","11.6","0.0%"
"26","Tion Green (FA)","11","51","4.6","33","1","1","0","0","0","0","0","0","1","11.1","11.1","0.0%"
"27","Jonathan Stewart (FA)","11","45","4.1","10","0","1","0","1","0","0","0","0","1","10.5","10.5","0.0%"
"28","Andre Ellington (FA)","2","-4","-2.0","0","0","0","5","6","56","11.2","0","0","1","10.2","10.2","0.0%"
"29","Jamaal Charles (FA)","3","12","4.0","8","0","0","5","5","39","7.8","0","0","1","10.1","10.1","0.0%"
"30","Orleans Darkwa (FA)","14","32","2.3","9","0","1","1","1","-1","-1.0","0","0","1","10.1","10.1","0.0%"
"31","DeMarco Murray (FA)","11","66","6.0","22","1","0","2","2","13","6.5","0","0","1","9.9","9.9","0.0%"
"32","Samaje Perine (CIN)","12","38","3.2","15","0","0","3","3","31","10.3","0","0","1","9.9","9.9","5.0%"
"33","Kerwynn Williams (FA)","16","97","6.1","25","1","0","0","0","0","0","0","0","1","9.7","9.7","0.0%"
"34","Carlos Hyde (FA)","17","54","3.2","18","0","0","3","5","12","4.0","0","0","1","9.6","9.6","0.0%"
"35","Kareem Hunt (CLE)","9","40","4.4","14","0","0","3","5","23","7.7","0","0","1","9.3","9.3","89.0%"
"36","Dion Lewis (FA)","15","92","6.1","44","1","0","0","0","0","0","0","0","1","9.2","9.2","2.0%"
"37","Devonta Freeman (FA)","12","74","6.2","13","0","0","1","2","7","7.0","0","0","1","9.1","9.1","0.0%"
"38","James White (FA)","5","18","3.6","6","0","0","4","6","32","8.0","0","0","1","9.0","9.0","1.0%"
"39","Rod Smith (FA)","10","27","2.7","10","0","1","0","1","0","0","0","0","1","8.7","8.7","0.0%"
"40","Byron Marshall (FA)","4","12","3.0","6","0","0","5","6","24","4.8","0","0","1","8.6","8.6","0.0%"
"41","Tarik Cohen (FA)","2","5","2.5","4","0","0","4","4","39","9.8","0","0","1","8.4","8.4","0.0%"
"42","J.D. McKissic (WAS)","1","-1","-1.0","0","0","0","1","3","15","15.0","1","0","1","8.4","8.4","30.0%"
"43","Aaron Jones (GB)","1","20","20.0","20","1","1","0","0","0","0","0","0","1","8.0","8.0","100.0%"
"44","Tevin Coleman (NYJ)","8","22","2.8","6","0","0","3","6","27","9.0","0","0","1","7.9","7.9","0.0%"
"45","DeAndre Washington (FA)","6","16","2.7","9","0","1","0","0","0","0","0","0","1","7.6","7.6","11.0%"
"46","Jay Ajayi (FA)","9","35","3.9","11","0","0","3","4","11","3.7","0","0","1","7.6","7.6","7.0%"
"47","Patrick Ricard (BAL)","0","0","0","0","0","0","1","1","3","3.0","1","0","1","7.3","7.3","0.0%"
"48","Travaris Cadet (FA)","4","22","5.5","12","0","0","3","5","19","6.3","0","0","1","7.1","7.1","0.0%"
"49","Charles Sims (FA)","3","16","5.3","8","0","0","2","2","35","17.5","0","0","1","7.1","7.1","0.0%"
"50","Corey Clement (FA)","3","7","2.3","8","0","0","3","3","30","10.0","0","0","1","6.7","6.7","0.0%"
"51","Elijhaa Penny (FA)","2","4","2.0","3","0","1","0","0","0","0","0","0","1","6.4","6.4","0.0%"
"52","Marlon Mack (HOU)","6","46","7.7","25","1","0","1","2","8","8.0","0","0","1","6.4","6.4","29.0%"
"53","Frank Gore (FA)","13","61","4.7","16","0","0","0","0","0","0","0","0","1","6.1","6.1","24.0%"
"54","Austin Ekeler (LAC)","4","19","4.8","9","0","0","2","3","21","10.5","0","0","1","6.0","6.0","100.0%"
"55","Matt Breida (NYG)","12","45","3.8","8","0","0","1","1","4","4.0","0","0","1","5.9","5.9","1.0%"
"56","Isaiah Crowell (FA)","10","41","4.1","16","0","0","1","1","3","3.0","0","0","1","5.4","5.4","0.0%"
"57","Kyle Juszczyk (SF)","1","3","3.0","3","0","0","3","3","20","6.7","0","0","1","5.3","5.3","0.0%"
"58","Joe Mixon (CIN)","7","34","4.9","10","0","0","1","1","8","8.0","0","0","1","5.2","5.2","100.0%"
"59","Josh Ferguson (FA)","0","0","0","0","0","0","3","3","16","5.3","0","0","1","4.6","4.6","0.0%"
"60","D.J. Foster (FA)","2","5","2.5","4","0","0","2","5","20","10.0","0","0","1","4.5","4.5","0.0%"
"61","T.J. Yeldon (FA)","0","0","0","0","0","0","2","2","25","12.5","0","0","1","4.5","4.5","0.0%"
"62","Jordan Howard (FA)","13","38","2.9","14","0","0","1","2","-5","-5.0","0","0","1","4.3","4.3","0.0%"
"63","Danny Woodhead (FA)","3","9","3.0","5","0","0","2","2","14","7.0","0","0","1","4.3","4.3","41.0%"
"64","Jamize Olawale (FA)","1","9","9.0","9","0","0","2","2","14","7.0","0","0","1","4.3","4.3","0.0%"
"65","Elijah McGuire (FA)","5","20","4.0","19","0","0","0","0","0","0","0","0","1","4.0","4.0","0.0%"
"66","Shane Vereen (FA)","1","-3","-3.0","0","0","0","3","3","13","4.3","0","0","1","4.0","4.0","0.0%"
"67","Javorius Allen (FA)","7","22","3.1","10","0","0","1","1","4","4.0","0","0","1","3.6","3.6","0.0%"
"68","Duke Johnson Jr. (BUF)","7","2","0.3","4","0","0","2","4","10","5.0","0","0","1","3.2","3.2","0.0%"
"69","Akeem Hunt (FA)","1","2","2.0","2","0","0","1","1","20","20.0","0","0","1","3.2","3.2","0.0%"
"70","Wayne Gallman Jr. (FA)","3","11","3.7","7","0","0","1","1","8","8.0","0","0","1","2.9","2.9","0.0%"
"71","LeGarrette Blount (FA)","8","26","3.3","11","0","0","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"72","Chris Ivory (FA)","4","12","3.0","4","0","0","1","1","3","3.0","0","0","1","2.5","2.5","0.0%"
"73","Jacquizz Rodgers (FA)","3","25","8.3","19","0","0","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"74","C.J. Ham (MIN)","1","1","1.0","1","0","0","1","1","12","12.0","0","0","1","2.3","2.3","0.0%"
"75","Senorise Perry (FA)","5","22","4.4","12","0","0","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"76","Alfred Blue (FA)","4","2","0.5","3","0","0","1","1","7","7.0","0","0","1","1.9","1.9","0.0%"
"77","Jalen Richard (FA)","1","4","4.0","4","0","0","1","3","5","5.0","0","0","1","1.9","1.9","1.0%"
"78","Devontae Booker (FA)","2","8","4.0","5","0","0","1","1","0","0.0","0","0","1","1.8","1.8","0.0%"
"79","Paul Perkins (FA)","3","12","4.0","5","0","0","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"80","James Conner (ARI)","3","12","4.0","10","0","0","0","0","0","0","0","0","1","1.2","1.2","99.0%"
"81","Zach Zenner (FA)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"82","Thomas Rawls (FA)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"83","Eddie Lacy (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"84","Nick Bellore (SEA)","0","0","0","0","0","0","1","1","1","1.0","1","0","1","0.0","0.0","0.0%"
"85","Anthony Sherman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"86","Jordan Todman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","Cordarrelle Patterson (ATL)","2","1","0.5","1","0","0","4","4","97","24.3","0","0","1","0.0","0.0","89.0%"
"88","Benny Cunningham Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"89","Tommy Bohanon (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Fozzy Whittaker (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"91","Kenjon Barner (TB)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"92","Lance Dunbar (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"93","Brandon Bolden (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"94","Joe Kerridge (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"95","Brian Hill (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"96","LeShun Daniels (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"97","Alex Armah Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"98","Devante Mays (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"99","Matt Dayes (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"100","De'Veon Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"101","Derek Watt (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"102","Andy Janovich (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"103","Danny Vitale (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"104","Lawrence Thomas (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","Trey Edmunds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"106","Shane Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"107","Ryan Hewitt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"108","Keith Smith (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"109","Andre Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"110","Patrick DiMarco (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"111","Derrick Coleman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"112","James Develin (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"113","Zach Line (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"114","David Fluellen (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"115","Jay Prosch (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"116","Aaron Ripkowski (FA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"117","Corey Grant (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"118","Michael Burton (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"119","Terron Ward (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"120","Fitzgerald Toussaint (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Roosevelt Nix (FA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"122","Cameron Artis-Payne (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
