"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","LeSean McCoy (FA)","27","151","5.6","48","1","1","6","7","22","3.7","0","0","1","29.3","29.3","2.0%"
"2","Ezekiel Elliott (DAL)","33","150","4.5","14","0","2","1","2","4","4.0","0","1","1","26.4","26.4","99.0%"
"3","Jerick McKinnon (KC)","14","50","3.6","10","0","1","6","10","72","12.0","0","0","1","26.2","26.2","3.0%"
"4","Lamar Miller (FA)","21","54","2.6","13","0","1","3","3","19","6.3","1","0","1","22.3","22.3","0.0%"
"5","Melvin Gordon III (DEN)","14","132","9.4","87","1","1","1","2","7","7.0","0","0","1","20.9","20.9","88.0%"
"6","DeAndre Washington (FA)","6","26","4.3","10","0","0","8","10","62","7.8","1","1","1","20.8","20.8","11.0%"
"7","Isaiah Crowell (FA)","11","64","5.8","26","1","1","4","6","54","13.5","0","1","1","19.8","19.8","0.0%"
"8","Mark Ingram II (NO)","18","75","4.2","18","0","1","6","6","24","4.0","0","2","1","17.9","17.9","16.0%"
"9","Alvin Kamara (NO)","8","28","3.5","10","0","1","3","3","48","16.0","0","0","1","16.6","16.6","100.0%"
"10","Alex Collins (FA)","18","113","6.3","19","0","0","2","2","30","15.0","0","0","1","16.3","16.3","19.0%"
"11","Matt Breida (NYG)","5","17","3.4","9","0","0","4","6","39","9.8","1","0","1","15.6","15.6","1.0%"
"12","Chris Thompson (FA)","4","18","4.5","16","0","0","8","9","76","9.5","0","1","1","15.4","15.4","0.0%"
"13","Rex Burkhead (HOU)","4","15","3.8","7","0","0","7","7","68","9.7","0","0","1","15.3","15.3","2.0%"
"14","Marlon Mack (HOU)","11","27","2.5","8","0","0","3","5","36","12.0","1","0","1","15.3","15.3","29.0%"
"15","Jordan Howard (FA)","23","102","4.4","50","1","0","3","5","19","6.3","0","0","1","15.1","15.1","0.0%"
"16","Devontae Booker (FA)","6","40","6.7","26","1","1","3","3","14","4.7","0","0","1","14.4","14.4","0.0%"
"17","Le'Veon Bell (FA)","25","76","3.0","8","0","1","2","3","5","2.5","0","1","1","14.1","14.1","0.0%"
"18","Frank Gore (FA)","16","82","5.1","15","0","0","4","4","19","4.8","0","0","1","14.1","14.1","24.0%"
"19","James White (FA)","1","2","2.0","2","0","0","5","6","85","17.0","0","0","1","13.7","13.7","1.0%"
"20","LeGarrette Blount (FA)","16","48","3.0","12","0","1","1","1","4","4.0","0","0","1","12.2","12.2","0.0%"
"21","Joe Mixon (CIN)","11","18","1.6","7","0","0","3","3","91","30.3","0","1","1","11.9","11.9","100.0%"
"22","Tevin Coleman (NYJ)","14","82","5.9","52","1","0","1","1","22","22.0","0","0","1","11.4","11.4","0.0%"
"23","Matt Forte (FA)","4","7","1.8","4","0","0","6","7","45","7.5","0","0","1","11.2","11.2","38.0%"
"24","Christian McCaffrey (CAR)","4","3","0.8","4","0","0","5","7","49","9.8","0","0","1","10.2","10.2","100.0%"
"25","Kareem Hunt (CLE)","22","46","2.1","15","0","0","3","5","22","7.3","0","0","1","9.8","9.8","89.0%"
"26","C.J. Anderson (FA)","15","78","5.2","12","0","0","1","1","7","7.0","0","0","1","9.5","9.5","1.0%"
"27","Jonathan Stewart (FA)","11","34","3.1","11","0","1","0","0","0","0","0","0","1","9.4","9.4","0.0%"
"28","Bilal Powell (FA)","14","33","2.4","12","0","0","3","3","28","9.3","0","0","1","9.1","9.1","0.0%"
"29","Carlos Hyde (FA)","12","25","2.1","12","0","0","4","9","22","5.5","0","0","1","8.7","8.7","0.0%"
"30","Jalen Richard (FA)","5","21","4.2","14","0","0","5","7","35","7.0","0","1","1","8.6","8.6","1.0%"
"31","Doug Martin (FA)","18","71","3.9","17","0","0","1","2","4","4.0","0","0","1","8.5","8.5","0.0%"
"32","Duke Johnson Jr. (BUF)","6","33","5.5","7","0","0","4","5","10","2.5","0","0","1","8.3","8.3","0.0%"
"33","Jay Ajayi (FA)","13","23","1.8","21","1","0","4","4","18","4.5","0","0","1","8.1","8.1","7.0%"
"34","Robert Kelley (FA)","8","19","2.4","10","0","1","0","1","0","0","0","0","1","7.9","7.9","0.0%"
"35","Tarik Cohen (FA)","4","2","0.5","5","0","1","1","3","6","6.0","0","0","1","7.8","7.8","0.0%"
