"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","35","47","74.5","353","7.5","3","1","3","9","26","0","0","1","29.7","29.7","100.0%"
"2","Kirk Cousins (MIN)","33","48","68.8","373","7.8","3","0","0","2","16","0","0","1","28.5","28.5","85.0%"
"3","Dak Prescott (DAL)","36","51","70.6","445","8.7","3","1","0","3","10","0","1","1","27.8","27.8","96.0%"
"4","Matthew Stafford (LAR)","22","28","78.6","251","9.0","4","1","2","2","12","0","0","1","26.2","26.2","94.0%"
"5","Jalen Hurts (PHI)","12","26","46.2","115","4.4","1","1","2","10","44","2","0","1","26.0","26.0","98.0%"
"6","Kyler Murray (ARI)","20","30","66.7","229","7.6","4","0","2","7","6","0","0","1","25.8","25.8","99.0%"
"7","Patrick Mahomes II (KC)","32","47","68.1","397","8.4","2","2","3","3","31","0","0","1","25.0","25.0","100.0%"
"8","Joe Burrow (CIN)","19","29","65.5","271","9.3","3","1","2","5","20","0","0","1","23.8","23.8","99.0%"
"9","Aaron Rodgers (GB)","17","23","73.9","195","8.5","2","0","3","7","19","1","0","1","23.7","23.7","95.0%"
"10","Tua Tagovailoa (MIA)","33","47","70.2","329","7.0","2","1","0","3","22","0","0","1","22.4","22.4","69.0%"
"11","Derek Carr (LV)","18","27","66.7","341","12.6","2","0","2","2","-1","0","0","1","21.5","21.5","89.0%"
"12","Teddy Bridgewater (MIA)","35","49","71.4","334","6.8","3","3","5","2","9","0","1","1","21.3","21.3","1.0%"
"13","Tom Brady (TB)","34","42","81.0","297","7.1","2","1","0","4","1","0","0","1","19.0","19.0","98.0%"
"14","Carson Wentz (WAS)","11","20","55.0","223","11.2","2","0","2","2","1","0","0","1","17.0","17.0","14.0%"
"15","Sam Darnold (CAR)","17","41","41.5","207","5.0","1","1","4","4","48","0","1","1","16.1","16.1","2.0%"
"16","Trevor Lawrence (JAC)","25","41","61.0","319","7.8","1","0","2","2","11","0","1","1","15.9","15.9","56.0%"
"17","Mac Jones (NE)","15","21","71.4","229","10.9","2","1","2","2","-4","0","1","1","15.8","15.8","40.0%"
"18","Justin Fields (CHI)","16","27","59.3","174","6.4","1","1","4","6","43","0","0","1","14.3","14.3","65.0%"
"19","Ryan Tannehill (TEN)","18","29","62.1","216","7.4","0","1","0","2","3","1","0","1","13.9","13.9","22.0%"
"20","Lamar Jackson (BAL)","19","27","70.4","167","6.2","1","2","3","8","51","0","0","1","13.8","13.8","100.0%"
"21","Baker Mayfield (CAR)","19","28","67.9","234","8.4","2","1","5","3","8","0","2","1","13.2","13.2","13.0%"
"22","Justin Herbert (LAC)","22","39","56.4","195","5.0","1","1","2","2","12","0","0","1","12.0","12.0","100.0%"
"23","Ben Roethlisberger (FA)","29","40","72.5","229","5.7","1","0","1","2","-3","0","1","1","10.9","10.9","27.0%"
"24","Taylor Heinicke (WAS)","24","39","61.5","182","4.7","1","1","0","0","0","0","0","1","10.3","10.3","1.0%"
"25","Geno Smith (SEA)","23","32","71.9","209","6.5","1","0","5","1","-1","0","1","1","10.3","10.3","2.0%"
"26","Jared Goff (DET)","28","42","66.7","202","4.8","0","1","1","1","1","0","0","1","9.2","9.2","23.0%"
"27","Davis Mills (HOU)","29","43","67.4","243","5.7","0","2","2","2","5","0","0","1","8.2","8.2","7.0%"
"28","Daniel Jones (NYG)","29","51","56.9","242","4.7","0","3","4","3","4","0","1","1","7.1","7.1","26.0%"
"29","Brandon Allen (CIN)","1","1","100.0","7","7.0","1","0","0","3","-3","0","0","1","4.0","4.0","0.0%"
