"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sammy Watkins (GB)","9","11","198","22.0","68","9","3","0","0","0","0","1","46.8","46.8","18.0%"
"2","DeSean Jackson (FA)","8","9","154","19.3","53","8","2","0","0","0","0","1","35.4","35.4","5.0%"
"3","John Ross (FA)","7","12","158","22.6","55","8","2","0","0","0","0","1","34.8","34.8","0.0%"
"4","DeAndre Hopkins (ARI)","8","13","111","13.9","38","3","2","0","0","0","0","1","31.1","31.1","83.0%"
"5","Marquise Brown (ARI)","4","5","147","36.8","83","7","2","0","0","0","0","1","30.7","30.7","92.0%"
"6","T.Y. Hilton (FA)","8","9","87","10.9","19","0","2","0","0","0","0","1","28.7","28.7","0.0%"
"7","Keenan Allen (LAC)","8","10","123","15.4","28","4","1","0","0","0","0","1","26.3","26.3","100.0%"
"8","Phillip Dorsett II (HOU)","4","4","95","23.8","58","5","2","0","0","0","0","1","25.5","25.5","0.0%"
"9","John Brown (FA)","7","10","123","17.6","38","3","1","0","0","0","0","1","25.3","25.3","2.0%"
"10","Larry Fitzgerald (FA)","8","13","113","14.1","45","6","1","0","0","0","0","1","25.3","25.3","0.0%"
"11","DJ Chark Jr. (DET)","4","4","146","36.5","69","8","1","0","0","0","0","1","24.6","24.6","26.0%"
"12","Jamison Crowder (BUF)","14","17","99","7.1","19","0","0","1","4","0","0","1","24.3","24.3","5.0%"
"13","Terry McLaurin (WAS)","5","7","125","25.0","69","5","1","0","0","0","0","1","23.5","23.5","98.0%"
"14","Danny Amendola (FA)","7","13","104","14.9","47","3","1","0","0","0","0","1","23.4","23.4","0.0%"
"15","Michael Gallup (DAL)","7","7","158","22.6","62","7","0","0","0","0","0","1","22.8","22.8","41.0%"
"16","Amari Cooper (CLE)","6","9","106","17.7","45","4","1","0","0","0","0","1","22.6","22.6","92.0%"
"17","Tyrell Williams (FA)","6","7","105","17.5","43","4","1","0","0","0","0","1","22.5","22.5","0.0%"
"18","Michael Thomas (NO)","10","13","123","12.3","24","1","0","0","0","0","0","1","22.3","22.3","93.0%"
"19","Alshon Jeffery (FA)","5","7","49","9.8","16","0","1","1","2","1","0","1","22.1","22.1","0.0%"
"20","Chris Conley (HOU)","6","7","97","16.2","21","3","1","0","0","0","0","1","21.7","21.7","0.0%"
"21","Emmanuel Sanders (FA)","5","7","86","17.2","53","5","1","0","0","0","0","1","19.6","19.6","1.0%"
"22","Courtland Sutton (DEN)","7","8","120","17.1","30","4","0","0","0","0","0","1","19.0","19.0","97.0%"
"23","Allen Robinson II (LAR)","7","13","102","14.6","27","3","0","0","0","0","0","1","17.2","17.2","96.0%"
"24","Ted Ginn Jr. (FA)","7","7","101","14.4","41","3","0","0","0","0","0","1","17.1","17.1","0.0%"
"25","Randall Cobb (GB)","4","5","69","17.3","25","1","1","0","0","0","0","1","16.9","16.9","4.0%"
"26","Robert Woods (TEN)","8","13","70","8.8","22","1","0","2","16","0","0","1","16.6","16.6","73.0%"
"27","Calvin Ridley (ATL)","4","6","64","16.0","20","2","1","0","0","0","0","1","16.4","16.4","2.0%"
"28","Julian Edelman (FA)","6","11","83","13.8","24","1","0","1","8","0","0","1","16.4","16.4","24.0%"
"29","Josh Gordon (KC)","3","4","73","24.3","44","4","1","0","0","0","0","1","16.3","16.3","0.0%"
"30","Julio Jones (TB)","6","11","31","5.2","10","0","1","0","0","0","0","1","15.1","15.1","46.0%"
"31","Tyler Boyd (CIN)","8","12","60","7.5","14","0","0","1","3","0","0","1","14.3","14.3","55.0%"
"32","Chris Godwin (TB)","3","6","53","17.7","28","1","1","0","0","0","0","1","14.3","14.3","88.0%"
"33","Dede Westbrook (FA)","5","6","30","6.0","15","0","1","1","2","0","0","1","14.2","14.2","0.0%"
"34","Kenny Golladay (NYG)","4","9","42","10.5","13","0","1","0","0","0","0","1","14.2","14.2","34.0%"
