"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Drew Brees (FA)","25","36","69.4","346","9.6","4","0","0","4","16","0","0","1","31.4","31.4","71.0%"
"2","Jared Goff (DET)","28","40","70.0","391","9.8","3","1","0","3","17","0","0","1","29.3","29.3","23.0%"
"3","Matt Ryan (IND)","26","38","68.4","350","9.2","4","1","2","0","0","0","0","1","28.0","28.0","49.0%"
"4","Patrick Mahomes II (KC)","23","32","71.9","375","11.7","3","1","2","2","18","0","0","1","26.8","26.8","100.0%"
"5","Ben Roethlisberger (FA)","28","47","59.6","270","5.7","2","0","1","2","4","1","0","1","25.2","25.2","27.0%"
"6","Ryan Fitzpatrick (FA)","24","40","60.0","243","6.1","4","2","3","5","23","0","0","1","24.0","24.0","0.0%"
"7","Marcus Mariota (ATL)","21","29","72.4","240","8.3","2","0","4","10","32","1","2","1","22.8","22.8","9.0%"
"8","Nick Mullens (MIN)","16","22","72.7","262","11.9","3","0","0","4","-3","0","0","1","22.2","22.2","0.0%"
"9","Cam Newton (FA)","19","25","76.0","247","9.9","2","0","2","11","33","0","0","1","21.2","21.2","18.0%"
"10","Deshaun Watson (CLE)","17","24","70.8","213","8.9","2","0","4","6","38","0","0","1","20.3","20.3","22.0%"
"11","Russell Wilson (DEN)","26","39","66.7","235","6.0","2","1","4","5","41","0","0","1","19.5","19.5","97.0%"
"12","Aaron Rodgers (GB)","24","43","55.8","259","6.0","2","0","1","4","8","0","0","1","19.2","19.2","95.0%"
"13","Baker Mayfield (CAR)","29","42","69.0","297","7.1","2","1","2","0","0","0","0","1","17.9","17.9","13.0%"
"14","Philip Rivers (FA)","13","26","50.0","228","8.8","2","0","2","0","0","0","0","1","17.1","17.1","41.0%"
"15","Alex Smith (FA)","30","46","65.2","306","6.7","1","1","3","1","22","0","0","1","16.4","16.4","5.0%"
"16","Tom Brady (TB)","22","35","62.9","294","8.4","1","0","2","5","-1","0","0","1","15.7","15.7","98.0%"
"17","Case Keenum (BUF)","26","42","61.9","290","6.9","1","0","2","0","0","0","0","1","15.6","15.6","0.0%"
"18","Dak Prescott (DAL)","21","31","67.7","243","7.8","2","1","5","2","11","0","1","1","14.8","14.8","96.0%"
"19","Nathan Peterman (CHI)","31","49","63.3","188","3.8","0","3","4","8","47","1","0","1","12.2","12.2","0.0%"
"20","Joe Flacco (NYJ)","23","37","62.2","206","5.6","0","0","2","0","0","0","0","1","8.2","8.2","1.0%"
"21","Mitch Trubisky (PIT)","12","20","60.0","135","6.8","1","1","1","1","6","0","0","1","8.0","8.0","5.0%"
"22","Derek Carr (LV)","16","21","76.2","171","8.1","0","0","7","3","5","0","0","1","7.3","7.3","89.0%"
"23","Kirk Cousins (MIN)","18","22","81.8","164","7.5","1","1","1","2","3","0","1","1","6.9","6.9","85.0%"
"24","Matthew Stafford (LAR)","25","36","69.4","199","5.5","0","0","10","5","6","0","1","1","6.6","6.6","94.0%"
"25","Brock Osweiler (FA)","15","24","62.5","139","5.8","0","0","4","3","4","0","0","1","6.0","6.0","0.0%"
"26","Lamar Jackson (BAL)","1","1","100.0","12","12.0","0","0","0","5","10","0","0","1","1.5","1.5","100.0%"
"27","Sam Darnold (CAR)","21","39","53.8","229","5.9","0","4","4","0","0","0","0","1","1.2","1.2","2.0%"
"28","Taysom Hill (NO)","0","0","0","0","0","0","0","0","2","10","0","0","1","1.0","1.0","9.0%"
"29","Joshua Dobbs (CLE)","1","1","100.0","22","22.0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"30","Tyrod Taylor (NYG)","1","1","100.0","11","11.0","0","0","0","0","0","0","0","1","0.4","0.4","1.0%"
"31","AJ McCarron (FA)","1","3","33.3","8","2.7","0","0","1","1","0","0","0","1","0.3","0.3","0.0%"
"32","Joe Webb III (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"33","Chase Daniel (LAC)","0","0","0","0","0","0","0","0","3","-3","0","0","1","-0.3","-0.3","0.0%"
""
""
