"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","7","9","61","8.7","13","0","0","0","0","0","0","1","13.1","13.1","100.0%"
"2","Rob Gronkowski (FA)","2","3","51","25.5","44","3","1","0","0","0","0","1","13.1","13.1","8.0%"
"3","Hunter Henry (NE)","4","6","30","7.5","17","0","1","0","0","0","0","1","13.0","13.0","70.0%"
"4","Cameron Brate (TB)","3","3","31","10.3","19","0","1","0","0","0","0","1","12.1","12.1","7.0%"
"5","Jordan Reed (FA)","5","6","62","12.4","26","1","0","0","0","0","0","1","11.2","11.2","19.0%"
"6","Logan Thomas (WAS)","4","5","66","16.5","27","1","0","0","0","0","0","1","10.6","10.6","10.0%"
"7","Pharaoh Brown (HOU)","2","2","21","10.5","16","0","1","0","0","0","0","1","10.1","10.1","0.0%"
"8","Richard Rodgers (PHI)","4","5","60","15.0","22","1","0","0","0","0","0","1","10.0","10.0","0.0%"
"9","Jonnu Smith (NE)","2","6","14","7.0","8","0","0","1","1","1","0","1","9.5","9.5","2.0%"
"10","Tyler Higbee (LAR)","3","6","60","20.0","39","2","0","0","0","0","0","1","9.0","9.0","53.0%"
"11","Durham Smythe (MIA)","2","2","9","4.5","7","0","1","0","0","0","0","1","8.9","8.9","0.0%"
"12","Kyle Rudolph (TB)","4","5","63","15.8","22","2","0","0","0","0","1","1","8.3","8.3","2.0%"
"13","Colin Thompson (CAR)","1","1","7","7.0","7","0","1","0","0","0","0","1","7.7","7.7","0.0%"
"14","Dan Arnold (JAC)","4","4","34","8.5","11","0","0","0","0","0","0","1","7.4","7.4","1.0%"
"15","Dallas Goedert (PHI)","4","6","33","8.3","12","0","0","0","0","0","0","1","7.3","7.3","97.0%"
"16","Darren Waller (LV)","3","5","37","12.3","24","1","0","0","0","0","0","1","6.7","6.7","99.0%"
"17","Robert Tonyan (GB)","3","4","33","11.0","23","1","0","0","0","0","0","1","6.3","6.3","27.0%"
"18","Mike Gesicki (MIA)","2","5","40","20.0","23","1","0","0","0","0","0","1","6.0","6.0","73.0%"
"19","Eric Ebron (FA)","2","6","38","19.0","24","1","0","0","0","0","0","1","5.8","5.8","0.0%"
"20","Trey Burton (FA)","3","3","24","8.0","14","0","0","0","0","0","0","1","5.4","5.4","0.0%"
"21","Greg Olsen (FA)","2","4","33","16.5","22","1","0","0","0","0","0","1","5.3","5.3","7.0%"
"22","Mo Alie-Cox (IND)","3","4","19","6.3","11","0","0","0","0","0","0","1","4.9","4.9","6.0%"
"23","Noah Fant (SEA)","3","7","18","6.0","9","0","0","0","0","0","0","1","4.8","4.8","28.0%"
"24","Gerald Everett (LAC)","2","3","27","13.5","16","0","0","0","0","0","0","1","4.7","4.7","24.0%"
"25","Dawson Knox (BUF)","2","4","16","8.0","10","0","0","0","0","0","0","1","3.6","3.6","95.0%"
"26","Evan Engram (JAC)","2","3","15","7.5","11","0","0","0","0","0","0","1","3.5","3.5","20.0%"
"27","Tyler Eifert (FA)","2","4","15","7.5","8","0","0","0","0","0","0","1","3.5","3.5","0.0%"
"28","T.J. Hockenson (DET)","2","4","13","6.5","8","0","0","0","0","0","0","1","3.3","3.3","97.0%"
"29","Troy Fumagalli (SF)","2","3","12","6.0","8","0","0","0","0","0","0","1","3.2","3.2","0.0%"
"30","Kaden Smith (FA)","2","2","12","6.0","11","0","0","0","0","0","0","1","3.2","3.2","0.0%"
"31","Ross Dwelley (SF)","1","2","22","22.0","22","1","0","0","0","0","0","1","3.2","3.2","0.0%"
"32","Tyler Conklin (NYJ)","2","2","11","5.5","9","0","0","0","0","0","0","1","3.1","3.1","2.0%"
"33","Ryan Izzo (FA)","1","1","20","20.0","20","1","0","0","0","0","0","1","3.0","3.0","0.0%"
"34","Jesse James (FA)","2","3","9","4.5","5","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"35","Adam Shaheen (MIA)","1","1","19","19.0","19","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"36","Will Dissly (SEA)","1","2","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"37","Darren Fells (FA)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.0%"
