"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Evan Engram (JAC)","8","12","75","9.4","22","1","0","0","0","0","0","1","15.5","15.5","20.0%"
"2","Garrett Celek (FA)","2","2","61","30.5","41","4","1","0","0","0","0","1","14.1","14.1","0.0%"
"3","Trey Burton (FA)","4","7","36","9.0","13","0","1","0","0","0","0","1","13.6","13.6","0.0%"
"4","Travis Kelce (KC)","7","9","61","8.7","16","0","0","0","0","0","0","1","13.1","13.1","100.0%"
"5","Chris Manhertz (JAC)","1","2","50","50.0","50","4","1","0","0","0","0","1","12.0","12.0","0.0%"
"6","Jeremy Sprinkle (FA)","3","3","19","6.3","9","0","1","0","0","0","0","1","10.9","10.9","0.0%"
"7","Gerald Everett (LAC)","5","7","46","9.2","20","1","0","0","0","0","0","1","9.6","9.6","24.0%"
"8","Antonio Gates (FA)","4","5","54","13.5","22","1","0","0","0","0","0","1","9.4","9.4","0.0%"
"9","Vance McDonald (FA)","2","3","13","6.5","8","0","1","0","0","0","0","1","9.3","9.3","0.0%"
"10","Blake Jarwin (FA)","4","7","45","11.3","18","0","0","0","0","0","0","1","8.5","8.5","4.0%"
"11","Chris Herndon IV (FA)","3","4","53","17.7","25","1","0","0","0","0","0","1","8.3","8.3","0.0%"
"12","Matt LaCosse (FA)","4","6","43","10.8","14","0","0","0","0","0","0","1","8.3","8.3","0.0%"
"13","George Kittle (SF)","3","8","51","17.0","21","2","0","0","0","0","0","1","8.1","8.1","100.0%"
"14","Darren Waller (LV)","1","1","44","44.0","44","3","0","1","21","0","0","1","7.5","7.5","99.0%"
"15","Tyler Conklin (NYJ)","2","3","53","26.5","33","3","0","0","0","0","0","1","7.3","7.3","2.0%"
"16","Lee Smith (FA)","1","1","1","1.0","1","0","1","0","0","0","0","1","7.1","7.1","0.0%"
"17","Levine Toilolo (FA)","4","4","28","7.0","18","0","0","0","0","0","0","1","6.8","6.8","0.0%"
"18","Lance Kendricks (FA)","4","4","27","6.8","16","0","0","0","0","0","0","1","6.7","6.7","0.0%"
"19","Jimmy Graham (FA)","3","4","32","10.7","13","0","0","0","0","0","0","1","6.2","6.2","0.0%"
"20","David Njoku (CLE)","3","5","30","10.0","20","1","0","0","0","0","0","1","6.0","6.0","62.0%"
"21","Adam Shaheen (MIA)","2","2","39","19.5","23","1","0","0","0","0","0","1","5.9","5.9","0.0%"
"22","Kyle Rudolph (TB)","3","3","23","7.7","12","0","0","0","0","0","0","1","5.3","5.3","2.0%"
"23","Dalton Schultz (DAL)","3","4","23","7.7","8","0","0","0","0","0","0","1","5.3","5.3","99.0%"
"24","Ricky Seals-Jones (NYG)","3","8","22","7.3","9","0","0","0","0","0","0","1","5.2","5.2","1.0%"
"25","Zach Ertz (ARI)","3","7","22","7.3","11","0","0","0","0","0","0","1","5.2","5.2","94.0%"
"26","Mark Andrews (BAL)","2","4","31","15.5","17","0","0","0","0","0","0","1","5.1","5.1","100.0%"
"27","Hayden Hurst (CIN)","3","3","20","6.7","8","0","0","0","0","0","0","1","5.0","5.0","12.0%"
"28","Luke Stocker (FA)","2","2","27","13.5","15","0","0","0","0","0","0","1","4.7","4.7","0.0%"
"29","Josh Hill (FA)","2","3","24","12.0","14","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"30","Jared Cook (FA)","2","5","23","11.5","13","0","0","0","0","0","0","1","4.3","4.3","1.0%"
"31","Mike Gesicki (MIA)","2","3","23","11.5","14","0","0","0","0","0","0","1","4.3","4.3","73.0%"
"32","Rob Gronkowski (FA)","2","5","21","10.5","13","0","0","0","0","0","0","1","4.1","4.1","8.0%"
"33","Benjamin Watson (FA)","1","2","28","28.0","28","1","0","0","0","0","0","1","3.8","3.8","2.0%"
"34","Brian Parker (FA)","2","2","18","9.0","11","0","0","0","0","0","0","1","3.8","3.8","0.0%"
"35","C.J. Uzomah (NYJ)","1","5","27","27.0","27","1","0","0","0","0","0","1","3.7","3.7","3.0%"
"36","Vernon Davis (FA)","2","3","16","8.0","9","0","0","0","0","0","0","1","3.6","3.6","1.0%"
"37","Jason Croom (FA)","1","1","25","25.0","25","1","0","0","0","0","0","1","3.5","3.5","0.0%"
"38","Ian Thomas (CAR)","2","4","14","7.0","8","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"39","Tyler Higbee (LAR)","2","2","14","7.0","11","0","0","0","0","0","0","1","3.4","3.4","53.0%"
"40","Ed Dickson (FA)","2","2","14","7.0","8","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"41","Dallas Goedert (PHI)","2","2","12","6.0","10","0","0","0","0","0","0","1","3.2","3.2","97.0%"
"42","Virgil Green (FA)","2","3","9","4.5","6","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"43","Jermaine Gresham (FA)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"44","Eric Tomlinson (DEN)","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"45","Jesse James (FA)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"46","Cameron Brate (TB)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","7.0%"
"47","Eric Ebron (FA)","1","3","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"48","Jordan Leggett (FA)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"49","James O'Shaughnessy (CHI)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"50","Blake Bell (KC)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"51","Maxx Williams (ARI)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"52","MyCole Pruitt (ATL)","1","2","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"53","Jordan Thomas (FA)","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"54","Ryan Griffin (CHI)","1","1","-1","-1.0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"55","Matt Flanagan (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"56","Durham Smythe (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"57","James Looney (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"58","Ross Dwelley (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Taysom Hill (NO)","0","1","0","0","0","0","0","1","17","0","0","1","0.0","0.0","9.0%"
"60","Jordan Akins (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"61","Dwayne Allen (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Rhett Ellison (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"63","Logan Paulsen (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"64","Charles Clay (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"65","Demetrius Harris (FA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"66","Kelvin Benjamin (FA)","1","2","17","17.0","17","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"67","Jordan Matthews (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"68","Xavier Grimble (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"69","Richard Rodgers (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"70","Derek Carrier (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"71","Luke Willson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"72","Clark Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"73","John Phillips (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"74","Marcedes Lewis (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"75","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Alan Cross (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"77","Temarrick Hemingway (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
