"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Keelan Cole Sr. (LV)","7","9","186","26.6","73","3","1","0","0","0","0","1","31.6","31.6","0.0%"
"2","Sterling Shepard (NYG)","11","16","139","12.6","67","1","1","0","0","0","0","1","30.9","30.9","3.0%"
"3","Michael Thomas (NO)","9","11","93","10.3","20","1","1","0","0","0","0","1","24.3","24.3","93.0%"
"4","Michael Crabtree (FA)","7","17","39","5.6","14","0","2","0","0","0","0","1","22.9","22.9","0.0%"
"5","Marquise Goodwin (SEA)","10","13","114","11.4","18","0","0","1","10","0","0","1","22.4","22.4","0.0%"
"6","Jaydon Mickens (FA)","4","5","61","15.3","41","1","2","0","0","0","0","1","22.1","22.1","0.0%"
"7","Rishard Matthews (FA)","6","8","95","15.8","25","3","1","0","0","0","0","1","21.5","21.5","0.0%"
"8","Randall Cobb (GB)","7","14","84","12.0","33","2","1","0","0","0","0","1","21.4","21.4","4.0%"
"9","Tavarres King (FA)","2","3","70","35.0","57","1","2","0","0","0","0","1","21.0","21.0","0.0%"
"10","Jarvis Landry (NO)","10","13","99","9.9","17","0","0","0","0","0","0","1","19.9","19.9","35.0%"
"11","Tyreek Hill (MIA)","5","6","88","17.6","64","1","1","0","0","0","0","1","19.8","19.8","100.0%"
"12","Nelson Agholor (NE)","7","9","59","8.4","16","0","1","0","0","0","0","1","18.9","18.9","1.0%"
"13","Mike Evans (TB)","5","8","79","15.8","42","1","1","0","0","0","0","1","18.9","18.9","100.0%"
"14","DeAndre Hopkins (ARI)","4","13","80","20.0","40","2","1","0","0","0","0","1","18.0","18.0","83.0%"
"15","Damiere Byrd (ATL)","3","4","25","8.3","13","0","2","0","0","0","0","1","17.5","17.5","0.0%"
"16","JuJu Smith-Schuster (KC)","6","6","114","19.0","69","1","0","0","0","0","0","1","17.4","17.4","95.0%"
"17","Cody Latimer (FA)","3","4","60","20.0","22","2","1","0","0","0","0","1","17.0","17.0","0.0%"
"18","Davante Adams (LV)","5","7","57","11.4","13","0","1","0","0","0","0","1","16.7","16.7","100.0%"
"19","Robert Woods (TEN)","6","7","45","7.5","14","0","1","0","0","0","0","1","16.5","16.5","73.0%"
"20","Jamison Crowder (BUF)","5","7","55","11.0","24","1","1","0","0","0","0","1","16.5","16.5","5.0%"
"21","Brandin Cooks (HOU)","4","7","60","15.0","43","1","1","0","0","0","0","1","16.0","16.0","95.0%"
"22","Martavis Bryant (FA)","4","6","59","14.8","39","1","1","0","0","0","0","1","15.9","15.9","0.0%"
"23","Adam Humphries (FA)","5","5","43","8.6","16","0","1","1","6","0","0","1","15.9","15.9","1.0%"
"24","Kendall Wright (FA)","7","13","81","11.6","19","0","0","0","0","0","0","1","15.1","15.1","0.0%"
"25","DeVante Parker (NE)","6","12","89","14.8","36","1","0","0","0","0","0","1","14.9","14.9","40.0%"
"26","Mike Wallace (FA)","6","10","89","14.8","30","2","0","0","0","0","0","1","14.9","14.9","0.0%"
"27","Alshon Jeffery (FA)","4","10","49","12.3","19","0","1","0","0","0","0","1","14.9","14.9","0.0%"
"28","Stefon Diggs (BUF)","5","6","30","6.0","20","1","1","1","7","0","0","1","14.7","14.7","100.0%"
"29","Emmanuel Sanders (FA)","7","9","68","9.7","26","1","0","0","0","0","0","1","13.8","13.8","1.0%"
"30","Kendrick Bourne (NE)","4","6","85","21.3","54","1","0","0","0","0","0","1","12.5","12.5","6.0%"
"31","Josh Bellamy (FA)","5","7","70","14.0","19","0","0","0","0","0","0","1","12.0","12.0","0.0%"
"32","Demaryius Thomas (FA)","5","8","69","13.8","23","2","0","0","0","0","0","1","11.9","11.9","0.0%"
"33","TJ Jones (FA)","3","3","26","8.7","12","0","1","0","0","0","0","1","11.6","11.6","0.0%"
"34","Marvin Jones Jr. (JAC)","3","5","85","28.3","58","1","0","0","0","0","0","1","11.5","11.5","8.0%"
"35","Roger Lewis (FA)","4","10","74","18.5","25","2","0","0","0","0","0","1","11.4","11.4","0.0%"
"36","Justin Hardy (FA)","2","4","33","16.5","27","1","1","0","0","0","0","1","11.3","11.3","0.0%"
"37","Eric Decker (FA)","5","5","63","12.6","17","0","0","0","0","0","0","1","11.3","11.3","0.0%"
"38","Larry Fitzgerald (FA)","5","10","60","12.0","25","1","0","0","0","0","0","1","11.0","11.0","0.0%"
"39","Keenan Allen (LAC)","5","8","54","10.8","15","0","0","0","0","0","0","1","10.4","10.4","100.0%"
"40","Josh Gordon (KC)","5","10","47","9.4","18","0","0","0","0","0","0","1","9.7","9.7","0.0%"
"41","William Fuller V (FA)","5","5","44","8.8","15","0","0","0","0","0","0","1","9.4","9.4","2.0%"
"42","T.Y. Hilton (FA)","5","7","41","8.2","13","0","0","0","0","0","0","1","9.1","9.1","0.0%"
"43","Robbie Anderson (CAR)","5","12","40","8.0","15","0","0","0","0","0","0","1","9.0","9.0","11.0%"
"44","Eli Rogers (FA)","1","2","18","18.0","18","0","1","0","0","0","0","1","8.8","8.8","0.0%"
"45","Julio Jones (TB)","3","8","54","18.0","29","1","0","0","0","0","0","1","8.4","8.4","46.0%"
"46","Seth Roberts (FA)","3","5","52","17.3","28","1","0","0","0","0","0","1","8.2","8.2","0.0%"
"47","Trent Taylor (CIN)","4","5","40","10.0","17","0","0","0","0","0","0","1","8.0","8.0","0.0%"
"48","Dez Bryant (FA)","2","4","59","29.5","40","1","0","1","-4","0","0","1","7.5","7.5","5.0%"
"49","Brandon LaFell (FA)","2","6","53","26.5","45","1","0","0","0","0","0","1","7.3","7.3","0.0%"
"50","Kenny Golladay (NYG)","4","5","29","7.3","14","0","0","0","0","0","0","1","6.9","6.9","34.0%"
"51","J.J. Nelson (FA)","1","3","46","46.0","46","1","0","1","7","0","0","1","6.3","6.3","0.0%"
"52","Geronimo Allison (FA)","5","8","33","6.6","10","0","0","0","0","0","1","1","6.3","6.3","0.0%"
"53","Golden Tate (FA)","3","5","33","11.0","19","0","0","0","0","0","0","1","6.3","6.3","0.0%"
"54","Markus Wheaton (FA)","2","4","42","21.0","22","2","0","0","0","0","0","1","6.2","6.2","0.0%"
"55","Tyrell Williams (FA)","3","7","31","10.3","18","0","0","0","0","0","0","1","6.1","6.1","0.0%"
"56","Adam Thielen (MIN)","3","5","30","10.0","21","1","0","0","0","0","0","1","6.0","6.0","92.0%"
"57","Jermaine Kearse (FA)","3","5","28","9.3","12","0","0","0","0","0","0","1","5.8","5.8","0.0%"
"58","Jordy Nelson (FA)","3","6","28","9.3","17","0","0","0","0","0","0","1","5.8","5.8","0.0%"
"59","Corey Davis (NYJ)","3","5","28","9.3","13","0","0","0","0","0","0","1","5.8","5.8","11.0%"
"60","Chad Hansen (FA)","3","4","21","7.0","24","1","0","0","0","0","0","1","5.1","5.1","0.0%"
"61","A.J. Green (ARI)","2","4","30","15.0","16","0","0","0","0","0","0","1","5.0","5.0","7.0%"
"62","Terrance Williams (FA)","3","5","19","6.3","8","0","0","0","0","0","0","1","4.9","4.9","0.0%"
"63","Mohamed Sanu Sr. (MIA)","2","5","23","11.5","21","1","0","1","3","0","0","1","4.6","4.6","0.0%"
"64","Tavon Austin (FA)","0","0","0","0","0","0","0","10","44","0","0","1","4.4","4.4","0.0%"
"65","JoJo Natson (FA)","1","2","19","19.0","19","0","0","1","15","0","0","1","4.4","4.4","0.0%"
"66","Antonio Brown (FA)","2","3","24","12.0","19","0","0","0","0","0","0","1","4.4","4.4","1.0%"
"67","Danny Amendola (FA)","2","4","23","11.5","12","0","0","0","0","0","0","1","4.3","4.3","0.0%"
"68","Dede Westbrook (FA)","2","2","21","10.5","14","0","0","0","0","0","0","1","4.1","4.1","0.0%"
"69","Cooper Kupp (LAR)","2","3","21","10.5","15","0","0","0","0","0","0","1","4.1","4.1","100.0%"
"70","Kelvin Benjamin (FA)","2","2","20","10.0","13","0","0","0","0","0","0","1","4.0","4.0","0.0%"
"71","Ryan Grant (FA)","2","3","20","10.0","15","0","0","0","0","0","0","1","4.0","4.0","0.0%"
