"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Amari Cooper (CLE)","8","9","180","22.5","90","7","2","0","0","0","0","1","38.0","38.0","92.0%"
"2","JuJu Smith-Schuster (KC)","13","17","189","14.5","97","4","1","0","0","0","0","1","37.9","37.9","95.0%"
"3","Adam Thielen (MIN)","8","9","125","15.6","33","4","1","0","0","0","0","1","26.5","26.5","92.0%"
"4","Julio Jones (TB)","11","14","147","13.4","21","2","0","1","1","0","1","1","23.8","23.8","46.0%"
"5","Corey Davis (NYJ)","4","4","96","24.0","48","4","1","1","39","0","0","1","23.5","23.5","11.0%"
"6","Stefon Diggs (BUF)","8","11","77","9.6","30","3","1","1","12","0","0","1","22.9","22.9","100.0%"
"7","Emmanuel Sanders (FA)","7","12","86","12.3","38","2","1","0","0","0","0","1","21.6","21.6","1.0%"
"8","Tyler Boyd (CIN)","7","8","85","12.1","28","2","1","0","0","0","0","1","21.5","21.5","55.0%"
"9","Tyler Lockett (SEA)","5","5","107","21.4","43","4","1","1","-2","0","0","1","21.5","21.5","86.0%"
"10","Calvin Ridley (ATL)","8","13","93","11.6","50","5","1","0","0","0","1","1","21.3","21.3","2.0%"
"11","David Moore (CHI)","4","5","103","25.8","54","6","1","0","0","0","0","1","20.3","20.3","0.0%"
"12","Keenan Allen (LAC)","7","7","72","10.3","20","1","1","0","0","0","0","1","20.2","20.2","100.0%"
"13","Demaryius Thomas (FA)","4","5","38","9.5","12","0","2","0","0","0","0","1","19.8","19.8","0.0%"
"14","T.Y. Hilton (FA)","7","10","125","17.9","36","5","0","0","0","0","0","1","19.5","19.5","0.0%"
"15","Jermaine Kearse (FA)","6","12","66","11.0","17","0","1","0","0","0","0","1","18.6","18.6","0.0%"
"16","Mike Williams (LAC)","4","4","25","6.3","10","0","2","0","0","0","0","1","18.5","18.5","98.0%"
"17","Julian Edelman (FA)","4","5","84","21.0","36","3","1","0","0","0","0","1","18.4","18.4","24.0%"
"18","Davante Adams (LV)","5","8","69","13.8","36","2","1","0","0","0","0","1","17.9","17.9","100.0%"
"19","DJ Moore (CAR)","8","9","91","11.4","28","1","0","1","7","0","0","1","17.8","17.8","99.0%"
"20","Dante Pettis (CHI)","4","7","77","19.3","25","2","1","0","0","0","0","1","17.7","17.7","0.0%"
"21","Dede Westbrook (FA)","3","4","44","14.7","25","1","1","1","43","0","0","1","17.7","17.7","0.0%"
"22","Mike Evans (TB)","6","8","116","19.3","42","5","0","0","0","0","0","1","17.6","17.6","100.0%"
"23","Robert Foster (FA)","2","3","94","47.0","75","4","1","0","0","0","0","1","17.4","17.4","0.0%"
"24","Adam Humphries (FA)","6","6","54","9.0","28","1","1","0","0","0","0","1","17.4","17.4","1.0%"
"25","Antonio Callaway (FA)","4","5","62","15.5","21","1","1","0","0","0","0","1","16.2","16.2","0.0%"
"26","Antonio Brown (FA)","9","13","67","7.4","14","0","0","0","0","0","0","1","15.7","15.7","1.0%"
"27","Leonte Carroo (FA)","1","2","74","74.0","74","4","1","0","0","0","0","1","14.4","14.4","0.0%"
"28","Kenny Golladay (NYG)","5","8","90","18.0","43","4","0","0","0","0","0","1","14.0","14.0","34.0%"
"29","Trey Quinn (FA)","5","6","26","5.2","10","0","1","0","0","0","0","1","13.6","13.6","0.0%"
"30","Odell Beckham Jr. (FA)","5","9","85","17.0","39","2","0","0","0","0","0","1","13.5","13.5","14.0%"
"31","Ryan Switzer (FA)","6","8","67","11.2","24","1","0","1","4","0","0","1","13.1","13.1","0.0%"
"32","Josh Doctson (FA)","6","10","66","11.0","17","0","0","0","0","0","0","1","12.6","12.6","0.0%"
"33","DeAndre Hopkins (ARI)","5","6","74","14.8","28","2","0","0","0","0","0","1","12.4","12.4","83.0%"
"34","Curtis Samuel (WAS)","2","2","17","8.5","10","0","1","1","25","0","0","1","12.2","12.2","4.0%"
"35","John Ross (FA)","3","7","31","10.3","17","0","1","0","0","0","0","1","12.1","12.1","0.0%"
"36","Josh Gordon (KC)","5","5","70","14.0","23","1","0","0","0","0","0","1","12.0","12.0","0.0%"
"37","Taylor Gabriel (FA)","7","8","49","7.0","11","0","0","0","0","0","0","1","11.9","11.9","0.0%"
"38","Mohamed Sanu Sr. (MIA)","4","4","74","18.5","37","2","0","1","3","0","0","1","11.7","11.7","0.0%"
"39","Quincy Enunwa (FA)","4","4","73","18.3","41","3","0","0","0","0","0","1","11.3","11.3","0.0%"
"40","Michael Crabtree (FA)","3","6","21","7.0","10","0","1","0","0","0","0","1","11.1","11.1","0.0%"
"41","Larry Fitzgerald (FA)","2","2","30","15.0","25","1","1","0","0","0","0","1","11.0","11.0","0.0%"
"42","Isaiah McKenzie (BUF)","2","3","11","5.5","6","0","0","2","8","1","0","1","9.9","9.9","34.0%"
"43","Tommylee Lewis (FA)","1","1","28","28.0","28","1","1","0","0","0","0","1","9.8","9.8","0.0%"
"44","Bruce Ellington (FA)","6","7","28","4.7","11","0","0","1","2","0","0","1","9.0","9.0","0.0%"
"45","Doug Baldwin (FA)","5","7","39","7.8","16","0","0","0","0","0","0","1","8.9","8.9","0.0%"
"46","Equanimeous St. Brown (CHI)","3","5","53","17.7","23","1","0","1","5","0","0","1","8.8","8.8","0.0%"
"47","Seth Roberts (FA)","2","3","54","27.0","44","3","0","1","11","0","0","1","8.5","8.5","0.0%"
"48","Chris Godwin (TB)","4","4","42","10.5","15","0","0","0","0","0","0","1","8.2","8.2","88.0%"
"49","Austin Carr (FA)","1","1","12","12.0","12","0","1","0","0","0","0","1","8.2","8.2","0.0%"
"50","Christian Kirk (JAC)","4","6","41","10.3","17","0","0","0","0","0","0","1","8.1","8.1","83.0%"
"51","Chester Rogers (HOU)","3","4","49","16.3","34","2","0","0","0","0","0","1","7.9","7.9","0.0%"
"52","Michael Thomas (NO)","4","6","38","9.5","13","0","0","0","0","0","0","1","7.8","7.8","93.0%"
"53","Travis Benjamin (FA)","3","3","47","15.7","27","1","0","0","0","0","0","1","7.7","7.7","0.0%"
