"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tyreek Hill (MIA)","7","12","142","20.3","75","5","3","1","0","0","0","1","39.2","39.2","100.0%"
"2","Davante Adams (LV)","10","16","132","13.2","38","2","2","0","0","0","0","1","35.2","35.2","100.0%"
"3","Albert Wilson (FA)","6","9","155","25.8","75","8","2","1","-5","0","0","1","33.0","33.0","0.0%"
"4","Cole Beasley (FA)","9","11","101","11.2","21","1","2","0","0","0","0","1","31.1","31.1","1.0%"
"5","Adam Thielen (MIN)","11","13","123","11.2","17","0","1","0","0","0","0","1","29.3","29.3","92.0%"
"6","Marquise Goodwin (SEA)","4","5","126","31.5","67","6","2","1","5","0","0","1","29.1","29.1","0.0%"
"7","Alshon Jeffery (FA)","8","12","74","9.3","17","0","2","0","0","0","0","1","27.4","27.4","0.0%"
"8","Tyrell Williams (FA)","3","4","118","39.3","45","7","2","1","1","0","0","1","26.9","26.9","0.0%"
"9","Tyler Boyd (CIN)","7","9","62","8.9","16","0","2","0","0","0","0","1","25.2","25.2","55.0%"
"10","Emmanuel Sanders (FA)","7","10","115","16.4","43","5","1","0","0","0","0","1","24.5","24.5","1.0%"
"11","Julio Jones (TB)","10","14","144","14.4","32","3","0","0","0","0","0","1","24.4","24.4","46.0%"
"12","Antonio Brown (FA)","5","6","105","21.0","48","5","1","0","0","0","0","1","21.5","21.5","1.0%"
"13","Michael Crabtree (FA)","6","9","93","15.5","27","3","1","0","0","0","0","1","21.3","21.3","0.0%"
"14","JuJu Smith-Schuster (KC)","7","10","111","15.9","29","3","0","0","0","0","0","1","20.1","20.1","95.0%"
"15","Robert Woods (TEN)","7","10","109","15.6","28","1","0","1","12","0","0","1","19.1","19.1","73.0%"
"16","Devin Funchess (DET)","5","8","74","14.8","23","2","1","0","0","0","0","1","18.4","18.4","0.0%"
"17","Jermaine Kearse (FA)","9","10","94","10.4","22","2","0","0","0","0","0","1","18.4","18.4","0.0%"
"18","Chris Godwin (TB)","6","9","56","9.3","14","0","1","0","0","0","0","1","17.6","17.6","88.0%"
"19","Allen Robinson II (LAR)","5","6","64","12.8","21","1","1","0","0","0","0","1","17.4","17.4","96.0%"
"20","Torrey Smith (FA)","5","5","43","8.6","12","0","1","0","0","0","0","1","17.3","17.3","0.0%"
"21","DeAndre Hopkins (ARI)","5","6","63","12.6","24","1","1","0","0","0","0","1","17.3","17.3","83.0%"
"22","Taylor Gabriel (FA)","5","5","110","22.0","54","7","0","1","9","0","0","1","16.9","16.9","0.0%"
"23","Terrelle Pryor Sr. (FA)","5","6","57","11.4","22","1","1","0","0","0","0","1","16.7","16.7","0.0%"
"24","Julian Edelman (FA)","4","7","54","13.5","21","1","1","1","7","0","0","1","16.1","16.1","24.0%"
"25","A.J. Green (ARI)","7","12","85","12.1","23","1","0","0","0","0","0","1","15.5","15.5","7.0%"
"26","Chester Rogers (HOU)","4","10","55","13.8","21","1","1","0","0","0","0","1","15.5","15.5","0.0%"
"27","Doug Baldwin (FA)","6","8","91","15.2","42","4","0","0","0","0","0","1","15.1","15.1","0.0%"
"28","Demaryius Thomas (FA)","3","4","57","19.0","45","3","1","0","0","0","0","1","14.7","14.7","0.0%"
"29","Keenan Allen (LAC)","4","6","62","15.5","20","1","0","4","41","0","0","1","14.3","14.3","100.0%"
