"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Odell Beckham Jr. (FA)","8","11","143","17.9","51","5","1","1","-1","0","0","1","28.2","28.2","14.0%"
"2","Emmanuel Sanders (FA)","6","7","102","17.0","64","4","1","0","0","0","0","1","27.3","27.3","1.0%"
"3","John Brown (FA)","7","7","134","19.1","56","4","1","0","0","0","0","1","26.4","26.4","2.0%"
"4","Adam Thielen (MIN)","9","10","110","12.2","34","3","1","0","0","0","0","1","26.0","26.0","92.0%"
"5","Jarvis Landry (NO)","10","15","97","9.7","20","1","1","0","0","0","0","1","25.7","25.7","35.0%"
"6","Alshon Jeffery (FA)","7","10","88","12.6","29","2","1","0","0","0","0","1","21.8","21.8","0.0%"
"7","Tyrell Williams (FA)","4","4","118","29.5","75","5","1","0","0","0","0","1","21.8","21.8","0.0%"
"8","Sterling Shepard (NYG)","5","8","167","33.4","58","10","0","0","0","0","0","1","21.7","21.7","3.0%"
"9","Tyreek Hill (MIA)","7","10","68","9.7","27","1","1","2","8","0","0","1","20.6","20.6","100.0%"
"10","Danny Amendola (FA)","6","7","84","14.0","24","1","1","0","0","0","0","1","20.4","20.4","0.0%"
"11","Michael Thomas (NO)","7","9","69","9.9","32","2","1","0","0","0","0","1","19.9","19.9","93.0%"
"12","A.J. Green (ARI)","7","14","117","16.7","31","5","0","0","0","0","0","1","18.7","18.7","7.0%"
"13","T.Y. Hilton (FA)","4","4","25","6.3","11","0","2","0","0","0","0","1","18.5","18.5","0.0%"
"14","Devin Funchess (DET)","6","11","62","10.3","18","0","1","0","0","0","0","1","18.2","18.2","0.0%"
"15","Mike Evans (TB)","7","11","107","15.3","29","2","0","0","0","0","0","1","17.7","17.7","100.0%"
"16","Julio Jones (TB)","9","12","104","11.6","19","0","0","0","0","0","1","1","17.4","17.4","46.0%"
"17","Brandin Cooks (HOU)","4","5","64","16.0","23","2","1","1","7","0","0","1","17.1","17.1","95.0%"
"18","Michael Gallup (DAL)","3","5","81","27.0","49","4","1","0","0","0","0","1","17.1","17.1","41.0%"
"19","Tajae Sharpe (CHI)","7","9","101","14.4","19","0","0","0","0","0","0","1","17.1","17.1","0.0%"
"20","Marvin Hall (FA)","3","3","63","21.0","47","3","1","0","0","0","0","1","15.3","15.3","0.0%"
"21","Julian Edelman (FA)","5","8","36","7.2","11","0","1","0","0","0","0","1","14.6","14.6","24.0%"
"22","Donte Moncrief (FA)","7","10","76","10.9","24","1","0","0","0","0","0","1","14.6","14.6","0.0%"
"23","DeAndre Hopkins (ARI)","3","8","50","16.7","31","2","1","0","0","0","0","1","14.0","14.0","83.0%"
"24","Larry Fitzgerald (FA)","4","8","40","10.0","18","0","1","0","0","0","0","1","14.0","14.0","0.0%"
"25","Josh Gordon (KC)","4","7","100","25.0","55","5","0","0","0","0","0","1","14.0","14.0","0.0%"
"26","Robert Woods (TEN)","5","7","78","15.6","32","3","0","1","6","0","0","1","13.4","13.4","73.0%"
"27","Mike Williams (LAC)","1","3","55","55.0","55","4","1","1","3","0","0","1","12.8","12.8","98.0%"
"28","William Fuller V (FA)","6","8","68","11.3","18","0","0","0","0","0","0","1","12.8","12.8","2.0%"
"29","Cole Beasley (FA)","7","8","56","8.0","18","0","0","0","0","0","0","1","12.6","12.6","1.0%"
"30","Allen Hurns (FA)","5","6","74","14.8","33","3","0","0","0","0","0","1","12.4","12.4","0.0%"
"31","Chris Hogan (FA)","6","7","63","10.5","20","1","0","0","0","0","0","1","12.3","12.3","0.0%"
"32","Keenan Allen (LAC)","5","5","72","14.4","24","1","0","0","0","0","0","1","12.2","12.2","100.0%"
"33","Michael Crabtree (FA)","5","9","66","13.2","18","0","0","0","0","0","0","1","11.6","11.6","0.0%"
"34","Sammy Watkins (GB)","4","7","74","18.5","50","4","0","0","0","0","0","1","11.4","11.4","18.0%"
"35","DeSean Jackson (FA)","2","4","25","12.5","14","0","0","2","8","1","0","1","11.3","11.3","5.0%"
"36","Kelvin Benjamin (FA)","4","5","71","17.8","32","2","0","0","0","0","0","1","11.1","11.1","0.0%"
"37","Jarius Wright (FA)","2","2","37","18.5","28","1","0","1","34","0","0","1","11.1","11.1","0.0%"
"38","Chris Godwin (TB)","5","6","59","11.8","23","1","0","0","0","0","0","1","10.9","10.9","88.0%"
"39","Stefon Diggs (BUF)","8","15","33","4.1","10","0","0","2","-7","0","0","1","10.6","10.6","100.0%"
"40","Golden Tate (FA)","4","6","36","9.0","22","1","0","1","30","0","0","1","10.6","10.6","0.0%"
"41","Aldrick Robinson (FA)","1","3","34","34.0","34","2","1","0","0","0","0","1","10.4","10.4","0.0%"
"42","Torrey Smith (FA)","4","6","61","15.3","35","2","0","0","0","0","0","1","10.1","10.1","0.0%"
"43","Courtland Sutton (DEN)","1","3","28","28.0","28","1","1","0","0","0","0","1","9.8","9.8","97.0%"
"44","Curtis Samuel (WAS)","1","1","16","16.0","16","0","0","2","9","1","0","1","9.5","9.5","4.0%"
"45","Calvin Ridley (ATL)","5","6","43","8.6","19","0","0","0","0","0","0","1","9.3","9.3","2.0%"
"46","Demaryius Thomas (FA)","5","6","42","8.4","12","0","0","0","0","0","0","1","9.2","9.2","0.0%"
"47","Christian Kirk (JAC)","3","6","57","19.0","27","2","0","0","0","0","0","1","8.7","8.7","83.0%"
"48","Kevin White (FA)","2","2","64","32.0","54","4","0","0","0","0","0","1","8.4","8.4","0.0%"
"49","Chester Rogers (HOU)","4","4","40","10.0","29","1","0","0","0","0","0","1","8.0","8.0","0.0%"
"50","Nelson Agholor (NE)","6","7","20","3.3","13","0","0","0","0","0","0","1","8.0","8.0","1.0%"
"51","Adam Humphries (FA)","4","9","37","9.3","12","0","0","0","0","0","0","1","7.7","7.7","1.0%"
"52","Kenny Stills (FA)","1","3","5","5.0","5","0","1","0","0","0","0","1","7.5","7.5","0.0%"
"53","Chad Williams (FA)","4","8","34","8.5","16","0","0","0","0","0","0","1","7.4","7.4","0.0%"
"54","Robbie Anderson (CAR)","3","10","44","14.7","25","1","0","0","0","0","0","1","7.4","7.4","11.0%"
"55","Tre'Quan Smith (NO)","3","6","44","14.7","26","1","0","0","0","0","0","1","7.4","7.4","0.0%"
"56","Josh Doctson (FA)","3","6","42","14.0","15","0","0","0","0","0","0","1","7.2","7.2","0.0%"
"57","DJ Chark Jr. (DET)","4","7","31","7.8","15","0","0","0","0","0","0","1","7.1","7.1","26.0%"
"58","Albert Wilson (FA)","3","3","32","10.7","25","1","0","2","4","0","0","1","6.6","6.6","0.0%"
"59","Willie Snead IV (SF)","3","7","23","7.7","9","0","0","1","13","0","0","1","6.6","6.6","0.0%"
"60","Cody Core (FA)","3","3","30","10.0","18","0","0","0","0","0","0","1","6.0","6.0","0.0%"
"61","Marvin Jones Jr. (JAC)","3","4","29","9.7","16","0","0","0","0","0","0","1","5.9","5.9","8.0%"
"62","DJ Moore (CAR)","3","5","29","9.7","16","0","0","0","0","0","0","1","5.9","5.9","99.0%"
"63","Dede Westbrook (FA)","4","4","17","4.3","6","0","0","0","0","0","0","1","5.7","5.7","0.0%"
"64","Kenny Golladay (NYG)","2","2","37","18.5","22","1","0","0","0","0","0","1","5.7","5.7","34.0%"
"65","Tyler Boyd (CIN)","3","4","27","9.0","13","0","0","0","0","0","0","1","5.7","5.7","55.0%"
"66","Zay Jones (JAC)","3","5","27","9.0","15","0","0","0","0","0","0","1","5.7","5.7","1.0%"
"67","Taylor Gabriel (FA)","3","4","26","8.7","11","0","0","1","0","0","0","1","5.6","5.6","0.0%"
"68","Anthony Miller (PIT)","2","7","35","17.5","21","1","0","0","0","0","0","1","5.5","5.5","0.0%"
"69","Damion Ratley (FA)","3","3","23","7.7","9","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"70","Jakeem Grant Sr. (CLE)","2","2","32","16.0","19","0","0","0","0","0","0","1","5.2","5.2","0.0%"
"71","Maurice Harris (FA)","3","3","22","7.3","10","0","0","0","0","0","0","1","5.2","5.2","0.0%"
"72","Marquise Goodwin (SEA)","2","5","24","12.0","17","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"73","Justin Hardy (FA)","2","2","24","12.0","15","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"74","Laquon Treadwell (JAC)","3","3","11","3.7","5","0","0","0","0","0","0","1","4.1","4.1","0.0%"
"75","Keelan Cole Sr. (LV)","2","7","21","10.5","13","0","0","0","0","0","0","1","4.1","4.1","0.0%"
"76","Andre Roberts (CAR)","2","6","21","10.5","20","1","0","0","0","0","0","1","4.1","4.1","0.0%"
"77","Mohamed Sanu Sr. (MIA)","2","2","21","10.5","16","0","0","0","0","0","0","1","4.1","4.1","0.0%"
"78","Corey Davis (NYJ)","3","7","10","3.3","5","0","0","0","0","0","0","1","4.0","4.0","11.0%"
"79","Nick Williams (FA)","2","2","17","8.5","11","0","0","0","0","0","0","1","3.7","3.7","0.0%"
"80","TJ Jones (FA)","1","1","26","26.0","26","1","0","0","0","0","0","1","3.6","3.6","0.0%"
"81","J.J. Nelson (FA)","2","4","8","4.0","5","0","0","1","7","0","0","1","3.5","3.5","0.0%"
"82","Demarcus Robinson (BAL)","2","2","13","6.5","9","0","0","0","0","0","0","1","3.3","3.3","0.0%"
"83","Brandon Zylstra (CAR)","1","1","23","23.0","23","1","0","0","0","0","0","1","3.3","3.3","0.0%"
"84","Chris Moore (HOU)","1","2","14","14.0","14","0","0","1","9","0","0","1","3.3","3.3","0.0%"
"85","Michael Floyd (FA)","1","3","20","20.0","20","1","0","0","0","0","0","1","3.0","3.0","0.0%"
"86","Josh Reynolds (DET)","1","1","19","19.0","19","0","0","0","0","0","0","1","2.9","2.9","1.0%"
"87","Antonio Callaway (FA)","1","2","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"88","Travis Benjamin (FA)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"89","Andre Holmes (FA)","1","2","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"90","Bennie Fowler III (FA)","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"91","Deontay Burnett (FA)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"92","Rashad Greene (FA)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"93","Damiere Byrd (ATL)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"94","Taywan Taylor (FA)","1","2","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"95","Phillip Dorsett II (HOU)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"96","Breshad Perriman (TB)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"97","Trent Taylor (CIN)","1","3","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"98","Chris Conley (HOU)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"99","Pierre Garcon (FA)","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"100","Allen Robinson II (LAR)","1","5","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","96.0%"
"101","Keke Coutee (IND)","1","3","3","3.0","3","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"102","Cameron Batson (ATL)","1","1","0","0.0","0","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"103","Alex Erickson (WAS)","1","2","-1","-1.0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"104","KhaDarel Hodge (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","Cam Phillips (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"106","Russell Gage (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","52.0%"
"107","Justin Watson (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"108","Trent Sherfield (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"109","Deonte Thompson (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"110","Josh Bellamy (FA)","0","3","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"111","Jermaine Kearse (FA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"112","Brian Quick (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
