"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Tyler Higbee","TE","LAR","52","59","49","54","56","66","65","46","76","54","bye","62","63","0","0","64","56","61","883","58.9"
"CeeDee Lamb","WR","DAL","61","60","65","49","65","77","bye","65","44","32","36","0","62","57","49","54","56","49","881","55.1"
"Baker Mayfield","QB","CLE","59","61","76","78","72","55","0","59","45","36","74","60","bye","63","0","68","71","0","877","62.6"
"Van Jefferson","WR","LAR","36","54","50","46","39","42","61","56","75","52","bye","61","53","46","61","67","31","45","875","51.5"
"Zach Pascal","WR","IND","69","61","54","58","59","41","57","75","52","57","54","64","54","bye","34","0","34","49","872","54.5"
"Tyreek Hill","WR","KC","57","50","58","54","73","47","52","62","54","56","55","bye","50","44","60","29","52","14","867","51.0"
"Zach Ertz","TE","Multi","41","37","30","37","40","46","35","43","56","45","63","0","41","65","67","63","70","70","849","49.9"
"Tim Patrick","WR","DEN","46","51","51","56","57","72","47","50","48","53","bye","50","67","52","71","36","0","42","849","53.1"
"Teddy Bridgewater","QB","DEN","66","69","67","31","60","81","50","53","78","58","bye","43","77","68","43","0","0","0","844","60.3"
"Noah Fant","TE","DEN","51","53","58","57","58","72","45","41","0","44","bye","53","58","50","60","38","53","52","843","52.7"
"George Kittle","TE","SF","52","70","70","70","0","bye","0","0","43","52","57","65","54","68","55","59","59","66","840","60.0"
"Amari Cooper","WR","DAL","74","60","65","29","57","78","bye","63","36","51","0","0","24","75","66","52","58","46","834","55.6"
"Chris Godwin","WR","TB","64","56","70","73","51","68","61","59","bye","46","62","65","64","78","16","0","0","0","833","59.5"
"Marquez Callaway","WR","NO","52","32","38","56","46","bye","68","59","60","52","50","34","48","50","52","41","49","46","833","49.0"
"Brandin Cooks","WR","HOU","61","56","52","41","50","68","53","54","67","bye","53","47","43","66","49","0","53","18","831","51.9"
"Deebo Samuel","WR","SF","46","49","63","68","56","bye","48","46","54","49","55","46","0","55","46","45","53","50","829","51.8"
"Mike Gesicki","TE","MIA","21","47","55","36","42","49","60","67","59","56","51","59","46","bye","45","49","47","39","828","48.7"
"Chase Claypool","WR","PIT","39","43","76","0","36","63","bye","72","58","0","63","61","38","44","31","59","71","69","823","54.9"
"DK Metcalf","WR","SEA","50","51","47","46","48","49","46","41","bye","45","45","44","62","45","53","49","48","51","820","48.2"
"Tyler Lockett","WR","SEA","46","50","49","48","56","58","48","44","bye","58","45","47","59","46","0","48","60","51","813","50.8"
"Bryan Edwards","WR","LV","57","49","63","51","51","43","59","bye","64","43","39","63","40","39","48","0","46","56","811","50.7"
"Lamar Jackson","QB","BAL","68","76","58","73","73","65","61","bye","98","73","0","81","74","10","0","0","0","0","810","67.5"
"Ezekiel Elliott","RB","DAL","70","44","53","46","47","63","bye","55","33","38","46","47","45","54","44","42","45","37","809","47.6"
"Tyler Boyd","WR","CIN","51","48","37","36","55","45","45","44","59","bye","52","52","57","57","46","69","54","0","807","50.4"
"C.J. Uzomah","TE","CIN","51","40","33","48","56","50","52","47","48","bye","54","45","66","58","42","49","63","0","802","50.1"
"Russell Wilson","QB","SEA","54","54","53","56","40","0","0","0","bye","61","49","47","70","61","57","56","72","58","788","56.3"
"Dallas Goedert","TE","PHI","52","38","34","55","45","0","64","44","53","13","75","64","68","bye","66","53","57","0","781","52.1"
"Tua Tagovailoa","QB","MIA","52","9","0","0","0","69","73","69","0","32","72","74","69","bye","68","61","61","68","777","59.8"
"K.J. Osborn","WR","MIN","67","36","44","42","40","48","bye","38","26","41","36","30","70","60","56","50","51","39","774","45.5"
"Kyle Pitts","TE","ATL","49","57","52","55","54","bye","42","44","44","33","44","47","67","37","49","36","27","37","774","45.5"
"Amon-Ra St. Brown","WR","DET","59","34","27","51","47","49","0","45","bye","43","41","48","69","47","45","59","53","56","773","48.3"
"Sam Darnold","QB","CAR","64","76","73","70","71","74","45","64","59","0","0","0","bye","0","0","44","60","71","771","64.3"
"Quez Watkins","WR","PHI","34","29","38","43","55","40","50","58","55","57","64","55","55","bye","25","51","31","31","771","45.4"
"Jonathan Taylor","RB","IND","42","30","29","36","36","31","47","59","43","54","57","49","55","bye","51","55","41","52","767","45.1"
"Adam Thielen","WR","MIN","78","61","72","66","62","87","bye","65","48","71","66","53","6","0","0","23","0","0","758","58.3"
"Hunter Renfrow","WR","LV","47","29","43","38","50","32","36","bye","45","39","34","64","54","59","54","40","43","51","758","44.6"
"Jalen Reagor","WR","PHI","50","42","50","52","47","43","56","12","29","50","55","45","48","bye","39","32","31","69","750","44.1"
"Emmanuel Sanders","WR","BUF","79","50","63","51","45","71","bye","56","66","35","44","51","46","25","0","65","0","0","747","53.4"
"Davis Mills","QB","HOU","0","35","55","47","59","75","56","61","0","bye","0","0","23","81","59","68","67","57","743","57.2"
"Kalif Raymond","WR","DET","69","36","47","53","46","56","56","49","bye","47","34","39","35","42","45","46","0","42","742","46.4"
"Zach Wilson","QB","NYJ","65","73","54","61","56","bye","18","0","0","0","0","67","59","66","57","58","61","46","741","57.0"
"Hunter Henry","TE","NE","54","48","52","40","40","37","60","50","35","55","32","41","0","bye","55","55","39","42","735","45.9"
"Austin Ekeler","RB","LAC","47","45","49","45","53","34","bye","45","46","42","53","48","47","33","27","0","39","78","731","45.7"
"Evan Engram","TE","NYG","0","0","39","43","50","55","44","47","46","bye","52","54","53","51","55","59","36","38","722","48.1"
"Geoff Swaim","TE","TEN","25","64","44","32","36","38","38","57","42","40","0","46","bye","54","59","39","57","48","719","44.9"
"Devin Singletary","RB","BUF","64","43","34","32","15","35","bye","25","48","22","21","45","28","64","65","54","61","62","718","42.2"
"Tee Higgins","WR","CIN","51","50","0","0","47","41","42","42","57","bye","59","43","60","50","46","64","58","0","710","50.7"
"Nelson Agholor","WR","NE","64","51","58","43","43","32","43","61","54","47","49","50","25","bye","32","0","0","55","707","47.1"
"Donovan Peoples-Jones","WR","CLE","47","46","53","46","49","46","0","0","29","50","0","45","bye","60","52","59","64","53","699","49.9"
"Joe Mixon","RB","CIN","54","46","35","40","19","45","34","42","47","bye","53","49","50","40","31","62","50","0","697","43.6"
"Laviska Shenault Jr.","WR","JAC","52","45","44","42","52","52","bye","52","48","51","29","53","31","45","47","0","13","41","697","43.6"
"Cole Beasley","WR","BUF","77","39","52","36","22","67","bye","52","45","9","32","46","40","63","32","0","37","42","691","43.2"
"Durham Smythe","TE","MIA","38","22","34","21","36","58","29","0","45","41","51","66","42","bye","65","51","41","47","687","42.9"
"Foster Moreau","TE","LV","0","38","47","0","15","25","66","bye","22","21","17","77","50","62","69","65","62","49","685","45.7"
"Pat Freiermuth","TE","PIT","29","33","30","32","32","45","bye","58","51","54","39","47","44","55","22","0","62","50","683","42.7"
"Austin Hooper","TE","CLE","38","42","49","56","52","44","46","38","35","37","48","54","bye","65","0","37","35","0","676","45.1"
"Allen Lazard","WR","GB","39","0","42","57","55","50","51","0","53","44","0","53","bye","53","49","51","56","21","674","48.1"
"Daniel Jones","QB","NYG","61","69","70","63","29","75","72","60","56","bye","58","60","0","0","0","0","0","0","673","61.2"
"Odell Beckham Jr.","WR","Multi","0","0","52","62","58","32","43","43","0","15","0","61","36","42","50","64","57","51","666","47.6"
