"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"133","Kyle Nelson (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"134","Wes Saxton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"135","Vince Mayle (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"136","Jake Fisher (FA)","1","5","31","31.0","31","1","0","0","0","0","0","14","0.0","0.0","0.0%"
"137","Neal Sterling (FA)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"138","Beau Brinkley (ATL)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.2%"
"139","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"140","Tyler Ott (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"142","Kevin McDermott (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"143","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"144","David Johnson (FA)","1","2","4","4.0","4","0","0","2","4","0","1","16","-0.2","-0.0","0.0%"
""
""
