"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","105","145","1,416","13.5","45","29","11","0","0","0","1","15","312.8","20.9","100.0%"
"2","Darren Waller (LV)","107","145","1,196","11.2","38","19","9","0","0","0","2","16","278.6","17.4","99.8%"
"3","Logan Thomas (WAS)","72","110","670","9.3","30","6","6","3","5","0","0","16","176.6","11.0","35.8%"
"4","Robert Tonyan (GB)","52","59","586","11.3","45","13","11","0","0","0","0","16","176.6","11.0","24.2%"
"5","T.J. Hockenson (DET)","67","101","723","10.8","51","10","6","1","0","0","1","16","175.3","11.0","94.5%"
"6","Mark Andrews (BAL)","58","88","701","12.1","39","13","7","0","0","0","0","14","170.1","12.2","100.0%"
"7","Mike Gesicki (MIA)","53","85","703","13.3","70","14","6","0","0","0","0","15","159.3","10.6","43.6%"
"8","Rob Gronkowski (FA)","45","77","623","13.8","48","16","7","0","0","0","0","16","149.3","9.3","1.7%"
"9","Noah Fant (SEA)","62","93","673","10.9","37","11","3","0","0","0","0","15","149.3","10.0","26.4%"
"10","Hayden Hurst (CIN)","56","88","571","10.2","42","8","6","0","0","0","0","16","149.1","9.3","22.6%"
"11","Dalton Schultz (DAL)","63","89","615","9.8","28","3","4","0","0","0","1","16","146.5","9.2","90.6%"
"12","Hunter Henry (NE)","60","93","613","10.2","33","6","4","0","0","0","0","14","145.3","10.4","52.5%"
"13","Jimmy Graham (FA)","50","76","456","9.1","30","5","8","0","0","0","0","16","143.6","9.0","0.0%"
"14","Eric Ebron (FA)","56","91","558","10.0","27","6","5","0","0","0","1","15","141.8","9.5","0.0%"
"15","Evan Engram (JAC)","63","109","654","10.4","53","12","1","6","26","1","1","16","141.0","8.8","25.0%"
"16","Jonnu Smith (NE)","41","65","448","10.9","63","8","8","2","4","1","0","15","140.2","9.3","0.9%"
"17","Tyler Higbee (LAR)","44","60","521","11.8","44","14","5","1","1","0","0","15","128.2","8.5","80.6%"
