"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"56","Mecole Hardman (KC)","4","5","28","7.0","9","0","0","0","0","0","1","1","4.8","4.8","31.0%"
"57","Keith Kirkwood (CAR)","3","5","17","5.7","7","0","0","0","0","0","0","1","4.7","4.7","0.0%"
"58","John Ross (FA)","2","2","27","13.5","15","0","0","0","0","0","0","1","4.7","4.7","0.0%"
"59","Danny Amendola (FA)","3","5","17","5.7","10","0","0","0","0","0","0","1","4.7","4.7","0.0%"
"60","Robbie Anderson (CAR)","3","9","14","4.7","5","0","0","0","0","0","0","1","4.4","4.4","11.0%"
"61","Zach Pascal (PHI)","3","6","14","4.7","13","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"62","Odell Beckham Jr. (FA)","2","6","23","11.5","17","0","0","0","0","0","0","1","4.3","4.3","14.0%"
"63","DeAndre Carter (LAC)","1","1","4","4.0","4","0","0","1","27","0","0","1","4.1","4.1","0.0%"
"64","Anthony Schwartz (CLE)","2","3","22","11.0","16","0","0","1","-2","0","0","1","4.0","4.0","0.0%"
"65","N'Keal Harry (CHI)","1","2","28","28.0","28","1","0","0","0","0","0","1","3.8","3.8","0.0%"
"66","Tajae Sharpe (CHI)","2","2","18","9.0","12","0","0","0","0","0","0","1","3.8","3.8","0.0%"
"67","Rondale Moore (ARI)","2","3","17","8.5","16","0","0","0","0","0","0","1","3.7","3.7","29.0%"
"68","Tyler Johnson (TB)","2","2","16","8.0","12","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"69","Dax Milne (WAS)","2","4","16","8.0","13","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"70","Marquise Goodwin (SEA)","2","4","16","8.0","12","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"71","Tim Patrick (DEN)","2","5","16","8.0","9","0","0","0","0","0","0","1","3.6","3.6","7.0%"
"72","Allen Robinson II (LAR)","2","4","16","8.0","12","0","0","0","0","0","0","1","3.6","3.6","96.0%"
"73","Kendall Hinton (DEN)","2","2","15","7.5","11","0","0","0","0","0","0","1","3.5","3.5","0.0%"
"74","Tyler Lockett (SEA)","2","3","12","6.0","7","0","0","0","0","0","0","1","3.2","3.2","86.0%"
"75","Gunner Olszewski (PIT)","1","1","22","22.0","22","1","0","0","0","0","0","1","3.2","3.2","0.0%"
"76","Mohamed Sanu Sr. (MIA)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"77","Olamide Zaccheaus (ATL)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"78","Tre'Quan Smith (NO)","1","3","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"79","Ashton Dulin (IND)","2","4","0","0.0","2","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"80","Damiere Byrd (ATL)","1","1","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"81","Devin Duvernay (BAL)","1","1","11","11.0","11","0","0","1","-2","0","0","1","1.9","1.9","9.0%"
"82","Trent Sherfield (MIA)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"83","Brandon Aiyuk (SF)","1","1","6","6.0","6","0","0","1","3","0","0","1","1.9","1.9","89.0%"
"84","Marcus Kemp (NYG)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"85","Collin Johnson (NYG)","1","2","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"86","Demarcus Robinson (BAL)","1","4","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"87","Denzel Mims (NYJ)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"88","Keelan Cole Sr. (LV)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"89","Preston Williams (MIA)","1","4","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
