"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (LV)","11","16","206","18.7","59","9","1","0","0","0","0","1","37.6","37.6","100.0%"
"2","Mike Williams (LAC)","8","16","165","20.6","72","7","2","0","0","0","0","1","36.5","36.5","98.0%"
"3","Marquise Brown (ARI)","9","10","125","13.9","43","4","2","0","0","0","0","1","33.5","33.5","92.0%"
"4","Antonio Brown (FA)","7","8","124","17.7","62","5","2","0","0","0","0","1","31.4","31.4","1.0%"
"5","Kadarius Toney (NYG)","10","13","189","18.9","38","6","0","1","7","0","0","1","29.6","29.6","57.0%"
"6","Mike Evans (TB)","6","8","113","18.8","34","4","2","0","0","0","0","1","29.3","29.3","100.0%"
"7","Ja'Marr Chase (CIN)","6","10","159","26.5","70","6","1","0","0","0","0","1","27.9","27.9","100.0%"
"8","Robert Woods (TEN)","12","14","150","12.5","25","4","0","0","0","0","0","1","27.0","27.0","73.0%"
"9","DK Metcalf (SEA)","5","5","98","19.6","25","2","2","0","0","0","0","1","26.8","26.8","96.0%"
"10","Courtland Sutton (DEN)","7","11","120","17.1","39","3","1","0","0","0","0","1","25.0","25.0","97.0%"
"11","Marquez Callaway (NO)","4","8","85","21.3","49","3","2","0","0","0","0","1","24.5","24.5","1.0%"
"12","Chase Claypool (PIT)","5","6","130","26.0","59","5","1","0","0","0","0","1","24.0","24.0","69.0%"
"13","Chris Moore (HOU)","5","5","109","21.8","67","5","1","0","0","0","0","1","21.9","21.9","0.0%"
"14","Michael Pittman Jr. (IND)","6","7","89","14.8","42","4","1","0","0","0","0","1","20.9","20.9","99.0%"
"15","DeAndre Hopkins (ARI)","6","9","87","14.5","30","3","1","0","0","0","0","1","20.7","20.7","83.0%"
"16","Emmanuel Sanders (FA)","3","5","54","18.0","35","2","2","0","0","0","0","1","20.4","20.4","1.0%"
"17","Justin Jefferson (MIN)","7","8","124","17.7","37","3","0","0","0","0","0","1","19.4","19.4","100.0%"
"18","CeeDee Lamb (DAL)","4","6","84","21.0","49","3","1","1","4","0","0","1","18.8","18.8","100.0%"
"19","Mecole Hardman (KC)","9","12","76","8.4","26","1","0","0","0","0","0","1","16.6","16.6","31.0%"
"20","Cooper Kupp (LAR)","7","10","92","13.1","33","3","0","0","0","0","0","1","16.2","16.2","100.0%"
