"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Elijah Moore (NYJ)","7","8","84","12.0","26","1","2","0","0","0","0","1","27.4","27.4","88.0%"
"2","DeVonta Smith (PHI)","5","6","116","23.2","28","3","1","0","0","0","0","1","22.6","22.6","87.0%"
"3","Keenan Allen (LAC)","12","13","104","8.7","18","0","0","0","0","0","0","1","22.4","22.4","100.0%"
"4","Olamide Zaccheaus (ATL)","3","3","58","19.3","49","3","2","0","0","0","0","1","20.8","20.8","0.0%"
"5","Marquise Brown (ARI)","9","12","116","12.9","22","3","0","0","0","0","0","1","20.6","20.6","92.0%"
"6","Darnell Mooney (CHI)","3","6","41","13.7","20","1","1","1","15","1","0","1","20.6","20.6","90.0%"
"7","Cooper Kupp (LAR)","11","13","95","8.6","17","0","0","0","0","0","0","1","20.5","20.5","100.0%"
"8","Malik Turner (SF)","5","7","33","6.6","11","0","2","0","0","0","0","1","20.3","20.3","0.0%"
"9","Brandon Aiyuk (SF)","6","8","89","14.8","22","1","1","1","-2","0","1","1","18.7","18.7","89.0%"
"10","Tim Patrick (DEN)","4","5","85","21.3","44","3","1","0","0","0","0","1","18.5","18.5","7.0%"
"11","Hunter Renfrow (LV)","7","9","49","7.0","20","1","1","0","0","0","0","1","17.9","17.9","90.0%"
"12","Michael Pittman Jr. (IND)","5","6","64","12.8","19","0","1","0","0","0","0","1","17.4","17.4","99.0%"
"13","Robert Woods (TEN)","7","10","98","14.0","22","1","0","1","6","0","0","1","17.4","17.4","73.0%"
"14","Justin Jefferson (MIN)","3","5","69","23.0","50","4","1","1","11","0","0","1","17.0","17.0","100.0%"
"15","Donovan Peoples-Jones (CLE)","2","3","86","43.0","60","5","1","0","0","0","0","1","16.6","16.6","4.0%"
"16","Christian Kirk (JAC)","6","6","91","15.2","50","4","0","0","0","0","0","1","16.4","16.4","83.0%"
"17","Jaylen Waddle (MIA)","8","10","83","10.4","17","0","0","0","0","0","0","1","16.3","16.3","97.0%"
"18","Stefon Diggs (BUF)","6","8","85","14.2","28","1","0","0","0","0","0","1","14.5","14.5","100.0%"
"19","Tee Higgins (CIN)","6","8","78","13.0","20","1","0","0","0","0","0","1","13.8","13.8","99.0%"
"20","Russell Gage (TB)","7","8","64","9.1","20","1","0","0","0","0","0","1","13.4","13.4","52.0%"
"21","Jerry Jeudy (DEN)","6","8","69","11.5","25","2","0","0","0","0","0","1","12.9","12.9","95.0%"
"22","Diontae Johnson (PIT)","5","6","56","11.2","22","1","0","2","11","0","0","1","11.7","11.7","97.0%"
"23","Keelan Cole Sr. (LV)","5","8","66","13.2","18","0","0","0","0","0","0","1","11.6","11.6","0.0%"
"24","Brandin Cooks (HOU)","6","14","56","9.3","10","0","0","0","0","0","0","1","11.6","11.6","95.0%"
"25","Marquez Callaway (NO)","3","6","25","8.3","15","0","1","0","0","0","0","1","11.5","11.5","1.0%"
"26","Cole Beasley (FA)","8","11","33","4.1","9","0","0","0","0","0","0","1","11.3","11.3","1.0%"
"27","Deebo Samuel (SF)","5","9","63","12.6","32","2","0","0","0","0","0","1","11.3","11.3","100.0%"
"28","Mack Hollins (LV)","3","6","22","7.3","10","0","1","0","0","0","0","1","11.2","11.2","0.0%"
"29","Deonte Harty (NO)","6","8","52","8.7","19","0","0","0","0","0","0","1","11.2","11.2","1.0%"
"30","Kenny Stills (FA)","2","5","30","15.0","22","1","1","0","0","0","0","1","11.0","11.0","0.0%"
"31","Allen Robinson II (LAR)","4","6","68","17.0","39","2","0","0","0","0","0","1","10.8","10.8","96.0%"
"32","Emmanuel Sanders (FA)","4","8","65","16.3","22","1","0","0","0","0","0","1","10.5","10.5","1.0%"
"33","Rashod Bateman (BAL)","5","8","52","10.4","15","0","0","0","0","0","0","1","10.2","10.2","92.0%"
"34","Davante Adams (LV)","6","14","42","7.0","14","0","0","0","0","0","0","1","10.2","10.2","100.0%"
"35","Zach Pascal (PHI)","4","7","58","14.5","31","2","0","0","0","0","0","1","9.8","9.8","0.0%"
"36","Antoine Wesley (ARI)","3","3","62","20.7","33","3","0","0","0","0","0","1","9.2","9.2","0.0%"
"37","A.J. Brown (PHI)","5","11","42","8.4","16","0","0","0","0","0","0","1","9.2","9.2","99.0%"
"38","Allen Lazard (GB)","1","1","20","20.0","20","1","1","0","0","0","0","1","9.0","9.0","87.0%"
