"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","James Conner (ARI)","21","96","4.6","35","2","2","5","5","77","15.4","1","0","1","40.3","40.3","99.0%"
"2","Jonathan Taylor (IND)","19","172","9.1","78","5","2","2","2","28","14.0","0","0","1","34.0","34.0","100.0%"
"3","Nick Chubb (CLE)","14","137","9.8","70","5","2","2","2","26","13.0","0","0","1","30.3","30.3","100.0%"
"4","Joe Mixon (CIN)","13","64","4.9","21","1","2","5","5","46","9.2","0","0","1","28.0","28.0","100.0%"
"5","Nyheim Hines (IND)","6","74","12.3","34","3","1","4","6","34","8.5","0","0","1","20.8","20.8","62.0%"
"6","Alvin Kamara (NO)","13","50","3.8","14","0","1","4","7","54","13.5","0","0","1","20.4","20.4","100.0%"
"7","Cordarrelle Patterson (ATL)","9","10","1.1","4","0","0","6","6","126","21.0","0","0","1","19.6","19.6","89.0%"
"8","Melvin Gordon III (DEN)","21","80","3.8","14","0","1","2","2","15","7.5","0","0","1","17.5","17.5","88.0%"
"9","Najee Harris (PIT)","22","62","2.8","13","0","1","3","3","16","5.3","0","0","1","16.8","16.8","100.0%"
"10","Devonta Freeman (FA)","13","79","6.1","19","0","0","2","3","4","2.0","1","0","1","16.3","16.3","0.0%"
"11","Kenyan Drake (FA)","4","30","7.5","21","1","0","6","8","70","11.7","0","0","1","16.0","16.0","4.0%"
"12","Myles Gaskin (MIA)","20","34","1.7","6","0","1","6","6","23","3.8","0","1","1","15.7","15.7","3.0%"
"13","Dalvin Cook (MIN)","17","110","6.5","66","5","0","3","3","12","4.0","0","0","1","15.2","15.2","100.0%"
"14","Devontae Booker (FA)","21","99","4.7","20","1","0","3","3","23","7.7","0","0","1","15.2","15.2","0.0%"
"15","Christian McCaffrey (CAR)","14","52","3.7","10","0","0","4","5","54","13.5","0","0","1","14.6","14.6","100.0%"
"16","Josh Jacobs (LV)","13","76","5.8","14","0","0","4","4","19","4.8","0","0","1","13.5","13.5","96.0%"
"17","Jordan Howard (FA)","17","71","4.2","18","0","1","0","0","0","0","0","0","1","13.1","13.1","0.0%"
"18","AJ Dillon (GB)","8","46","5.8","15","0","0","4","4","44","11.0","0","0","1","13.0","13.0","95.0%"
"19","Elijah Mitchell (SF)","8","36","4.5","14","0","0","5","5","43","8.6","0","0","1","12.9","12.9","97.0%"
"20","Devin Singletary (BUF)","6","16","2.7","5","0","0","7","8","43","6.1","0","0","1","12.9","12.9","92.0%"
"21","Ezekiel Elliott (DAL)","10","51","5.1","11","0","0","3","3","25","8.3","0","0","1","12.6","12.6","99.0%"
"22","Rhamondre Stevenson (NE)","10","62","6.2","13","0","0","2","2","44","22.0","0","0","1","12.6","12.6","89.0%"
"23","Patrick Ricard (BAL)","0","0","0","0","0","0","3","5","35","11.7","1","0","1","12.5","12.5","0.0%"
"24","Ty Johnson (NYJ)","4","21","5.3","9","0","0","2","3","40","20.0","1","1","1","12.1","12.1","0.0%"
"25","Mark Ingram II (NO)","9","43","4.8","11","0","0","5","5","21","4.2","0","0","1","11.4","11.4","16.0%"
"26","Austin Ekeler (LAC)","17","59","3.5","16","0","0","3","3","23","7.7","0","0","1","11.2","11.2","100.0%"
"27","Javonte Williams (DEN)","17","111","6.5","30","3","0","0","0","0","0","0","0","1","11.1","11.1","99.0%"
"28","Le'Veon Bell (FA)","11","48","4.4","12","0","1","0","0","0","0","0","0","1","10.8","10.8","0.0%"
"29","Darrel Williams (ARI)","19","70","3.7","11","0","0","3","4","7","2.3","0","0","1","10.7","10.7","11.0%"
"30","Sony Michel (MIA)","7","20","2.9","8","0","0","2","3","6","3.0","1","0","1","10.6","10.6","12.0%"
"31","Damien Harris (NE)","15","30","2.0","8","0","1","1","1","3","3.0","0","0","1","10.3","10.3","94.0%"
