"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Alvin Kamara (NO)","20","51","2.6","12","0","0","10","11","128","12.8","1","0","1","33.9","33.9","100.0%"
"2","D'Andre Swift (DET)","13","48","3.7","14","0","0","8","10","96","12.0","1","0","1","28.4","28.4","100.0%"
"3","Damien Harris (NE)","14","106","7.6","32","2","2","2","2","7","3.5","0","0","1","25.3","25.3","94.0%"
"4","D'Ernest Johnson (CLE)","22","146","6.6","20","2","1","2","2","22","11.0","0","0","1","24.8","24.8","4.0%"
"5","Brandon Bolden (LV)","2","0","0.0","0","0","0","6","7","79","13.2","1","0","1","19.9","19.9","0.0%"
"6","Khalil Herbert (CHI)","18","100","5.6","29","1","0","5","5","33","6.6","0","0","1","18.3","18.3","32.0%"
"7","Jonathan Taylor (IND)","18","107","5.9","33","2","1","3","3","3","1.0","0","1","1","18.0","18.0","100.0%"
"8","Myles Gaskin (MIA)","15","67","4.5","16","0","0","4","4","10","2.5","1","0","1","17.7","17.7","3.0%"
"9","Javonte Williams (DEN)","4","20","5.0","7","0","0","6","7","32","5.3","1","0","1","17.2","17.2","99.0%"
"10","Leonard Fournette (TB)","15","81","5.4","15","0","1","2","4","9","4.5","0","0","1","17.0","17.0","100.0%"
"11","Kenyan Drake (FA)","14","69","4.9","12","0","1","3","3","10","3.3","0","0","1","16.9","16.9","4.0%"
"12","Elijah Mitchell (SF)","18","107","5.9","20","1","1","0","0","0","0","0","0","1","16.7","16.7","97.0%"
"13","Derrick Henry (TEN)","29","86","3.0","11","0","0","2","2","16","8.0","0","0","1","16.4","16.4","100.0%"
"14","Michael Carter (NYJ)","11","37","3.4","6","0","0","8","9","67","8.4","0","1","1","16.4","16.4","66.0%"
"15","Josh Jacobs (LV)","6","29","4.8","9","0","1","3","3","39","13.0","0","0","1","15.8","15.8","96.0%"
"16","J.J. Taylor (NE)","9","21","2.3","15","0","2","1","1","5","5.0","0","0","1","15.6","15.6","0.0%"
"17","Devontae Booker (FA)","14","51","3.6","19","0","1","2","3","15","7.5","0","0","1","14.6","14.6","0.0%"
"18","Samaje Perine (CIN)","11","52","4.7","46","3","1","1","1","23","23.0","0","0","1","14.5","14.5","5.0%"
"19","Kenneth Gainwell (PHI)","5","20","4.0","7","0","0","4","8","41","10.3","1","1","1","14.1","14.1","48.0%"
"20","Cordarrelle Patterson (ATL)","14","60","4.3","13","0","1","2","5","1","0.5","0","0","1","14.1","14.1","89.0%"
"21","Ty Johnson (NYJ)","5","6","1.2","5","0","0","6","7","65","10.8","0","0","1","13.1","13.1","0.0%"
"22","Devonta Freeman (FA)","4","14","3.5","10","0","1","3","3","25","8.3","0","0","1","12.9","12.9","0.0%"
"23","James Conner (ARI)","10","64","6.4","18","0","1","0","0","0","0","0","0","1","12.4","12.4","99.0%"
"24","Joe Mixon (CIN)","12","59","4.9","21","1","1","0","0","0","0","0","0","1","11.9","11.9","100.0%"
"25","Melvin Gordon III (DEN)","8","18","2.3","5","0","0","2","3","14","7.0","1","0","1","11.2","11.2","88.0%"
"26","David Johnson (FA)","7","25","3.6","13","0","0","5","6","27","5.4","0","0","1","10.2","10.2","0.0%"
"27","Chase Edmonds (MIA)","15","81","5.4","16","0","0","1","3","9","9.0","0","0","1","10.0","10.0","91.0%"
"28","Boston Scott (PHI)","7","24","3.4","5","0","1","1","2","5","5.0","0","0","1","9.9","9.9","3.0%"
"29","Chuba Hubbard (CAR)","12","28","2.3","13","0","0","4","5","28","7.0","0","0","1","9.6","9.6","8.0%"
"30","J.D. McKissic (WAS)","4","22","5.5","8","0","0","4","6","34","8.5","0","0","1","9.6","9.6","30.0%"
"31","Darrell Henderson Jr. (LAR)","15","45","3.0","10","0","0","3","6","19","6.3","0","0","1","9.4","9.4","68.0%"
"32","Aaron Jones (GB)","6","19","3.2","9","0","0","5","5","20","4.0","0","0","1","8.9","8.9","100.0%"
"33","Darrel Williams (ARI)","5","20","4.0","11","0","0","3","4","30","10.0","0","0","1","8.0","8.0","11.0%"
"34","Antonio Gibson (WAS)","14","51","3.6","6","0","0","2","2","5","2.5","0","0","1","7.6","7.6","95.0%"
"35","Johnny Stanton IV (CLE)","2","5","2.5","3","0","0","1","1","1","1.0","1","0","1","7.6","7.6","0.0%"
"36","Salvon Ahmed (MIA)","7","26","3.7","7","0","0","2","2","26","13.0","0","0","1","7.2","7.2","0.0%"
