"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Derrick Henry (TEN)","20","143","7.2","76","4","3","2","3","13","6.5","0","0","1","35.6","35.6","100.0%"
"2","Leonard Fournette (TB)","22","81","3.7","20","1","2","6","6","46","7.7","0","0","1","30.7","30.7","100.0%"
"3","Jonathan Taylor (IND)","14","145","10.4","83","4","2","1","2","13","13.0","0","0","1","28.8","28.8","100.0%"
"4","Joe Mixon (CIN)","18","94","5.2","18","0","0","5","6","59","11.8","1","0","1","26.3","26.3","100.0%"
"5","Najee Harris (PIT)","24","81","3.4","10","0","0","6","7","46","7.7","1","0","1","24.7","24.7","100.0%"
"6","Darrell Henderson Jr. (LAR)","21","78","3.7","10","0","1","2","3","29","14.5","1","0","1","24.7","24.7","68.0%"
"7","Darrel Williams (ARI)","21","62","3.0","11","0","2","3","4","27","9.0","0","0","1","23.9","23.9","11.0%"
"8","Dalvin Cook (MIN)","29","140","4.8","23","1","1","2","2","3","1.5","0","0","1","22.3","22.3","100.0%"
"9","Kenyan Drake (FA)","4","34","8.5","18","0","1","2","2","39","19.5","1","0","1","21.3","21.3","4.0%"
"10","Aaron Jones (GB)","13","76","5.8","28","1","0","4","4","34","8.5","1","0","1","21.0","21.0","100.0%"
"11","Khalil Herbert (CHI)","19","97","5.1","25","1","1","2","3","15","7.5","0","0","1","19.2","19.2","32.0%"
"12","James Robinson (JAC)","17","73","4.3","24","1","1","3","4","28","9.3","0","0","1","19.1","19.1","64.0%"
"13","J.D. McKissic (WAS)","8","45","5.6","11","0","0","8","10","65","8.1","0","0","1","19.0","19.0","30.0%"
"14","Ezekiel Elliott (DAL)","17","69","4.1","21","1","0","7","9","50","7.1","0","0","1","18.9","18.9","99.0%"
"15","Damien Harris (NE)","18","101","5.6","21","2","1","1","1","7","7.0","0","0","1","17.8","17.8","94.0%"
"16","D'Andre Swift (DET)","13","24","1.8","9","0","1","5","7","43","8.6","0","0","1","17.7","17.7","100.0%"
"17","Alex Collins (FA)","20","101","5.1","21","1","1","1","1","-3","-3.0","0","0","1","16.8","16.8","19.0%"
"18","Chris Evans (CIN)","4","18","4.5","6","0","0","3","3","49","16.3","1","0","1","15.7","15.7","3.0%"
"19","Josh Jacobs (LV)","16","53","3.3","6","0","1","1","1","29","29.0","0","0","1","15.2","15.2","96.0%"
"20","Rhamondre Stevenson (NE)","5","23","4.6","11","0","1","3","3","39","13.0","0","0","1","15.2","15.2","89.0%"
