"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rashaad Penny (SEA)","25","170","6.8","37","4","2","2","3","15","7.5","0","0","1","32.5","32.5","90.0%"
"2","Najee Harris (PIT)","28","188","6.7","37","4","1","3","3","18","6.0","0","0","1","29.6","29.6","100.0%"
"3","Darrel Williams (ARI)","14","88","6.3","19","0","2","3","3","19","6.3","0","0","1","25.7","25.7","11.0%"
"4","Boston Scott (PHI)","14","47","3.4","14","0","2","4","4","39","9.8","0","0","1","24.6","24.6","3.0%"
"5","Devin Singletary (BUF)","23","110","4.8","20","2","2","0","1","0","0","0","0","1","23.0","23.0","92.0%"
"6","Rhamondre Stevenson (NE)","19","107","5.6","15","0","2","0","0","0","0","0","0","1","22.7","22.7","89.0%"
"7","AJ Dillon (GB)","14","63","4.5","9","0","2","2","3","20","10.0","0","0","1","22.3","22.3","95.0%"
"8","David Montgomery (CHI)","22","64","2.9","10","0","2","2","2","17","8.5","0","0","1","21.1","21.1","97.0%"
"9","Elijah Mitchell (SF)","21","119","5.7","37","2","0","2","2","11","5.5","1","0","1","21.0","21.0","97.0%"
"10","Alvin Kamara (NO)","13","32","2.5","30","2","0","5","6","68","13.6","1","0","1","21.0","21.0","100.0%"
"11","Jaret Patterson (WAS)","12","57","4.8","11","0","1","5","5","41","8.2","0","0","1","20.8","20.8","0.0%"
"12","Austin Ekeler (LAC)","17","58","3.4","14","0","1","3","3","54","18.0","0","0","1","20.2","20.2","100.0%"
"13","D'Onta Foreman (CAR)","26","132","5.1","35","3","1","0","0","0","0","0","0","1","19.2","19.2","11.0%"
"14","Sony Michel (MIA)","19","74","3.9","14","0","1","3","5","25","8.3","0","0","1","18.9","18.9","12.0%"
"15","Jonathan Taylor (IND)","20","108","5.4","24","1","1","1","2","6","6.0","0","0","1","18.4","18.4","100.0%"
"16","Josh Jacobs (LV)","16","63","3.9","9","0","1","4","4","17","4.3","0","0","1","18.0","18.0","96.0%"
"17","Damien Harris (NE)","9","35","3.9","7","0","2","1","1","12","12.0","0","0","1","17.7","17.7","94.0%"
"18","Ty Johnson (NYJ)","5","35","7.0","22","1","1","3","4","47","15.7","0","0","1","17.2","17.2","0.0%"
"19","Dontrell Hilliard (TEN)","8","45","5.6","39","2","1","3","3","33","11.0","0","0","1","16.8","16.8","3.0%"
"20","Chuba Hubbard (CAR)","17","55","3.2","21","1","1","3","4","13","4.3","0","0","1","15.8","15.8","8.0%"
"21","Joe Mixon (CIN)","12","46","3.8","13","0","0","7","8","40","5.7","0","0","1","15.6","15.6","100.0%"
"22","Aaron Jones (GB)","8","76","9.5","28","2","0","5","6","30","6.0","0","0","1","15.6","15.6","100.0%"
"23","Dare Ogunbowale (HOU)","9","36","4.0","5","0","0","2","2","32","16.0","1","0","1","14.8","14.8","0.0%"
"24","Rex Burkhead (HOU)","16","47","2.9","8","0","0","6","6","32","5.3","0","0","1","13.9","13.9","2.0%"
"25","Jamaal Williams (DET)","11","22","2.0","6","0","1","3","3","22","7.3","0","0","1","13.4","13.4","39.0%"
"26","Chase Edmonds (MIA)","18","53","2.9","14","0","0","5","6","29","5.8","0","0","1","13.2","13.2","91.0%"
"27","Mike Davis (BAL)","8","42","5.3","13","0","1","1","2","15","15.0","0","0","1","12.7","12.7","13.0%"
"28","Melvin Gordon III (DEN)","10","43","4.3","12","0","0","3","4","29","9.7","0","0","1","10.2","10.2","88.0%"
"29","Saquon Barkley (NYG)","21","102","4.9","10","0","0","0","1","0","0","0","0","1","10.2","10.2","100.0%"
"30","Ameer Abdullah (LV)","6","21","3.5","15","0","0","4","4","31","7.8","0","0","1","9.2","9.2","3.0%"
"31","Justin Jackson (DET)","12","41","3.4","7","0","0","3","3","20","6.7","0","0","1","9.1","9.1","0.0%"
"32","Tony Pollard (DAL)","3","9","3.0","5","0","0","3","5","49","16.3","0","0","1","8.8","8.8","90.0%"
"33","Devonta Freeman (FA)","14","76","5.4","32","2","0","1","1","1","1.0","0","0","1","8.7","8.7","0.0%"
"34","Duke Johnson Jr. (BUF)","7","49","7.0","16","0","0","2","3","16","8.0","0","0","1","8.5","8.5","0.0%"
"35","Le'Veon Bell (FA)","3","5","1.7","2","0","0","3","3","30","10.0","0","0","1","8.5","8.5","0.0%"
"36","Michael Carter (NYJ)","3","54","18.0","55","4","0","1","1","9","9.0","0","0","1","7.3","7.3","66.0%"
