"Pick","Round","Team ID","Team Name","Player ID","Last Name","First Name","Avg. Pick","Avg. Round","Avg. Cost","% Drafted"
"1","1","406.l.12347.t.10","Javier's Boss Team","406.p.30121","McCaffrey","Christian","1.2","1.0","$73.9","100%"
"2","1","406.l.12347.t.7","Yoyo's Yumbelievable Team","406.p.30154","Cook","Dalvin","2.4","1.0","$65.8","100%"
"3","1","406.l.12347.t.4","6going47","406.p.29238","Elliott","Ezekiel","5.0","1.1","$58.9","100%"
"4","1","406.l.12347.t.2","Rickster's Dandy Team","406.p.29279","Henry","Derrick","4.0","1.0","$63.8","100%"
"5","1","406.l.12347.t.1","Jyhad's Jazmine","406.p.30180","Kamara","Alvin","4.4","1.0","$63.0","100%"
"6","1","406.l.12347.t.9","horace  Bucs","406.p.31005","Chubb","Nick","7.1","1.1","$56.6","100%"
"7","1","406.l.12347.t.3","Maryland Eagles","406.p.27581","Adams","Davante","10.1","1.4","$54.3","100%"
"8","1","406.l.12347.t.8","Deep Dish","406.p.30295","Jones","Aaron","8.5","1.2","$55.6","100%"
"9","1","406.l.12347.t.5","69 VIKINGS","406.p.30123","Mahomes","Patrick","16.6","2.2","$35.3","100%"
"10","1","406.l.12347.t.6","Redskins","406.p.30972","Barkley","Saquon","11.6","1.7","$54.1","100%"
"11","2","406.l.12347.t.6","Redskins","406.p.29399","Hill","Tyreek","9.3","1.3","$54.3","100%"
"12","2","406.l.12347.t.5","69 VIKINGS","406.p.26686","Kelce","Travis","12.4","1.8","$50.6","100%"
"13","2","406.l.12347.t.8","Deep Dish","406.p.33412","Harris","Najee","18.0","2.3","$43.3","100%"
"14","2","406.l.12347.t.3","Maryland Eagles","406.p.32711","Taylor","Jonathan","10.7","1.6","$52.8","100%"
"15","2","406.l.12347.t.9","horace  Bucs","406.p.28534","Diggs","Stefon","13.0","2.0","$49.2","100%"
"16","2","406.l.12347.t.1","Jyhad's Jazmine","406.p.32736","Gibson","Antonio","17.7","2.3","$43.6","100%"
"17","2","406.l.12347.t.2","Rickster's Dandy Team","406.p.30161","Mixon","Joe","22.1","2.8","$39.1","100%"
"18","2","406.l.12347.t.4","6going47","406.p.30423","Ekeler","Austin","15.5","2.1","$47.8","100%"
"19","2","406.l.12347.t.7","Yoyo's Yumbelievable Team","406.p.30996","Ridley","Calvin","18.7","2.3","$40.9","100%"
"20","2","406.l.12347.t.10","Javier's Boss Team","406.p.26650","Hopkins","DeAndre","18.8","2.4","$41.6","100%"
"21","3","406.l.12347.t.10","Javier's Boss Team","406.p.32692","Jefferson","Justin","22.8","2.9","$35.3","100%"
"22","3","406.l.12347.t.7","Yoyo's Yumbelievable Team","406.p.31896","Metcalf","DK","19.9","2.5","$36.6","100%"
"23","3","406.l.12347.t.4","6going47","406.p.27535","Evans","Mike","35.9","4.2","$19.6","100%"
"24","3","406.l.12347.t.2","Rickster's Dandy Team","406.p.30182","Kupp","Cooper","42.0","4.8","$13.3","100%"
"25","3","406.l.12347.t.1","Jyhad's Jazmine","406.p.28592","Waller","Darren","25.3","3.1","$30.5","100%"
"26","3","406.l.12347.t.9","horace  Bucs","406.p.31883","Brown","A.J.","24.7","3.1","$32.7","100%"
"27","3","406.l.12347.t.3","Maryland Eagles","406.p.32702","Edwards-Helaire","Clyde","24.8","3.1","$34.2","100%"
"28","3","406.l.12347.t.8","Deep Dish","406.p.27589","Robinson II","Allen","30.5","3.6","$26.0","100%"
"29","3","406.l.12347.t.5","69 VIKINGS","406.p.32725","Dobbins","J.K.","30.2","3.6","$28.0","47%"
"30","3","406.l.12347.t.6","Redskins","406.p.31908","McLaurin","Terry","30.4","3.6","$27.2","100%"
"31","4","406.l.12347.t.6","Redskins","406.p.26699","Allen","Keenan","30.3","3.6","$27.0","100%"
"32","4","406.l.12347.t.5","69 VIKINGS","406.p.32705","Swift","D'Andre","44.2","5.0","$17.5","100%"
"33","4","406.l.12347.t.8","Deep Dish","406.p.30362","Carson","Chris","31.7","3.8","$26.8","100%"
"34","4","406.l.12347.t.3","Maryland Eagles","406.p.30977","Allen","Josh","29.7","3.6","$22.8","100%"
"35","4","406.l.12347.t.9","horace  Bucs","406.p.32687","Lamb","CeeDee","33.1","3.9","$23.5","100%"
"36","4","406.l.12347.t.1","Jyhad's Jazmine","406.p.31905","Montgomery","David","32.7","3.9","$26.1","100%"
"37","4","406.l.12347.t.2","Rickster's Dandy Team","406.p.33423","Williams","Javonte","84.3","9.2","$5.3","100%"
"38","4","406.l.12347.t.4","6going47","406.p.30259","Kittle","George","31.0","3.7","$26.1","100%"
"39","4","406.l.12347.t.7","Yoyo's Yumbelievable Team","406.p.33138","Robinson","James","51.5","5.8","$16.7","100%"
"40","4","406.l.12347.t.10","Javier's Boss Team","406.p.30197","Godwin","Chris","35.9","4.2","$18.3","100%"
"41","5","406.l.12347.t.10","Javier's Boss Team","406.p.31902","Henderson Jr.","Darrell","52.5","5.8","$14.6","97%"
"42","5","406.l.12347.t.7","Yoyo's Yumbelievable Team","406.p.28392","Cooper","Amari","42.2","4.8","$14.4","100%"
"43","5","406.l.12347.t.4","6going47","406.p.31856","Jacobs","Josh","42.0","4.8","$15.7","100%"
"44","5","406.l.12347.t.2","Rickster's Dandy Team","406.p.31898","Johnson","Diontae","61.6","6.8","$6.6","100%"
"45","5","406.l.12347.t.1","Jyhad's Jazmine","406.p.31002","Jackson","Lamar","42.2","4.8","$13.9","100%"
"46","5","406.l.12347.t.9","horace  Bucs","406.p.31885","Sanders","Miles","44.5","5.0","$17.9","100%"
"47","5","406.l.12347.t.3","Maryland Eagles","406.p.28457","Lockett","Tyler","47.3","5.3","$10.6","100%"
"48","5","406.l.12347.t.8","Deep Dish","406.p.26664","Woods","Robert","44.8","5.1","$12.9","100%"
"49","5","406.l.12347.t.5","69 VIKINGS","406.p.31008","Jones II","Ronald","84.4","9.2","$3.7","100%"
"50","5","406.l.12347.t.6","Redskins","406.p.33392","Pitts","Kyle","47.4","5.4","$12.8","100%"
"51","6","406.l.12347.t.6","Redskins","406.p.31833","Murray","Kyler","43.6","5.0","$13.3","100%"
"52","6","406.l.12347.t.5","69 VIKINGS","406.p.27277","Thielen","Adam","53.9","6.0","$9.0","100%"
"53","6","406.l.12347.t.8","Deep Dish","406.p.25785","Wilson","Russell","53.3","5.9","$8.0","100%"
"54","6","406.l.12347.t.3","Maryland Eagles","406.p.31056","Andrews","Mark","50.4","5.7","$10.4","100%"
"55","6","406.l.12347.t.9","horace  Bucs","406.p.31840","Hockenson","T.J.","53.7","6.0","$9.4","100%"
"56","6","406.l.12347.t.1","Jyhad's Jazmine","406.p.24793","Jones","Julio","52.0","5.8","$11.2","100%"
"57","6","406.l.12347.t.2","Rickster's Dandy Team","406.p.5228","Brady","Tom","63.5","7.0","$4.6","100%"
"58","6","406.l.12347.t.4","6going47","406.p.30199","Hunt","Kareem","63.8","7.0","$7.8","100%"
"59","6","406.l.12347.t.7","Yoyo's Yumbelievable Team","406.p.29369","Prescott","Dak","53.3","5.9","$8.6","100%"
"60","6","406.l.12347.t.10","Javier's Boss Team","406.p.27648","Thomas","Logan","74.6","8.2","$3.3","100%"
"61","7","406.l.12347.t.10","Javier's Boss Team","406.p.32676","Herbert","Justin","61.1","6.8","$5.8","100%"
"62","7","406.l.12347.t.7","Yoyo's Yumbelievable Team","406.p.29344","Higbee","Tyler","72.1","7.9","$2.9","100%"
"63","7","406.l.12347.t.4","6going47","406.p.32719","Claypool","Chase","74.7","8.2","$4.1","100%"
