"Pick","Round","Team ID","Team Name","Player ID","Last Name","First Name","Avg. Pick","Avg. Round","Avg. Cost","% Drafted"
"1","1","406.l.12364.t.12","BigSmokeDntChoke","406.p.30295","Jones","Aaron","8.5","1.2","$55.6","100%"
"2","1","406.l.12364.t.11","Rawdog314","406.p.32675","Tagovailoa","Tua","125.7","13.2","$1.1","12%"
"3","1","406.l.12364.t.5","Tommy's Team","406.p.30972","Barkley","Saquon","11.6","1.7","$54.1","100%"
"4","1","406.l.12364.t.8","REHAB SQUAD","406.p.29238","Elliott","Ezekiel","5.0","1.1","$58.9","100%"
"5","1","406.l.12364.t.9","I'm only here for the 💰","406.p.30121","McCaffrey","Christian","1.2","1.0","$73.9","100%"
"6","1","406.l.12364.t.4","Iron Head Boyz VI","406.p.27581","Adams","Davante","10.1","1.4","$54.3","100%"
"7","1","406.l.12364.t.10","Troy's Team","406.p.30977","Allen","Josh","29.7","3.6","$22.8","100%"
"8","1","406.l.12364.t.7","Mac's Super Squad","406.p.32711","Taylor","Jonathan","10.7","1.6","$52.8","100%"
"9","1","406.l.12364.t.6","John's Rad Team","406.p.29399","Hill","Tyreek","9.3","1.3","$54.3","100%"
"10","1","406.l.12364.t.1","C Ballin","406.p.26686","Kelce","Travis","12.4","1.8","$50.6","100%"
"11","1","406.l.12364.t.3","DCUnited","406.p.30154","Cook","Dalvin","2.4","1.0","$65.8","100%"
"12","1","406.l.12364.t.2","Run It $$$$","406.p.30180","Kamara","Alvin","4.4","1.0","$63.0","100%"
"13","2","406.l.12364.t.12","BigSmokeDntChoke","406.p.33412","Harris","Najee","18.0","2.3","$43.3","100%"
"14","2","406.l.12364.t.11","Rawdog314","406.p.31906","Singletary","Devin","118.2","12.7","$1.5","75%"
"15","2","406.l.12364.t.5","Tommy's Team","406.p.32736","Gibson","Antonio","17.7","2.3","$43.6","100%"
"16","2","406.l.12364.t.8","REHAB SQUAD","406.p.31005","Chubb","Nick","7.1","1.1","$56.6","100%"
"17","2","406.l.12364.t.9","I'm only here for the 💰","406.p.30996","Ridley","Calvin","18.7","2.3","$40.9","100%"
"18","2","406.l.12364.t.4","Iron Head Boyz VI","406.p.30362","Carson","Chris","31.7","3.8","$26.8","100%"
