"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"116","Lorenzo Taliaferro (FA)","13","47","3.6","7","0","1","5","5","29","5.8","0","0","3","18.6","6.2","0.0%"
"117","Ryan Hewitt (FA)","0","0","0","0","0","0","8","12","99","12.4","0","0","15","17.9","1.2","0.0%"
"118","Knile Davis (FA)","28","72","2.6","10","0","1","2","3","24","12.0","0","0","14","17.6","1.3","0.0%"
"119","Mike Davis (BAL)","35","58","1.7","13","0","0","7","13","38","5.4","0","0","6","16.6","2.8","5.2%"
"120","Michael Burton (KC)","4","2","0.5","2","0","0","6","6","39","6.5","1","0","16","16.1","1.0","0.0%"
"121","Juwan Thompson (FA)","18","48","2.7","12","0","0","6","9","51","8.5","0","0","15","15.9","1.1","0.0%"
"122","Austin Johnson (FA)","4","9","2.3","4","0","1","5","8","30","6.0","0","0","10","14.9","1.5","0.0%"
"123","Steven Jackson (FA)","21","50","2.4","7","0","1","1","1","20","20.0","0","0","2","14.0","7.0","0.0%"
"124","Bryce Brown (FA)","25","72","2.9","18","0","1","0","2","0","0","0","0","3","13.2","4.4","0.0%"
"125","Stevan Ridley (FA)","36","90","2.5","13","0","0","4","5","-2","-0.5","0","0","8","12.8","1.6","0.0%"
"126","Zurlon Tipton (FA)","5","20","4.0","7","0","0","5","8","57","11.4","0","0","10","12.7","1.3","0.0%"
"127","Will Johnson (FA)","4","7","1.8","6","0","1","2","4","16","8.0","0","0","16","12.3","0.8","0.0%"
"128","Jarryd Hayne (FA)","17","52","3.1","11","0","0","6","7","27","4.5","0","1","8","11.9","1.5","0.0%"
"129","Will Tukuafu (FA)","4","1","0.3","4","0","1","1","1","7","7.0","1","1","14","11.8","0.8","0.0%"
"130","Josh Robinson (FA)","17","39","2.3","8","0","0","6","6","33","5.5","0","1","5","11.2","2.2","0.0%"
"131","Tommy Bohanon (FA)","2","2","1.0","2","0","0","4","8","56","14.0","0","0","16","9.8","0.6","0.0%"
"132","Toby Gerhart (FA)","20","44","2.2","6","0","0","3","5","23","7.7","0","0","7","9.7","1.4","0.0%"
