"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Zach Ertz (ARI)","8","9","88","11.0","25","2","2","0","0","0","0","1","28.8","28.8","94.0%"
"2","Travis Kelce (KC)","5","8","74","14.8","24","2","0","1","4","1","0","1","18.8","18.8","100.0%"
"3","Darren Waller (LV)","7","8","116","16.6","31","5","0","0","0","0","0","1","18.6","18.6","99.0%"
"4","Adam Trautman (NO)","5","8","58","11.6","19","0","1","0","0","0","0","1","16.8","16.8","1.0%"
"5","Mark Andrews (BAL)","8","10","73","9.1","16","0","0","0","0","0","0","1","15.3","15.3","100.0%"
"6","Dawson Knox (BUF)","6","10","80","13.3","31","2","0","0","0","0","0","1","14.0","14.0","95.0%"
"7","George Kittle (SF)","4","4","34","8.5","13","0","1","0","0","0","0","1","13.4","13.4","100.0%"
"8","Rob Gronkowski (FA)","6","8","71","11.8","35","2","0","0","0","0","0","1","13.1","13.1","8.0%"
"9","Josiah Deguara (GB)","2","2","37","18.5","25","1","1","0","0","0","0","1","11.7","11.7","0.0%"
"10","Eric Ebron (FA)","3","3","24","8.0","18","0","1","0","0","0","0","1","11.4","11.4","0.0%"
"11","Dalton Schultz (DAL)","6","8","53","8.8","19","0","0","0","0","0","0","1","11.3","11.3","99.0%"
"12","Dallas Goedert (PHI)","5","8","62","12.4","16","0","0","0","0","0","0","1","11.2","11.2","97.0%"
"13","Pat Freiermuth (PIT)","4","7","11","2.8","5","0","1","0","0","0","0","1","11.1","11.1","86.0%"
"14","T.J. Hockenson (DET)","6","8","51","8.5","24","1","0","0","0","0","0","1","11.1","11.1","97.0%"
"15","Mike Gesicki (MIA)","5","6","50","10.0","26","1","0","0","0","0","0","1","10.0","10.0","73.0%"
"16","Austin Hooper (TEN)","4","7","53","13.3","20","2","0","0","0","0","0","1","9.3","9.3","30.0%"
"17","Foster Moreau (LV)","1","2","19","19.0","19","0","1","0","0","0","0","1","8.9","8.9","1.0%"
"18","Donald Parham Jr. (LAC)","4","5","38","9.5","12","0","0","0","0","0","0","1","7.8","7.8","1.0%"
"19","Durham Smythe (MIA)","4","5","37","9.3","18","0","0","0","0","0","0","1","7.7","7.7","0.0%"
"20","Anthony Firkser (ATL)","5","7","26","5.2","7","0","0","0","0","0","0","1","7.6","7.6","0.0%"
"21","Ryan Griffin (CHI)","3","4","39","13.0","29","1","0","0","0","0","0","1","6.9","6.9","0.0%"
"22","Gerald Everett (LAC)","3","4","37","12.3","16","0","0","0","0","0","0","1","6.7","6.7","24.0%"
"23","Tyler Conklin (NYJ)","3","3","35","11.7","15","0","0","0","0","0","0","1","6.5","6.5","2.0%"
"24","Jack Doyle (FA)","3","5","30","10.0","18","0","0","0","0","0","0","1","6.0","6.0","2.0%"
"25","Kyle Pitts (ATL)","3","5","29","9.7","16","0","0","0","0","0","0","1","5.9","5.9","100.0%"
"26","Jared Cook (FA)","3","5","28","9.3","13","0","0","0","0","0","0","1","5.8","5.8","1.0%"
"27","Tommy Tremble (CAR)","2","2","35","17.5","19","0","0","0","0","0","0","1","5.5","5.5","1.0%"
"28","John Bates (WAS)","3","3","23","7.7","10","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"29","Cameron Brate (TB)","2","6","27","13.5","15","0","0","0","0","0","0","1","4.7","4.7","7.0%"
"30","Jimmy Graham (FA)","2","3","25","12.5","23","1","0","0","0","0","0","1","4.5","4.5","0.0%"
"31","Hunter Henry (NE)","2","3","25","12.5","15","0","0","0","0","0","0","1","4.5","4.5","70.0%"
"32","David Njoku (CLE)","2","4","20","10.0","21","1","0","1","1","0","0","1","4.1","4.1","62.0%"
"33","Kyle Rudolph (TB)","1","1","28","28.0","28","1","0","0","0","0","0","1","3.8","3.8","2.0%"
"34","Evan Engram (JAC)","2","5","12","6.0","9","0","0","0","0","0","0","1","3.2","3.2","20.0%"
"35","Nick Vannett (NO)","1","1","20","20.0","20","1","0","0","0","0","0","1","3.0","3.0","0.0%"
"36","Pharaoh Brown (HOU)","2","4","10","5.0","8","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"37","Adam Shaheen (MIA)","1","1","19","19.0","19","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"38","C.J. Uzomah (NYJ)","2","3","9","4.5","7","0","0","0","0","0","0","1","2.9","2.9","3.0%"
"39","Jonnu Smith (NE)","1","2","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","2.0%"
"40","Will Dissly (SEA)","1","3","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"41","Brock Wright (DET)","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"42","Cole Kmet (CHI)","1","2","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","77.0%"
"43","O.J. Howard (BUF)","1","1","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","1.0%"
"44","Dominique Dafney (FA)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"45","Blake Bell (KC)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"46","Noah Gray (KC)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"47","Kylen Granson (IND)","1","2","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"48","Tre' McKitty (LAC)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"49","Brevin Jordan (HOU)","1","3","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","3.0%"
"50","Ian Thomas (CAR)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"51","Colby Parkinson (SEA)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"52","Parker Hesse (ATL)","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"53","Drew Sample (CIN)","1","2","3","3.0","3","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"54","Sean McKeon (DAL)","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"55","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
