"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","George Kittle (SF)","13","15","151","11.6","21","2","1","0","0","0","0","1","34.1","34.1","100.0%"
"2","Mark Andrews (BAL)","11","11","115","10.5","32","3","1","0","0","0","0","1","28.5","28.5","100.0%"
"3","Dawson Knox (BUF)","7","9","60","8.6","24","1","1","0","0","0","0","1","19.0","19.0","95.0%"
"4","Albert Okwuegbunam (DEN)","5","5","41","8.2","16","0","1","0","0","0","0","1","15.1","15.1","78.0%"
"5","Austin Hooper (TEN)","5","6","30","6.0","9","0","1","0","0","0","0","1","14.0","14.0","30.0%"
"6","Brevin Jordan (HOU)","4","7","26","6.5","11","0","1","0","0","0","0","1","12.6","12.6","3.0%"
"7","Rob Gronkowski (FA)","5","9","62","12.4","18","0","0","0","0","0","0","1","11.2","11.2","8.0%"
"8","Pat Freiermuth (PIT)","2","3","32","16.0","17","0","1","0","0","0","0","1","11.2","11.2","86.0%"
"9","Kyle Pitts (ATL)","5","6","61","12.2","23","1","0","0","0","0","0","1","11.1","11.1","100.0%"
"10","Gerald Everett (LAC)","2","2","15","7.5","14","0","1","1","13","0","0","1","10.8","10.8","24.0%"
"11","C.J. Uzomah (NYJ)","4","6","56","14.0","23","1","0","0","0","0","0","1","9.6","9.6","3.0%"
"12","Zach Ertz (ARI)","5","7","42","8.4","14","0","0","0","0","0","0","1","9.2","9.2","94.0%"
"13","Noah Fant (SEA)","4","4","51","12.8","32","2","0","0","0","0","0","1","9.1","9.1","28.0%"
"14","Marcedes Lewis (GB)","4","4","51","12.8","20","1","0","0","0","0","0","1","9.1","9.1","0.0%"
"15","Jared Cook (FA)","2","5","8","4.0","7","0","1","0","0","0","0","1","8.8","8.8","1.0%"
"16","Kyle Rudolph (TB)","2","2","66","33.0","60","4","0","0","0","0","0","1","8.6","8.6","2.0%"
"17","Geoff Swaim (TEN)","3","4","45","15.0","24","1","0","0","0","0","0","1","7.5","7.5","0.0%"
"18","Josiah Deguara (GB)","3","3","44","14.7","25","1","0","0","0","0","0","1","7.4","7.4","0.0%"
"19","Anthony Firkser (ATL)","4","5","34","8.5","11","0","0","0","0","0","0","1","7.4","7.4","0.0%"
"20","Nick Vannett (NO)","3","6","44","14.7","19","0","0","0","0","0","0","1","7.4","7.4","0.0%"
"21","Hayden Hurst (CIN)","1","1","3","3.0","3","0","1","0","0","0","0","1","7.3","7.3","12.0%"
"22","James O'Shaughnessy (CHI)","4","6","21","5.3","7","0","0","0","0","0","0","1","6.1","6.1","0.0%"
"23","Will Dissly (SEA)","2","3","38","19.0","25","1","0","0","0","0","0","1","5.8","5.8","0.0%"
"24","Travis Kelce (KC)","3","4","27","9.0","19","0","0","0","0","0","0","1","5.7","5.7","100.0%"
"25","Brock Wright (DET)","3","5","20","6.7","11","0","0","0","0","0","0","1","5.0","5.0","0.0%"
"26","Kendall Blanton (WAS)","2","3","29","14.5","23","1","0","0","0","0","0","1","4.9","4.9","0.0%"
"27","Ryan Griffin (CHI)","2","3","28","14.0","22","1","0","0","0","0","0","1","4.8","4.8","0.0%"
"28","Cole Kmet (CHI)","3","5","17","5.7","6","0","0","0","0","0","0","1","4.7","4.7","77.0%"
"29","Tommy Tremble (CAR)","2","2","23","11.5","14","0","0","0","0","0","0","1","4.3","4.3","1.0%"
"30","Foster Moreau (LV)","3","6","13","4.3","7","0","0","0","0","0","0","1","4.3","4.3","1.0%"
"31","Tyler Conklin (NYJ)","2","2","20","10.0","19","0","0","0","0","0","0","1","4.0","4.0","2.0%"
"32","Shane Zylstra (DET)","2","6","18","9.0","14","0","0","0","0","0","0","1","3.8","3.8","0.0%"
"33","Donald Parham Jr. (LAC)","2","2","13","6.5","15","0","0","0","0","0","0","1","3.3","3.3","1.0%"
"34","Cameron Brate (TB)","2","4","11","5.5","6","0","0","0","0","0","0","1","3.1","3.1","7.0%"
"35","John Bates (WAS)","1","2","19","19.0","19","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"36","Jimmy Graham (FA)","2","3","9","4.5","6","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"37","Chris Herndon IV (FA)","1","1","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"38","Juwan Johnson (NO)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"39","Drew Sample (CIN)","1","1","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"40","Lee Smith (FA)","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"41","Stephen Anderson (ARI)","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"42","Evan Engram (JAC)","1","4","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","20.0%"
"43","Ricky Seals-Jones (NYG)","1","4","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","1.0%"
"44","Jordan Akins (NYG)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"45","Josh Oliver (BAL)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"46","Antony Auclair (HOU)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"47","MyCole Pruitt (ATL)","1","3","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"48","Dalton Schultz (DAL)","1","3","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","99.0%"
"49","Nakia Griffin-Stewart (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Sage Surratt (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Nick Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Ben Ellefson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Mitchell Wilcox (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"54","Noah Gray (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Thaddeus Moss (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Stephen Sullivan (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Charlie Woerner (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"58","Noah Togiai (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Lawrence Cager (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Tommy Hudson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Sean McKeon (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"65","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Eli Wolf (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Rashod Berry (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"68","Luke Farrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
